country,iso2,wvs_godimp,relleg,gdp_pc_ppp,log_gdp_pc
Sweden,SE,3.2,5,67075.68,11.1136
Japan,JP,3.8,3,47192.05,10.762
Czech Republic,CZ,3.0,4,52946.97,10.877
Netherlands,NL,4.1,6,78630.36,11.2725
France,FR,4.2,8,57042.94,10.9516
Germany,DE,4.5,10,69048.99,11.1426
United Kingdom,GB,4.4,12,59021.57,10.9857
Australia,AU,4.8,5,66103.18,11.099
New Zealand,NZ,4.5,3,54033.91,10.8974
South Korea,KR,4.9,8,55509.34,10.9243
Canada,CA,5.5,4,63944.11,11.0658
Spain,ES,4.8,7,51398.93,10.8474
Finland,FI,4.7,6,62133.14,11.037
Norway,NO,3.8,5,125489.55,11.74
Denmark,DK,3.4,5,78913.65,11.2761
USA,US,7.0,6,77860.91,11.2627
Chile,CL,7.2,10,30932.0,10.3395
Italy,IT,6.5,14,57260.89,10.9554
Poland,PL,7.1,12,46777.55,10.7532
Argentina,AR,6.8,8,29808.81,10.3026
Russia,RU,5.8,25,40938.99,10.6198
Mexico,MX,8.2,8,23135.49,10.0491
Brazil,BR,8.5,6,19876.85,9.8973
Philippines,PH,9.1,10,10131.35,9.2234
Turkey,TR,8.8,35,39564.11,10.5857
Thailand,TH,7.0,15,22243.07,10.0098
Tunisia,TN,8.5,30,13618.54,9.5192
Nigeria,NG,9.5,40,8304.96,9.0246
Indonesia,ID,9.6,45,14284.93,9.567
Malaysia,MY,9.3,55,34419.87,10.4464
Bangladesh,BD,9.7,50,8450.55,9.042
Pakistan,PK,9.8,60,5920.27,8.6861
Egypt,EG,9.7,65,17526.8,9.7715
Iran,IR,8.0,70,17545.62,9.7726
Saudi Arabia,SA,9.5,65,71968.07,11.184
Colombia,CO,8.8,8,20854.0,9.9453
