agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,737,58,1.0,1.0,1.0,0.5097567716930815,0.7122356911081807,2.0,81.83060419404711,True,False,False,-1,0,False,0.0,29,29,
1,0,47,0.23669116659139686,0.23213347015469804,1.0,0.5929421412624966,0.22183436490818695,0.0,0.0,False,False,True,119,49,False,1.87,3,3,
2,1,18,0.41839661170531267,0.6102773064233636,1.0,0.42879692651523,0.039277364933107836,0.01790925397163782,0.00019048294354016786,False,False,False,-1,0,False,0.0,3,3,
3,0,68,0.1620813949117586,0.6558372069408155,0.8516121903749458,0.5003664043097535,0.11899088305323259,0.0,0.0,False,False,True,118,76,False,1.69,0,0,
4,0,36,0.22356512643987828,0.4867761536280637,0.5682994105733044,0.598836196881845,0.11845840219475069,0.0,0.0,False,False,True,60,28,False,2.6799999999999997,6,6,
5,0,31,0.11403300998272614,0.38523926440165235,0.959499945766264,0.5128148610224595,0.07841637630439091,0.0,0.0,False,False,False,-1,9,True,0.0,4,4,
6,0,22,0.6553162699461416,0.1885017725836977,0.6063870312689742,0.14279016135697234,0.2570274784638237,0.0,0.0,False,False,True,56,17,False,2.26,3,3,
7,0,118,0.25947211174945284,0.3482764749059939,1.0,0.11379429692078818,0.2230665571301356,0.0,0.0,False,False,True,109,74,False,3.16,5,5,
8,0,51,0.12803218488972765,0.36784984107866353,0.9570540604143648,0.4590831824660663,0.1400798836448442,0.0,0.0,False,False,True,88,49,False,2.02,1,1,
9,172,323,1.0,1.0,0.9901944191125873,0.5548378726961926,0.4162892539642223,0.47875616515305147,0.11104797339646616,False,False,True,238,39,False,1.72,1,1,
10,0,60,0.5167395476241242,0.3603644057697559,0.8143008371927549,0.53343488263827,0.4309257177098898,0.0,0.0,False,False,True,91,42,False,2.3499999999999996,3,3,
11,1,136,0.3415016704934337,0.2719649350914524,0.748384032330671,0.3949324853905083,0.2919035500457374,0.01989723822046307,0.00029114444220940886,False,False,True,154,101,False,1.75,3,3,
12,672,199,1.0,1.0,0.9260203154145327,0.4345331624944357,0.5482325792056085,1.99,75.21296964988532,True,False,False,-1,0,False,0.0,18,18,
13,676,414,1.0,1.0,1.0,0.4090884431252583,0.7888423204223873,2.0,77.5093452474382,True,False,False,-1,0,False,0.0,26,26,
14,0,20,0.5471171279962236,0.09102337350895624,0.5754756931183879,0.11648159439310082,0.3478398871330985,0.0,0.0,False,False,True,57,27,False,1.81,2,2,
15,0,22,0.2346507095042296,0.17868557698801205,0.5440795930844016,0.6172592185663898,0.29664054964515885,0.0,0.0,False,False,True,36,14,False,2.29,3,3,
16,0,75,0.10718293582458228,0.25526858160584864,0.24946736687847196,0.44346581401178925,0.06721825630548331,0.0,0.0,False,False,True,80,74,False,1.5699999999999998,2,2,
17,0,28,0.5244097186735651,0.4729615156488648,0.9389062880641055,0.49798055665797414,0.12961875030966777,0.0,0.0,False,False,True,51,27,False,1.45,0,0,
18,0,28,0.2109999264544873,0.2424113584071542,0.9816100670638073,0.500222646779828,0.3913946453537983,0.0,0.0,False,False,True,75,31,False,1.78,1,1,
19,701,704,1.0,1.0,0.9985331706918704,0.48453394161669,0.5265841728935181,2.0,74.48987368674007,True,False,False,-1,0,False,0.0,10,10,
20,0,36,0.19797706434060627,0.20552416875720153,0.9482745783394124,0.4745109775160887,0.48498204889106206,0.0,0.0,False,False,True,154,12,False,1.9,3,3,
21,2,38,0.5183000394496515,0.29637687841278704,0.9366615546554885,0.5445108940307606,0.4603726043975789,0.12547532234776523,0.061792255808994175,False,False,False,-1,0,False,0.0,17,17,
22,0,18,0.45461617394143955,0.4626332156985156,0.7005444725661165,0.4948238293876505,0.151015408743377,0.0,0.0,False,False,True,48,13,False,2.11,3,3,
23,0,30,0.4174440143243964,0.5608412021736885,0.9744813885234618,0.5387827266181964,0.2827447098974872,0.0,0.0,False,False,True,144,26,False,1.75,3,3,
24,0,27,0.22300781453623494,0.2009548722841743,0.8706759351798253,0.4945270147263842,0.44566737233960363,0.0,0.0,False,False,True,63,36,False,1.54,0,0,
25,0,21,0.3387614724452966,0.18434436925536538,1.0,0.31134001173059495,0.05286611491757641,0.0,0.0,False,False,True,235,17,False,1.3,1,1,
26,540,47,1.0,1.0,1.0,0.6142676067708643,0.6393055343778383,2.0,22.528767344262704,True,False,False,-1,0,False,0.0,2,2,
27,0,22,0.02268510779286427,0.36262626353004096,1.0,0.5220681857265083,0.25044360551231093,0.0,0.0,False,False,False,-1,0,False,0.0,14,14,
28,0,92,0.5540491879465995,0.17824900038518973,0.9693269532966671,0.4957460725761689,0.16182782309749913,0.0,0.0,False,False,True,198,152,False,1.45,1,1,
29,1,26,0.35264831114057205,0.13598169305027374,0.8702827724432648,0.31531273501712354,0.3831851188943747,0.017291754478571068,0.00016536310693521307,False,False,True,79,25,False,1.87,2,2,
30,1,2,0.6488714013896109,0.12312176939246702,1.0,0.496470448927522,0.09312403447464042,0.019797752029360755,0.00028532155336522067,False,False,False,-1,0,False,0.0,5,5,
31,0,53,0.1065611803250337,0.299679907888161,0.6425621580741065,0.4908366807839132,0.2388237037102911,0.0,0.0,False,False,True,123,62,False,1.72,1,1,
32,0,34,0.6022120322842581,0.25417488994663995,0.9168382730131704,0.3600606348676299,0.09748062188811035,0.0,0.0,False,False,True,241,21,False,1.42,1,1,
33,1,11,0.4814933121371714,0.17263212713411633,1.0,0.5406697597063433,0.2967373575222794,0.05422213955507638,0.016553634641732245,False,False,False,-1,0,False,0.0,10,10,
34,1,51,0.3063298548306633,0.5664693090809444,0.8737884257076141,0.39658521215940257,0.0892846580097698,0.02468313551139276,0.0006940443918461276,False,False,True,365,12,False,1.45,1,1,
35,0,26,0.3761067621045684,0.13851735474488966,0.9950175535691381,0.4261951609768898,0.16299760124597013,0.0,0.0,False,False,True,95,21,False,1.66,2,2,
36,3,1,0.6116446661223811,0.2364740374995073,1.0,0.4702843955220743,0.27119314081663864,0.21862633554816632,0.7234114579812948,False,False,False,-1,0,False,0.0,5,5,
