eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,final_current_delta,regime,run_dir
0.0,0.1,0.25,0.05,0.0,0.0,1,0.0,0.0428571428571428,0.0457142857142857,0.42588726513569936,0.5908141962421712,0.43193035731541385,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_01
0.0,0.1,0.25,0.05,0.0,0.0,2,0.0,0.0685714285714285,0.0628571428571428,0.4294294294294294,0.6136136136136137,0.4484525522584181,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_02
0.0,0.1,0.25,0.05,0.0,0.0,3,0.0,0.0514285714285714,0.04,0.4602332979851538,0.6511134676564156,0.5043070362473348,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_03
0.0,0.1,0.25,0.05,0.0,0.0,4,0.0,0.0485714285714285,0.0485714285714285,0.4365750528541226,0.635306553911205,0.4980449657869012,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_04
0.0,0.1,0.25,0.05,0.0,0.0,5,0.0,0.04,0.0628571428571428,0.4417531718569781,0.6136101499423299,0.42922721125810365,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_05
0.0,0.1,0.25,0.05,0.0,0.0,6,0.0,0.0485714285714285,0.0457142857142857,0.429042904290429,0.6259625962596259,0.46275455901792795,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_06
0.0,0.1,0.25,0.05,0.0,0.0,7,0.0,0.0457142857142857,0.0428571428571428,0.41123595505617977,0.6202247191011236,0.4763697903403786,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_07
0.0,0.1,0.25,0.05,0.0,0.0,8,0.0,0.0542857142857142,0.0571428571428571,0.3991769547325103,0.5874485596707819,0.4653649702516558,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_08
0.0,0.1,0.25,0.05,0.0,0.0,9,0.0,0.0342857142857142,0.0514285714285714,0.4368836291913215,0.6173570019723866,0.44021188134436,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_09
0.0,0.1,0.25,0.05,0.0,0.0,10,0.0,0.0371428571428571,0.0685714285714285,0.4404517453798768,0.6262833675564682,0.4298129344481928,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_10
