agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,105,0.13420425753504733,0.13915142877184342,0.7652692318123987,0.10550494563782345,0.17376518441024344,0.0,0.0,False,False,True,107,82,False,1.99,3,3,
1,5,7,0.44551633984774713,0.4901980588086172,1.0,0.5569610825745458,0.39857748071031857,0.41764921327815685,1.1745291371551847,False,False,False,-1,1,False,0.0,15,15,
2,0,25,0.40245208678287353,0.49691564584495324,0.43140649100069806,0.5838612149551362,0.21023107689701664,0.0,0.0,False,False,True,88,49,False,1.45,1,1,
3,0,89,0.2049445264889669,0.23935074652043226,0.4975333785876105,0.4635737805248478,0.29544496537071885,0.0,0.0,False,False,True,68,50,False,2.08,3,3,
4,0,0,0.22345403920466753,0.286766157451664,0.9872428842275858,0.4502783705093958,0.12485171499156254,0.0,0.0,False,False,False,-1,0,False,0.0,13,13,
5,0,74,0.2708493274570815,0.2150718029669583,0.5568760958646933,0.5012146696099126,0.2119910802564867,0.0,0.0,False,False,True,75,55,False,1.93,2,2,
6,2,22,0.625331626788308,0.5118545685298649,0.9875452604589027,0.4445601990636155,0.11681877316935246,0.11985479236249486,0.07017980190252981,False,False,False,-1,12,True,1.3599999999999999,12,12,
7,0,6,0.328294685413298,0.22234391605516438,0.9970425341962308,0.4188565121234452,0.30426476128855434,0.0,0.0,False,False,False,-1,1,False,0.0,24,24,
8,10,51,0.7885716526129126,0.5767979824001325,0.42789580718282433,0.4771796518825847,0.5660027236171714,0.17484381247426806,0.001750198544452066,False,False,True,46,25,False,3.07,5,5,
9,0,198,0.07489144267848591,0.3780155248151774,0.6382243254087532,0.5460014834503989,0.15980220609339293,0.0,0.0,False,False,True,100,88,False,2.41,5,5,
10,0,22,0.28684902744963275,0.4128306098053427,0.7027282711444122,0.7480266152561741,0.1304064605109424,0.0,0.0,False,False,True,47,30,False,1.9,3,3,
11,0,55,0.2722678748184256,0.6303607502429794,0.5818577760139979,0.5843274226449696,0.24776272875374727,0.0,0.0,False,False,True,59,41,False,2.65,4,4,
12,0,277,0.32281192402769127,0.037376872036321486,0.35602202786839054,0.5704209790891623,0.3395915917127709,0.0,0.0,False,False,True,218,195,False,1.9,3,3,
13,0,43,0.26053996167335697,0.2206900280052217,0.5359220871780775,0.643443581596837,0.40958651747580854,0.0,0.0,False,False,True,83,46,False,1.72,2,2,
14,0,42,0.10038073454022735,0.6276109937953134,0.30189412673960886,0.36813692267927883,0.14857027421248967,0.0,0.0,False,False,True,116,56,False,1.63,2,2,
15,0,175,0.3875072846955809,0.11481379998000132,0.7036372334572849,0.4889083951213177,0.26096676198856167,0.0,0.0,False,False,True,117,93,False,1.8399999999999999,1,1,
16,3,17,0.3205772260141601,0.17409855065271249,0.9429281814508531,0.42231871123923753,0.22786422937934975,0.1545424686247799,0.41142606603332654,False,False,False,-1,6,True,1.8399999999999999,17,17,
17,0,16,0.6271714189045993,0.42903764430167574,0.4575528410618045,0.9253624697272436,0.23076778445461674,0.0,0.0,False,False,True,44,22,False,1.99,2,2,
18,0,26,0.0645245323791649,0.3400071642616416,1.0,0.01865529802964749,0.2723501986579789,0.0,0.0,False,False,True,88,36,False,1.24,0,0,
19,4,0,0.5216363777846056,0.263542915914336,0.9652369402325103,0.422657466257102,0.09213832061237535,0.24213115356723905,0.7500587951492628,False,False,False,-1,5,False,0.0,7,7,
20,0,28,0.21158857225635794,0.06426622878259469,0.106893498028322,0.36332552518903166,0.2839437052893905,0.0,0.0,False,False,True,96,27,False,1.33,1,1,
21,1,6,0.5067541704611376,0.43809185411841667,0.8486927544997749,0.4125070925912337,0.14246414598483953,0.12523397509780887,0.48321312820571644,False,False,False,-1,0,False,0.0,24,24,
22,0,10,0.45645039664264253,0.27008689945345793,0.4283170881706889,0.2841957831979484,0.053799116934261516,0.0,0.0,False,False,True,57,15,False,1.63,1,1,
23,4,11,0.7533548398908781,0.7167112946485656,0.9876045626207769,0.36669670044697406,0.12669458929186306,0.2722577749323574,0.2533436222613021,False,False,False,-1,7,True,0.0,13,13,
24,1,35,0.34994269829859687,0.04757172250450318,0.8067197857875309,0.4361481475680218,0.16200583223315654,0.016612068238777627,0.00014068481667971685,False,False,True,52,41,False,1.9,2,2,
25,0,419,0.21794990631056482,0.0068056348615071535,0.7634637242151516,0.4767445760192659,0.27170033580892317,0.0,0.0,False,False,True,144,135,False,2.08,3,3,
26,0,369,0.2782422711957787,0.21305238553020528,0.7901134791631246,0.5575643051545737,0.2821469886828753,0.0,0.0,False,False,True,282,262,False,1.5699999999999998,2,2,
27,0,31,0.2448009974089069,0.42728728188517145,0.7890047083834693,0.324082259941596,0.34321555737879283,0.0,0.0,False,False,True,95,39,False,1.69,1,1,
28,0,27,0.21084862276913657,0.41394495248927615,0.7231672912470167,0.10379071532067906,0.16767121468027968,0.0,0.0,False,False,True,76,29,False,1.63,2,2,
29,1,0,0.37075874553030536,0.4889714079015042,0.9786823049191344,0.8409600764868959,0.01991300285685892,0.040138532955405225,0.004925586010624581,False,False,True,213,12,False,1.18,1,1,
30,1,15,0.5017331246509102,0.32391643066535436,0.9458655092905142,0.4948699850996034,0.10344023176910629,0.01652900789758374,0.00013787112034612252,False,False,True,45,20,False,1.63,2,2,
31,0,14,0.11863077962896576,0.251847214757975,0.6650548157296071,0.33357042312594837,0.07343620139559584,0.0,0.0,False,False,True,33,17,False,1.48,1,1,
32,0,13,0.3403211134702746,0.22843577764624415,0.813138718817609,0.07028789306413623,0.3577598246103648,0.0,0.0,False,False,True,85,19,False,1.51,2,2,
33,0,27,0.4415521055661203,0.4062832647190702,0.8671094615660693,0.6764887115043631,0.3177156104876144,0.0,0.0,False,False,True,77,33,False,1.5699999999999998,2,2,
34,0,10,0.12333104890638562,0.42894409315132626,0.39812806081930013,0.14947569642713332,0.1642485297564033,0.0,0.0,False,False,True,40,22,False,1.5699999999999998,0,0,
35,0,95,0.1748054014433793,0.21915858303226252,0.5272089314037833,0.6752375182132403,0.22114980709380655,0.0,0.0,False,False,True,161,110,False,1.42,1,1,
36,1,4,0.3866124240559963,0.5743094857586302,0.9702099779671105,0.4295896790379083,0.3246537690302995,0.13167137126010853,0.5913954351833186,False,False,False,-1,0,False,0.0,8,8,
37,0,11,0.09730733876555696,0.637504182068021,0.9593848861610568,0.46403731276250626,0.3071223435995568,0.0,0.0,False,False,True,63,12,False,1.48,2,2,
38,0,23,0.20120804436430825,0.2934069444733914,0.672007233338385,0.15092186083511802,0.273693196808402,0.0,0.0,False,False,True,42,25,False,1.3599999999999999,0,0,
39,1,27,0.42810786544621776,0.6141583620945528,0.6399044171590318,0.6196773957080218,0.10206361721519866,0.017730609163270728,0.0001829398189759772,False,False,True,92,48,False,1.3599999999999999,1,1,
40,135,45,1.0,1.0,0.7890004770668393,0.1768513697327643,0.5287276213871528,0.29180518335141203,0.03523453107787745,False,False,True,83,24,False,1.3900000000000001,0,0,
41,0,94,0.5277823884370489,0.6656261580894485,0.5480610674849825,0.3456452608344668,0.350856530564877,0.0,0.0,False,False,True,102,91,False,1.33,0,0,
42,11,61,0.49650879679283005,0.6601084831858022,0.5401937005851468,0.183172280923944,0.7491647756763937,0.1943060363834388,0.002022798911414324,False,False,True,133,68,False,1.3,1,1,
43,0,1,0.27999268127719623,0.3368097955070836,1.0,0.4847119252512849,0.03382437686700942,0.0,0.0,False,False,False,-1,0,False,0.0,5,5,
44,1,1,0.18944323214576395,0.2499160640732059,1.0,0.39373854939832104,0.02968090001982372,0.0271494973465044,0.0010188067440553518,False,False,False,-1,7,True,0.0,4,4,
45,0,7,0.611659138691368,0.10325707768175142,1.0,0.3957271123369694,0.16688595849167556,0.0,0.0,False,False,False,-1,1,False,0.0,8,8,
46,0,13,0.22824274291773458,0.5955972299556533,0.2958887926106422,0.715845505755332,0.09066644121021271,0.0,0.0,False,False,True,66,24,False,1.42,1,1,
47,3,2,0.4810192752930589,0.2633991977304486,0.9868118016567475,0.48008796597577036,0.07005293029773405,0.0689639935268564,0.0018148393133430453,False,False,False,-1,0,False,1.18,6,6,
48,3,5,0.20152942060422194,0.47618703304882903,1.0,0.3768410342697341,0.3632499194823432,0.13289366721645318,0.042355710139774835,False,False,False,-1,5,False,1.18,5,5,
49,0,7,0.11236516147519061,0.43954425718695506,1.0,0.49047965147308265,0.12044156900289622,0.0,0.0,False,False,False,-1,1,False,0.0,10,10,
50,0,1,0.38680119940571656,0.16033889388507622,0.9193341686009456,0.39406289738790357,0.33614119908191936,0.0,0.0,False,False,False,-1,1,False,0.0,6,6,
51,0,16,0.22249989944831502,0.3462226272753561,0.8894923236474417,0.622016951972472,0.11528451246618987,0.0,0.0,False,False,True,57,23,False,1.72,2,2,
52,0,1,0.3106569957055339,0.7900531643489163,0.94498317483674,0.3026992802670197,0.3108300692178608,0.0,0.0,False,False,False,-1,0,False,0.0,1,1,
53,0,18,0.16795647787696677,0.15095750087478427,0.9136134588772191,0.5318512386647987,0.23407929990749848,0.0,0.0,False,False,True,83,32,False,1.3,0,0,
54,1,21,0.28915586879078636,0.5663424452197383,0.4101813899903521,0.3817610998225317,0.11787587467444327,0.016779443184543448,0.00014648564835455732,False,False,True,57,26,False,1.3900000000000001,0,0,
55,0,2,0.020669948142364628,0.29955384235189775,0.9833801127952602,0.47723328281399974,0.09265642268311196,0.0,0.0,False,False,False,-1,1,False,0.0,15,15,
56,0,3,0.26844763974526253,0.08665328827531885,0.991577596638432,0.42580514046853424,0.4015836545741204,0.0,0.0,False,False,False,-1,6,True,0.0,5,5,
57,0,46,0.2057226913160749,0.13347998079926443,0.3926857905529622,0.1245275487378018,0.35496477362409473,0.0,0.0,False,False,True,70,53,False,1.33,1,1,
58,3,3,0.5069474300595745,0.336475092146326,0.9988678430424712,0.4172452515422803,0.45731735744479585,0.08999800115439816,0.008025522215224295,False,False,False,-1,3,False,0.0,6,6,
59,1,32,0.33219946333674255,0.22899008452959338,0.7967954516530771,0.6380437304290562,0.03178872279131746,0.020198706438901988,0.0003093358658057111,False,False,True,92,43,False,1.27,0,0,
60,1,1,0.42510971803889935,0.3731694058630852,1.0,0.4720318795175286,0.11177548483068434,0.03092870198739587,0.0017227166180941945,False,False,False,-1,4,False,0.0,3,3,
61,0,2,0.11556076507023343,0.34493246698515506,0.9515300535221549,0.4798033286304613,0.10687434728611646,0.0,0.0,False,False,False,-1,3,False,1.15,5,5,
62,0,9,0.15739049884508813,0.4175776184239045,0.5638680078569818,0.16646459375992276,0.35478691271046636,0.0,0.0,False,False,True,60,25,False,1.48,1,1,
63,0,43,0.48624584842755747,0.6592122908310181,0.7702636796003122,0.2204934693091551,0.094359962849305,0.0,0.0,False,False,True,85,40,False,1.48,0,0,
64,0,169,0.492202368095668,0.22220403079935117,0.16957414893312261,0.29121326541331244,0.33433486737334006,0.0,0.0,False,False,True,150,124,False,1.3,1,1,
65,1,11,0.4028425512279063,0.16717065349169083,0.625119919760283,0.6919392217451839,0.3766398398884773,0.01644636285809582,0.00013511369793920008,False,False,True,48,18,False,1.3599999999999999,1,1,
66,5,2,0.5561670110688093,0.39572124450332624,0.9665368792760974,0.44133267638241547,0.24723461258469562,0.45024777733201415,1.5828428647364767,False,False,False,-1,3,False,0.0,10,10,
67,0,17,0.05693643877472187,0.14447164432140275,0.47452841724237277,0.7030542097970881,0.06273869629263307,0.0,0.0,False,False,True,62,29,False,1.3,1,1,
68,1,1,0.22925211414889882,0.5948730785430777,0.9897346550032655,0.3652641432951409,0.04268714653543581,0.051571226226361996,0.013525524720911095,False,False,False,-1,0,False,0.0,6,6,
69,0,11,0.1945342873182604,0.37254366615837226,0.6115082914965319,0.015618771312828869,0.09396523709010952,0.0,0.0,False,False,True,33,16,False,1.3900000000000001,1,1,
70,0,25,0.12915594510998163,0.22471179715216916,0.630231691367115,0.38917929078552255,0.33450923072999034,0.0,0.0,False,False,True,94,47,False,1.42,1,1,
71,0,0,0.03238626585923625,0.13312154590311692,1.0,0.33181931471990345,0.30797683381646884,0.0,0.0,False,False,False,-1,0,False,0.0,2,2,
72,0,11,0.23321952248594827,0.2714413574336152,0.4801553147741699,0.6303766747738574,0.10939964655688693,0.0,0.0,False,False,True,40,12,False,1.3900000000000001,1,1,
73,0,0,0.22014661783271736,0.04041522766525716,1.0,0.45841649368431614,0.46674734644542165,0.0,0.0,False,False,False,-1,0,False,0.0,2,2,
74,0,12,0.11322359780268752,0.7580017742323634,0.942741077951549,0.25222954815577653,0.1499160439446858,0.0,0.0,False,False,True,59,23,False,1.3900000000000001,1,1,
75,237,6,1.0,1.0,0.991203469957357,0.39882705533505003,0.2596115384283084,0.4769041360305864,0.1971189070615341,True,False,False,-1,0,False,0.0,1,1,
76,0,37,0.1369424646616131,0.38328610971781163,0.10681319313762701,0.5215239733940449,0.12403191438817526,0.0,0.0,False,False,True,81,45,False,1.51,1,1,
77,7,1,0.8822128770282979,0.725231328272986,0.9801563254460713,0.4367070754386726,0.06412666713738113,0.47197371031422536,1.2303017647114416,False,False,False,-1,0,False,1.33,11,11,
78,0,10,0.35714285644197297,0.5521125933108649,0.6504012033124741,0.8718088033323743,0.07853559696615513,0.0,0.0,False,False,True,28,12,False,1.63,1,1,
79,203,1,1.0,1.0,1.0,0.45725096669745846,0.37804577021983915,0.34776444316475436,0.06898620560381935,False,False,False,-1,0,False,0.0,0,0,
80,0,32,0.22583918813674936,0.30637330868133134,0.609727061083432,0.5339801396304674,0.29772145861232,0.0,0.0,False,False,True,81,44,False,1.21,1,1,
81,0,8,0.26303214890678117,0.32095915104601247,1.0,0.458430114719721,0.3236563937850502,0.0,0.0,False,False,False,-1,0,False,1.15,4,4,
82,0,0,0.14388388851315803,0.0890694524828505,0.989342210324497,0.5014154508348213,0.2067765414224507,0.0,0.0,False,False,False,-1,4,False,0.0,5,5,
83,0,12,0.3870649776297938,0.3908921451474348,0.5539520509789867,0.36690984901143464,0.08923509615050212,0.0,0.0,False,False,True,34,16,False,1.48,1,1,
84,1,12,0.47944780560456624,0.6376001811577579,0.6643628826718794,0.24472087549614172,0.060521878781702426,0.018180601724958032,0.00020238478816242368,False,False,True,48,14,False,1.42,0,0,
85,0,21,0.1645012199664727,0.3430921604709795,0.6171747870669384,0.5140328949156515,0.19019004566875666,0.0,0.0,False,False,True,67,40,False,1.33,0,0,
86,0,12,0.4638959578602271,0.10654977813131132,0.4052532533566692,0.7045398701126875,0.3173549031668862,0.0,0.0,False,False,True,30,17,False,1.33,1,1,
87,7,36,0.6267804951408628,0.37410823380772906,0.6950521249644591,0.23659914488210243,0.622800187116966,0.1266494266121815,0.0014037609050158537,False,False,True,78,46,False,1.3900000000000001,1,1,
88,232,2,1.0,1.0,0.9448400615739759,0.5057547732966466,0.5237542359667245,0.4335803814468144,0.11514772400588315,True,False,False,-1,0,False,0.0,1,1,
89,0,11,0.6165643569296199,0.25647414051237066,0.9357590212071017,0.4097701872319799,0.04686936241042663,0.0,0.0,False,False,True,62,13,False,1.3,0,0,
90,0,8,0.2238245338797337,0.5491703399937717,0.40720486411814605,0.6930428075027861,0.27891767660736927,0.0,0.0,False,False,True,35,13,False,1.33,1,1,
91,32,29,1.0,1.0,0.9403620851503701,0.4417553545167298,0.5981554457428211,0.27202958092172097,0.008905492213811367,False,False,True,105,50,False,1.33,1,1,
92,3,1,0.48155957455555387,0.3307139392843963,0.9315190568533489,0.3748853514949837,0.04078775650303385,0.1457068310354093,0.1225993942069742,False,False,True,356,13,False,1.33,1,1,
93,3,1,0.4685662482270194,0.7311250635443894,0.942652947825739,0.470045309298938,0.4142421790184862,0.08145888906805965,0.004808242104391796,False,False,False,-1,4,False,0.0,4,4,
94,2,1,0.25458724708442987,0.38794811576122434,1.0,0.4338851045379582,0.10557336627908664,0.07473158099281503,0.009919068461470532,False,False,False,-1,3,False,1.09,3,3,
95,1,0,0.24087685326586444,0.20693890783613747,1.0,0.4930458846053297,0.2663860189056727,0.018924464839773173,0.00023788620660575082,False,False,False,-1,2,False,1.15,5,5,
96,1,0,0.09226065931435481,0.15153651139648788,0.971581080494655,0.40967356244530145,0.2472570170554894,0.022666929830734407,0.0004923007938320674,False,False,False,-1,5,False,0.0,10,10,
97,6,1,0.38697031440148666,0.6343447474300974,0.9593654687329477,0.38442388345919215,0.25932394878913934,0.36972165092025805,0.7438604434496906,False,False,False,-1,2,False,1.18,6,6,
98,70,5,1.0,1.0,0.9852270440581968,0.3693513152438199,0.3854648571386251,2.0,50.32819783444281,True,False,False,-1,0,False,1.66,22,22,
99,2,0,0.587368011913582,0.4555100580357101,1.0,0.4544939697202491,0.42183230108115594,0.10291120528885257,0.09066041693037039,False,False,False,-1,2,False,0.0,3,3,
100,0,7,0.16990880629305485,0.3942104304369955,0.957180962968224,0.5149386660544415,0.3022131274959226,0.0,0.0,False,False,False,-1,12,True,1.15,5,5,
101,0,12,0.4901178650684355,0.5362225754760196,0.7126950752852548,0.6002502291081303,0.19663209869053608,0.0,0.0,False,False,True,68,25,False,1.3900000000000001,0,0,
102,291,0,1.0,1.0,0.9210009833564522,0.45802852816812584,0.6018222786985027,0.4468184921422051,0.20855156342512943,True,False,False,-1,0,False,0.0,2,2,
103,0,4,0.3169284002703946,0.15550638817201196,1.0,0.48134007510351917,0.2195305536837338,0.0,0.0,False,False,False,-1,4,False,0.0,4,4,
104,1,1,0.4566237817687295,0.30046337296956216,0.9914154208531423,0.4755690750112164,0.08632507397662154,0.01808969871633324,0.0001983370923991752,False,False,False,-1,9,True,0.0,6,6,
105,0,2,0.12945928443096846,0.637096173431442,0.9768523309324361,0.46332130445787845,0.2882926691703859,0.0,0.0,False,False,False,-1,6,True,0.0,3,3,
106,0,9,0.06470888902727727,0.3238427647058447,0.6127186309236282,0.4182283138959676,0.24309674664248518,0.0,0.0,False,False,True,50,14,False,1.3,1,1,
107,0,29,0.28723380449548236,0.14766259597676637,0.6834206300085911,0.6027895177170024,0.30385324950449494,0.0,0.0,False,False,True,88,37,False,1.21,0,0,
108,3,1,0.29059631899042737,0.4201897691537312,1.0,0.3926484925039462,0.5123422455168273,0.12724831821205312,0.05659921870843261,False,False,False,-1,0,False,0.0,5,5,
109,206,0,1.0,1.0,1.0,0.5217590622333689,0.3797349962308532,0.37680432930601043,0.10013319920910449,False,False,False,-1,0,False,0.0,1,1,
110,4,1,0.4827505511945906,0.28987780103881633,1.0,0.49056219188834616,0.33526664243909443,0.16768464268228236,0.038100491257574934,False,False,False,-1,1,False,0.0,5,5,
111,0,49,0.25939980436159543,0.34474919350971805,0.3394949928887745,0.37746048922668346,0.12210834675098499,0.0,0.0,False,False,True,95,75,False,1.27,1,1,
112,3,0,0.40821939858695244,0.5076183202908681,0.9998005329275453,0.5110314700284864,0.3563593758601137,0.23638349604731804,0.6924652855882133,False,False,False,-1,7,True,0.0,5,5,
113,395,3,1.0,1.0,1.0,0.42880582518152255,0.6019997903979808,0.8659333781065147,1.5470583087319492,True,False,False,-1,0,False,0.0,2,2,
114,0,0,0.37500227411832837,0.027753451694422147,0.9683322921592021,0.41783440622542456,0.16515400857785897,0.0,0.0,False,False,False,-1,2,False,0.0,3,3,
115,0,2,0.28997548843404214,0.04829598292349857,0.9869006430980038,0.481562641610005,0.21823518535328162,0.0,0.0,False,False,False,-1,1,False,0.0,7,7,
116,1,6,0.2195360637385336,0.10600351346686464,0.9513705951260132,0.6835420191565456,0.13080871503679514,0.019211194316343896,0.00025274992414486185,False,False,True,56,16,False,1.27,0,0,
117,1,6,0.5468296721866267,0.1430035955845233,0.9018833052328318,0.3737144379081614,0.3655004187824035,0.07324733121653025,0.055632531694885724,False,False,False,-1,5,False,0.0,6,6,
118,3,5,0.3409480571887636,0.27975450421883785,1.0,0.38262956906147844,0.10897925705854117,0.13207983696382466,0.02947743126406725,False,False,False,-1,10,True,1.21,7,7,
119,342,0,1.0,1.0,0.9976776146456404,0.4794090857017199,0.7091414332242792,0.6282921707361644,0.48388697355047894,True,False,False,-1,0,False,0.0,1,1,
120,170,0,1.0,1.0,0.9796372164367386,0.5105040201944109,0.6359842231108234,0.4697862821873129,0.13736574571724558,True,False,False,-1,0,False,0.0,0,0,
121,3,2,0.47495412451500213,0.10873723741230416,0.9994619129712572,0.5335977800304579,0.11503697552791511,0.17583492338653947,0.41419072436856336,False,False,False,-1,1,False,0.0,5,5,
122,2,3,0.4597958385535309,0.3708941875297421,0.9462684103744516,0.41510914573392754,0.1205756099574555,0.12879751711709284,0.09901693818777876,False,False,False,-1,1,False,1.18,6,6,
123,3,6,0.5771691707882333,0.423786582829735,0.9320917492655713,0.5457733230968436,0.18712064927125227,0.2439683573563301,0.6695484558702687,False,False,False,-1,7,True,0.0,10,10,
124,0,36,0.20645325715850515,0.2661640718822488,0.45895836409390234,0.42905512969347076,0.12264802422573563,0.0,0.0,False,False,True,47,30,False,1.3,1,1,
125,463,0,1.0,1.0,0.987822103826318,0.49197600972443184,0.5718163227787713,0.8659333781065147,1.9313682360285536,True,False,False,-1,0,False,0.0,2,2,
126,0,8,0.1847753319765374,0.6239353907491064,0.9420195595782089,0.562992312647675,0.39328953509321185,0.0,0.0,False,False,True,197,12,False,1.21,1,1,
127,1,0,0.4311874768341772,0.7701614007141587,1.0,0.4476621458808091,0.18837730509930048,0.017033672881509084,0.00015563843334256703,False,False,False,-1,7,True,0.0,4,4,
128,2,2,0.3294900758099326,0.23180529978949568,0.9929057046033918,0.5186701230618035,0.2005494395853677,0.048797826025386425,0.0014610546376051603,False,False,True,331,12,False,1.12,0,0,
129,0,2,0.40450118071509716,0.35200455793883884,0.9561055135675804,0.48762628601764574,0.1275123246467733,0.0,0.0,False,False,False,-1,4,False,0.0,4,4,
130,2,6,0.5040389778961979,0.20104845612977842,0.9714194754305125,0.4300466690834728,0.3673602476477053,0.14119006190238648,0.4642399441735665,False,False,False,-1,6,True,1.18,6,6,
131,0,48,0.2942671435675304,0.2873559441431404,0.5242129588156295,0.5779368145347241,0.08631269248082699,0.0,0.0,False,False,True,95,66,False,1.18,1,1,
132,0,10,0.3887858382616354,0.5633662952493701,0.25695946111240997,0.5480680558978791,0.13373872511145318,0.0,0.0,False,False,True,62,14,False,1.33,1,1,
133,2,7,0.7103927682859911,0.2075139517711014,0.9664927556771808,0.4874792925959113,0.4611797879152829,0.07954870277592258,0.02555937936058112,False,False,False,-1,5,False,1.24,5,5,
134,1,0,0.22319700376691562,0.39317884463050445,0.9016195816529851,0.46411758140793086,0.2704396595113644,0.07817929612288309,0.07234188818405042,False,False,False,-1,4,False,0.0,3,3,
135,0,3,0.3188839377384738,0.5306093763276422,1.0,0.4604674208495249,0.14604535629877377,0.0,0.0,False,False,False,-1,4,False,1.15,4,4,
136,78,19,1.0,1.0,0.45427319375178177,0.03186406987232923,0.5709013051920563,0.26529650960617457,0.016984555583845002,False,False,True,62,22,False,1.15,1,1,
137,0,11,0.39750700241369796,0.5076511474555323,0.6545385233506086,0.5202480883421078,0.049905870878242865,0.0,0.0,False,False,True,40,15,False,1.27,1,1,
138,0,64,0.33770435435313945,0.33285545976113784,0.7433299518485175,0.4376983550646004,0.32331577553340113,0.0,0.0,False,False,True,80,69,False,1.12,0,0,
139,0,8,0.5467444512683424,0.6642121171773805,0.8059209834243312,0.3466229967864573,0.1194038638567495,0.0,0.0,False,False,True,64,12,False,1.3,1,1,
140,0,10,0.3700994987751164,0.36876684300702073,0.46397407798447904,0.5180534394574511,0.07822078154774124,0.0,0.0,False,False,True,30,12,False,1.27,1,1,
141,3,1,0.7087297559902496,0.2751426707209209,0.9678531473840155,0.5153515507841908,0.3633391969790591,0.27603886733086447,0.7578597738151259,False,False,False,-1,10,True,0.0,6,6,
142,1,0,0.21922166907842125,0.06301866481714034,1.0,0.38160927298787894,0.11990675709289506,0.03576781020229393,0.003094978582782463,False,False,False,-1,0,False,0.0,4,4,
143,0,0,0.03159799278346896,0.2523680517179593,0.8527491573738885,0.4291622688050942,0.17587548956003882,0.0,0.0,False,False,False,-1,6,True,0.0,5,5,
144,159,10,1.0,1.0,1.0,0.40120476379206665,0.5214581885269636,0.33915683957654985,0.054232157361511726,True,False,False,-1,0,False,0.0,1,1,
145,0,13,0.3138983009010764,0.25467166543408415,0.9158854325546941,0.7275287818697146,0.12681773737921548,0.0,0.0,False,False,True,70,22,False,1.24,0,0,
146,3,1,0.515730080817112,0.3315995705562891,0.9722887633334665,0.4539521749090764,0.06961252432979466,0.17862953849139926,0.2451083455879368,False,False,False,-1,0,False,1.15,5,5,
147,0,11,0.44314349891833815,0.38684016118732933,0.961621377399057,0.5272893138253403,0.14190711426007235,0.0,0.0,False,False,True,64,17,False,1.24,1,1,
148,0,17,0.03976946360848238,0.32422434828453395,0.471802125869514,0.7170808586698433,0.15598918082864788,0.0,0.0,False,False,True,82,12,False,1.27,1,1,
149,0,3,0.10050721709235176,0.3910395667676278,0.9877854625185546,0.42043887392302937,0.45578441658408003,0.0,0.0,False,False,False,-1,7,True,0.0,4,4,
150,0,11,0.11932665404960086,0.3630498483643907,0.449441547251208,0.30003077096631314,0.08121246842080303,0.0,0.0,False,False,True,44,17,False,1.21,1,1,
151,0,11,0.35646731118145303,0.111179606873058,0.518205915520677,0.7684694102659975,0.021938042790622864,0.0,0.0,False,False,True,43,17,False,1.21,0,0,
152,0,10,0.08760580305368641,0.27484470452944154,1.0,0.42859685185222784,0.26706914659446157,0.0,0.0,False,False,False,-1,3,False,0.0,4,4,
153,1,0,0.4360932366919205,0.49886349231951543,1.0,0.48709128739284946,0.08537235093926507,0.03760638127655937,0.003787885922396659,False,False,False,-1,1,False,0.0,4,4,
154,2,2,0.4731902292265876,0.15116067081894474,1.0,0.44953320376137856,0.592494843995427,0.1478390250183056,0.13172714795016113,False,False,False,-1,2,False,0.0,5,5,
155,169,0,1.0,1.0,1.0,0.3730223702803703,0.565727575512873,0.37869781839800043,0.0835407564672067,True,False,False,-1,0,False,0.0,0,0,
156,0,17,0.2067204382749691,0.35338355926090187,0.9373525227702111,0.5154731042127761,0.1760520943808331,0.0,0.0,False,False,True,73,15,False,1.3599999999999999,1,1,
157,1,10,0.5266363188674088,0.20725701492152324,0.9939754212324438,0.5447012347777078,0.1577980575201242,0.019600269452867882,0.00027402281985195793,False,False,True,56,13,False,1.24,0,0,
158,1,4,0.2641436918756463,0.23003790493921075,1.0,0.41625885075548663,0.1618539703723121,0.016612068238777627,0.00014068481667971685,False,False,False,-1,6,True,0.0,3,3,
159,0,0,0.05731666664715209,0.48345476179268226,1.0,0.4353670924222622,0.22390349575235632,0.0,0.0,False,False,False,-1,0,False,1.18,6,6,
160,2,12,0.4959538371161386,0.5892456738963799,0.9867732851844971,0.5123442220040937,0.27543458705917284,0.2123189700952505,0.7343338260503428,False,False,False,-1,2,False,0.0,7,7,
161,1,14,0.4803641475265024,0.21315694591562193,0.9179523231424832,0.3768546330748166,0.10659868617351548,0.017553746336867102,0.0001756954021445285,False,False,True,67,19,False,1.21,0,0,
