eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.0,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.04428571428571425,0.4269532931554025,0.04999999999999995,0.44646986029370483,0.0
0.0,0.0,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09161729207812155,0.4014285714285714,0.8047140339060775,0.13077800147916835,0.7425452812482514,0.0
0.0,0.0,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1244010362931884,0.4257142857142857,0.7961689764658414,0.1739542885229786,0.7261332570797766,0.0
0.0,0.0,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09999209626746225,0.3685714285714285,0.8167622041420118,0.14130686422039584,0.900994443009627,0.0
0.0,0.0,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13752771859646065,0.39428571428571424,0.8076659503290796,0.16000151480724073,0.9550209585112707,0.0
0.0,0.0,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1493243243243243,0.3971428571428571,0.8074067500816524,0.16350567465321555,0.9624492069768453,0.0
0.0,0.0,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09583499713536689,0.32,0.7870680730565616,0.1303021040799826,0.9555340066215952,0.0
0.0,0.0,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1299612948627727,0.3142857142857143,0.7824237262954872,0.13615764899752808,0.9684009516064184,0.0
0.0,0.0,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13197636803214485,0.3085714285714285,0.7745699316970198,0.13515269655620527,0.9694100476631877,0.0
0.0,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0342857142857142,0.42279595369524037,0.04999999999999995,0.44952434815022935,0.2
0.0,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0916771693973766,0.3971428571428571,0.8161909991286493,0.13391861761426976,0.7922930195020957,0.2
0.0,0.2,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12318772908738584,0.40714285714285714,0.8098484326984345,0.17124025173012186,0.7618252009634039,0.2
0.0,0.2,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.1,0.3657142857142857,0.8306119724899164,0.1441717791411043,0.9333982278675717,0.2
0.0,0.2,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13668064261696206,0.3957142857142857,0.8118694833154025,0.16769877567252783,0.9598410799021164,0.2
0.0,0.2,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.145168143096892,0.38428571428571423,0.8095896896912484,0.16615367131045844,0.9663488603341275,0.2
0.0,0.2,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09376900488262585,0.3085714285714285,0.7934298382564167,0.1342373498361849,0.9639550940592285,0.2
0.0,0.2,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1333426028921023,0.30428571428571427,0.7714639908368719,0.1415523632993512,0.9699467244250495,0.2
0.0,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1295546558704453,0.3028571428571429,0.7724133330842868,0.13917738212990438,0.9703306878160448,0.2
0.0,0.4,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0214285714285714,0.42217389992643356,0.04999999999999995,0.445164965682439,0.4
0.0,0.4,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0974325782092772,0.4014285714285714,0.8326197269255715,0.13777356902356902,0.9050706015240728,0.4
0.0,0.4,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12142727520188726,0.4085714285714286,0.8273260126035005,0.1706900857404478,0.8510746353868446,0.4
