t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish
0,0.3560567298399871,0.4960547417470088,0.3560567298399871,0.4960547417470088,0.23632945151062196,0.5,0.0,0.33037189852242743,0.340846062413867,0.0,0.0,0.33037189852242743,0.340846062413867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.05,0.08,0.0,0.5,0.25
1,0.36312580155530527,0.49684280281411075,0.36312580155530527,0.49684280281411075,0.23632945151062196,0.5,0.6971428571428572,0.3315718985224275,0.34174606241386696,0.002857142857142857,0.6971428571428572,0.3315718985224275,0.34174606241386696,0.002857142857142857,0.025714285714285714,0.03142857142857143,0.0,0.03142857142857143,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,28,0.004714285714285714,0.0,0.03142857142857143,0.0,0.0,0.9090909090909091,0.0,0.2,0.0,0.2,0.05,0.08,0.025714285714285714,0.5,0.25
2,0.3726270958718801,0.4966091249304249,0.3726270958718801,0.4966091249304249,0.23632945151062196,0.5113687510907925,0.8685714285714285,0.3328861842367132,0.3427317766995813,0.002857142857142857,0.8685714285714285,0.3328861842367132,0.3427317766995813,0.002857142857142857,0.03428571428571429,0.03428571428571429,0.0,0.04285714285714286,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,25,0.009833571428571428,0.0,0.06508571428571429,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.05,0.08,0.03428571428571429,0.5,0.25
3,0.38088355168065724,0.497815903547669,0.38088355168065724,0.497815903547669,0.23632945151062196,0.5216136251115435,0.8885714285714286,0.33380046995099893,0.34341749098529556,0.002857142857142857,0.8885714285714286,0.33380046995099893,0.34341749098529556,0.002857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,21,0.014070117857142855,0.0,0.09235542857142856,0.0,0.0,0.9,0.0,0.2,0.0,0.2,0.05,0.08,0.02857142857142857,0.5,0.25
4,0.38949513864268576,0.4985987326853017,0.38949513864268576,0.4985987326853017,0.23632945151062196,0.5303365601664837,0.9057142857142857,0.3348861842367132,0.3442317766995813,0.005714285714285714,0.9057142857142857,0.3348861842367132,0.3442317766995813,0.005714285714285714,0.03142857142857143,0.03142857142857143,0.0,0.037142857142857144,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,20,0.018714052982142855,0.0,0.12193689142857142,0.0,0.0,0.9090909090909091,0.0,0.2,0.0,0.2,0.05,0.08,0.03142857142857143,0.5,0.25
5,0.3981988708157707,0.49834753605992593,0.3981988708157707,0.49834753605992593,0.23632945151062196,0.5286950256625879,0.9028571428571428,0.3368861842367132,0.3457317766995813,0.005714285714285714,0.9028571428571428,0.3368861842367132,0.3457317766995813,0.005714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.04285714285714286,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,19,0.027191911288660716,0.0,0.17664101074285712,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.05,0.08,0.05714285714285714,0.5,0.25
6,0.4066676933211622,0.4989573916803627,0.4066676933211622,0.4989573916803627,0.23632945151062196,0.5271957179654112,0.9485714285714286,0.3382004699509989,0.3467174909852956,0.005714285714285714,0.9485714285714286,0.3382004699509989,0.3467174909852956,0.005714285714285714,0.04285714285714286,0.04285714285714286,0.0,0.09142857142857143,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,14,0.03348452316078884,0.0,0.21596533338514284,0.0,0.0,0.9333333333333333,0.0,0.2,0.0,0.2,0.05,0.08,0.04285714285714286,0.5,0.25
7,0.41719699354390205,0.4992020814318771,0.41719699354390205,0.4992020814318771,0.23632945151062196,0.5252031502665316,0.9314285714285714,0.3396964072532137,0.34796034812815274,0.008571428571428572,0.9314285714285714,0.3396964072532137,0.34796034812815274,0.008571428571428572,0.04857142857142857,0.05142857142857143,0.0,0.07714285714285714,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,13,0.040826397193133974,0.0,0.26307459814601136,0.0,0.0,0.8888888888888888,0.0,0.2,0.0,0.2,0.05,0.08,0.04857142857142857,0.5,0.25
8,0.4279705194859394,0.5005308646662477,0.4279705194859394,0.5005308646662477,0.23632945151062196,0.5239819271611594,0.8828571428571429,0.34072497868178514,0.3489032052710099,0.011428571428571429,0.8828571428571429,0.34072497868178514,0.3489032052710099,0.011428571428571429,0.04285714285714286,0.04285714285714286,0.0,0.09428571428571429,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,11,0.04536583728757631,0.0,0.300670249040234,0.0,0.0,0.8666666666666667,0.0,0.2,0.0,0.2,0.05,0.08,0.04285714285714286,0.5,0.25
9,0.43789692914662415,0.501682112086622,0.43789692914662415,0.501682112086622,0.23632945151062196,0.5240586001474388,0.9085714285714286,0.3421405629940384,0.3505746338424385,0.011428571428571429,0.9085714285714286,0.3421405629940384,0.3505746338424385,0.011428571428571429,0.06571428571428571,0.07142857142857142,0.0,0.11714285714285715,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,9,0.05211029381542414,0.0,0.3660854154880008,0.0,0.0,0.92,0.0,0.2,0.0,0.2,0.05,0.08,0.06571428571428571,0.5,0.25
10,0.447152402785714,0.501397314960302,0.447152402785714,0.501397314960302,0.23632945151062196,0.5239740762605489,0.9,0.3444321693229028,0.352546062413867,0.014285714285714285,0.9,0.3444321693229028,0.352546062413867,0.014285714285714285,0.07142857142857142,0.07428571428571429,0.0,0.13714285714285715,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,8,0.06216402806063274,0.0,0.4330494214639551,0.0,0.0,0.9615384615384616,0.0,0.2,0.0,0.2,0.05,0.08,0.07142857142857142,0.5,0.25
11,0.45647079302728666,0.5015351239324678,0.45647079302728666,0.5015351239324678,0.23632945151062196,0.5250707018963008,0.9171428571428571,0.3461516255685422,0.35444537280462757,0.017142857142857144,0.9171428571428571,0.3461516255685422,0.35444537280462757,0.017142857142857144,0.07714285714285714,0.08,0.0,0.16,0.0,0.0,0.026646027031898716,0.08436634914903715,11.794285714285714,0.0,0.0,0.15,0.08,5,0.07136735077747243,0.0,0.504388433034676,0.0,0.0,0.9642857142857143,0.0,0.2,0.0,0.2,0.05,0.08,0.07714285714285714,0.5,0.25
