agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,652,5,1.0,1.0,0.979666210290843,0.5838287613296579,0.7122356911081807,2.0,85.61969933937421,True,False,False,-1,0,False,0.0,55,55,
1,1,113,0.19669116659139688,0.20213347015469801,1.0,0.6230120466190077,0.22183436490818695,0.13233303644232014,0.6034647297788965,False,False,False,-1,0,False,2.11,37,37,
2,1,10,0.3583966117053127,0.5652773064233636,0.9866282866454025,0.5041465961036113,0.039277364933107836,0.0555982659618949,0.01831314723627813,False,False,False,-1,0,False,0.0,8,8,
3,0,248,0.1620813949117586,0.6558372069408155,0.949321250225544,0.5589374147378605,0.11899088305323259,0.0,0.0,False,False,False,-1,358,True,1.96,32,32,
4,0,476,0.22356512643987828,0.4867761536280637,0.8659953925579759,0.49765440524713034,0.11845840219475069,0.0,0.0,False,False,False,-1,360,True,2.71,57,57,
5,0,13,0.11403300998272614,0.38523926440165235,0.974997324949317,0.5483384998535027,0.07841637630439091,0.0,0.0,False,False,False,-1,0,False,0.0,9,9,
6,0,206,0.6553162699461416,0.1885017725836977,0.6809132803739132,0.493964487929793,0.2570274784638237,0.0,0.0,False,False,False,-1,345,True,2.32,44,44,
7,0,383,0.25947211174945284,0.3482764749059939,0.5220967471843891,0.5257520776444281,0.2230665571301356,0.0,0.0,False,False,False,-1,378,True,3.52,84,84,
8,0,199,0.12803218488972765,0.36784984107866353,0.8321663074951039,0.6090764863690781,0.1400798836448442,0.0,0.0,False,False,False,-1,285,True,2.2,40,40,
9,0,502,0.5046662564269311,0.41716427863651695,1.0,0.40355146379397744,0.4162892539642223,0.0,0.0,False,False,False,-1,416,True,2.29,43,43,
10,0,543,0.5167395476241242,0.3603644057697559,0.49366553369841837,0.4184867970538574,0.4309257177098898,0.0,0.0,False,False,False,-1,390,True,2.56,52,52,
11,1,62,0.2615016704934337,0.21196493509145242,0.974516262728811,0.4605097903407996,0.2919035500457374,0.06176985061691649,0.027990805570896914,False,False,False,-1,0,False,0.0,34,34,
12,295,179,1.0,1.0,0.8345259045963368,0.42173389437154796,0.5482325792056085,0.6605882437909486,0.8400677354311302,True,False,False,-1,227,True,2.41,47,47,
13,12,487,0.5730216931422439,0.8611562486955595,0.08883542205210546,0.49758964132282146,0.7888423204223873,0.21721828550711475,0.0024400409459787798,False,False,False,-1,410,True,2.5300000000000002,51,51,
14,0,11,0.5471171279962236,0.09102337350895624,0.9585533458572195,0.5086817049232368,0.3478398871330985,0.0,0.0,False,False,False,-1,0,False,0.0,28,28,
15,0,352,0.2346507095042296,0.17868557698801205,0.6942596403314528,0.5887486131686495,0.29664054964515885,0.0,0.0,False,False,False,-1,413,True,2.29,43,43,
16,0,419,0.10718293582458228,0.25526858160584864,0.6196606840203237,0.619024421101166,0.06721825630548331,0.0,0.0,False,False,False,-1,409,True,1.63,21,21,
17,1,219,0.4844097186735651,0.44296151564886477,0.5687022583432814,0.4969026286081143,0.12961875030966777,0.0864231598324505,0.10835983278310574,False,False,False,-1,98,True,1.45,15,15,
18,1,53,0.19099992645448732,0.2274113584071542,1.0,0.5393031400823927,0.3913946453537983,0.14338343675363394,0.8337477621301497,False,False,False,-1,0,False,0.0,29,29,
19,76,277,1.0,1.0,0.9081762109675665,0.5258252077942425,0.5265841728935181,0.3052708073800754,0.022753459315481,True,False,False,-1,381,True,1.75,25,25,
20,2,54,0.1379770643406063,0.1605241687572015,1.0,0.44100218610013214,0.48498204889106206,0.23756558862296623,1.0827240557506606,False,False,False,-1,0,False,0.0,37,37,
21,0,11,0.45830003944965153,0.251376878412787,0.9446604635330492,0.4782589310805943,0.4603726043975789,0.0,0.0,False,False,False,-1,0,False,0.0,32,32,
22,0,339,0.45461617394143955,0.4626332156985156,0.9719207340831798,0.42790760935555483,0.151015408743377,0.0,0.0,False,False,False,-1,393,True,2.11,37,37,
23,1,37,0.39744401432439636,0.5458412021736885,0.9590746230766592,0.5168141751513243,0.2827447098974872,0.04437106780281845,0.007377961646676513,False,False,False,-1,0,False,0.0,34,34,
24,1,75,0.20300781453623495,0.1859548722841743,0.9569002241514907,0.5252428817459766,0.44566737233960363,0.04929639769289949,0.011276875967695645,False,False,False,-1,0,False,1.63,21,21,
25,1,58,0.31876147244529657,0.1693443692553654,1.0,0.5370229762948118,0.05286611491757641,0.13101301440380797,0.5795675264796523,False,False,False,-1,0,False,0.0,18,18,
26,645,23,1.0,1.0,1.0,0.5341620612380319,0.6393055343778383,1.99,83.16189083905823,True,False,False,-1,0,False,0.0,19,19,
27,0,23,0.02268510779286427,0.36262626353004096,0.9349746683136018,0.504334069128301,0.25044360551231093,0.0,0.0,False,False,False,-1,0,False,0.0,23,23,
28,4,50,0.45404918794659943,0.10324900038518972,1.0,0.5461021081294648,0.16182782309749913,0.1762992546432824,0.05058922030571695,False,False,False,-1,0,False,0.0,25,25,
