eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.1,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0714285714285714,0.6518627236078416,0.04999999999999995,0.6702815541922589,0.1
0.0,0.1,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09229422480895261,0.4085714285714286,0.8221740099495997,0.1309550731192522,0.761813694325894,0.1
0.0,0.1,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1240384615384615,0.4142857142857143,0.8030667348714147,0.16868212642860525,0.7295737830366382,0.1
0.0,0.1,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.1002183406113537,0.36999999999999994,0.8215124727256868,0.1448992852501624,0.9148698361073275,0.1
0.0,0.1,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13752771859646065,0.3814285714285714,0.8069161887680576,0.1639141115058999,0.9577999137070512,0.1
0.0,0.1,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.14548926727264966,0.3857142857142857,0.8091562195644768,0.1634276729559748,0.9643677807328813,0.1
0.0,0.1,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09413361351895624,0.3057142857142857,0.7980831767323266,0.13363095238095235,0.9626930922111833,0.1
0.0,0.1,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.12909946236559133,0.3085714285714285,0.77952223490663,0.1368092691622103,0.9701688104099104,0.1
0.0,0.1,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13210868164014078,0.29857142857142854,0.7760177220024886,0.13845192207521614,0.968591871680952,0.1
0.0,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0671428571428571,0.6583487215028156,0.04999999999999995,0.6844477654961526,0.2
0.0,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0945965140109165,0.38857142857142857,0.8291241896510482,0.13344253313091414,0.8178161547781946,0.2
0.0,0.2,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1183916510080747,0.41857142857142854,0.8140262110346503,0.17124025173012186,0.807010147482282,0.2
0.0,0.2,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.1004366812227074,0.3571428571428571,0.8312971673759753,0.14418620305017593,0.927593711851274,0.2
0.0,0.2,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1396424730637339,0.38428571428571423,0.8123102646600753,0.16769877567252783,0.9612411964994207,0.2
0.0,0.2,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.14590254706533773,0.37857142857142856,0.8115069920548363,0.16666819713679645,0.9654512972246503,0.2
0.0,0.2,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09465180869800835,0.30142857142857143,0.7969224949147546,0.1352941176470588,0.9664458078859415,0.2
0.0,0.2,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13223366289295285,0.3028571428571429,0.7750547471115654,0.1408032441067442,0.9704399422982958,0.2
0.0,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1295631505614294,0.2928571428571428,0.7682027379425493,0.13953813249065475,0.9718828535414208,0.2
