sigma,pi_reward,base_opp,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime_hier,condition
0.25,0.5,0.3,1,0.3148148148148148,0.8457142857142858,0.12,0.8885400313971743,0.9764521193092621,0.206436420722135,MIXED,off
0.25,0.5,0.3,2,0.234375,0.8171428571428572,0.1257142857142857,0.9090291921249152,0.978275627970129,0.2437202987101154,MIXED,off
0.25,0.5,0.3,3,0.2608695652173913,0.8028571428571428,0.1314285714285714,0.8635778635778636,0.9819819819819819,0.2908622908622909,MIXED,off
0.25,0.5,0.3,4,0.2727272727272727,0.8428571428571429,0.1085714285714285,0.9305230288836847,0.9750195160031225,0.21935987509758,MIXED,off
0.25,0.5,0.3,5,0.2533333333333333,0.7857142857142857,0.1257142857142857,0.846703733121525,0.9674344718030182,0.31215250198570293,MIXED,off
0.25,0.5,0.3,6,0.3035714285714285,0.84,0.1171428571428571,0.9032,0.956,0.1952,MIXED,off
0.25,0.5,0.3,7,0.2372881355932203,0.8314285714285714,0.1028571428571428,0.9449458483754513,0.9756317689530686,0.3312274368231047,MIXED,off
0.25,0.5,0.3,8,0.2711864406779661,0.8314285714285714,0.0885714285714285,0.9057547956630525,0.9641367806505421,0.22935779816513763,QUIET,off
0.25,0.5,0.3,9,0.3157894736842105,0.8371428571428572,0.1285714285714285,0.889741800418702,0.9678995115143056,0.3496161898115841,MIXED,off
0.25,0.5,0.3,10,0.3571428571428571,0.84,0.1257142857142857,0.8576271186440678,0.9681355932203389,0.2128813559322034,MIXED,off
0.25,0.5,0.3,11,0.2419354838709677,0.8228571428571428,0.1371428571428571,0.8847611827141774,0.9818043972706596,0.25928733889310085,MIXED,off
0.25,0.5,0.3,12,0.2567567567567567,0.7885714285714286,0.14,0.8421787709497207,0.9832402234636871,0.2723463687150838,MIXED,off
0.25,0.5,0.3,13,0.2575757575757575,0.8114285714285714,0.1228571428571428,0.8828016643550625,0.9687933425797504,0.21359223300970873,MIXED,off
0.25,0.5,0.3,14,0.2857142857142857,0.82,0.1257142857142857,0.8934659090909091,0.9730113636363636,0.26207386363636365,MIXED,off
0.25,0.5,0.3,15,0.2833333333333333,0.8285714285714286,0.1028571428571428,0.9082774049217002,0.9604772557792692,0.24757643549589858,MIXED,off
0.25,0.5,0.3,16,0.2857142857142857,0.82,0.1228571428571428,0.9045801526717557,0.9709923664122138,0.28091603053435116,MIXED,off
0.25,0.5,0.3,17,0.2535211267605634,0.7971428571428572,0.12,0.9145129224652088,0.9821073558648111,0.3108018555334659,MIXED,off
0.25,0.5,0.3,18,0.2631578947368421,0.8371428571428572,0.1057142857142857,0.8900473933649289,0.9620853080568721,0.24454976303317535,MIXED,off
0.25,0.5,0.3,19,0.2539682539682539,0.82,0.1571428571428571,0.8766617429837519,0.9675036927621861,0.2548005908419498,MIXED,off
0.25,0.5,0.3,20,0.265625,0.8171428571428572,0.1285714285714285,0.8997837058399423,0.9783705839942322,0.28262436914203315,MIXED,off
0.25,0.5,0.3,21,0.3035714285714285,0.84,0.1342857142857142,0.9009695290858726,0.9778393351800554,0.2673130193905817,MIXED,off
0.25,0.5,0.3,22,0.3275862068965517,0.8342857142857143,0.1285714285714285,0.8770604395604396,0.9739010989010989,0.2190934065934066,MIXED,off
0.25,0.5,0.3,23,0.2857142857142857,0.86,0.1428571428571428,0.9017384731670446,0.9765684051398337,0.17989417989417988,MIXED,off
0.25,0.5,0.3,24,0.2285714285714285,0.8,0.14,0.9068797776233496,0.9777623349548298,0.2599027102154274,MIXED,off
0.25,0.5,0.3,25,0.2982456140350877,0.8371428571428572,0.12,0.9014276002719238,0.9721278042148198,0.28280081577158395,MIXED,off
