t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.358426356562172,0.4964514172110291,0.358426356562172,0.4964514172110291,0.2593396488283484,0.5,0.0,0.33937194830714035,0.34022412541716585,0.008571428571428572,0.0,0.33937194830714035,0.34022412541716585,0.008571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
1,0.3679542567992504,0.4967173774625175,0.3679542567992504,0.4967173774625175,0.2593396488283484,0.5003691710309258,0.6114285714285714,0.34205766259285464,0.3422384111314516,0.008571428571428572,0.6114285714285714,0.34205766259285464,0.3422384111314516,0.008571428571428572,0.07142857142857142,0.07142857142857142,0.0,0.04,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,70,0.010714285714285714,0.0,0.07142857142857142,0.0,0.0,1.0,0.25,0.25
2,0.37735074770062704,0.496849026246581,0.37735074770062704,0.496849026246581,0.2593396488283484,0.5006738159990632,0.8228571428571428,0.34428623402142605,0.34390983970288014,0.008571428571428572,0.8228571428571428,0.34428623402142605,0.34390983970288014,0.008571428571428572,0.05714285714285714,0.06,0.0,0.025714285714285714,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,63,0.01966071428571429,0.0,0.13,0.0,0.0,0.9523809523809523,0.25,0.25
3,0.38437895854494536,0.49713247368886254,0.38437895854494536,0.49713247368886254,0.2593396488283484,0.5005765284625052,0.9142857142857143,0.34605766259285464,0.3452384111314516,0.014285714285714285,0.9142857142857143,0.34605766259285464,0.3452384111314516,0.014285714285714285,0.04285714285714286,0.04857142857142857,0.0,0.06285714285714286,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,58,0.026848125,0.0,0.17597142857142858,0.0,0.0,1.0,0.25,0.25
4,0.3925385748542502,0.4975251088837601,0.3925385748542502,0.4975251088837601,0.2593396488283484,0.500846121431325,0.9114285714285715,0.3478290911642832,0.346566982560023,0.02,0.9114285714285715,0.3478290911642832,0.346566982560023,0.02,0.04857142857142857,0.04857142857142857,0.0,0.08571428571428572,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,54,0.03399959866071429,0.0,0.22102342857142857,0.0,0.0,0.9411764705882353,0.25,0.25
5,0.4028307976021199,0.4977257586303842,0.4028307976021199,0.4977257586303842,0.2593396488283484,0.5008482370487259,0.9228571428571428,0.3489148054499975,0.3473812682743087,0.02,0.9228571428571428,0.3489148054499975,0.3473812682743087,0.02,0.03428571428571429,0.03428571428571429,0.0,0.06571428571428571,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,51,0.038972457810267855,0.0,0.25088867428571426,0.0,0.0,1.0,0.25,0.25
6,0.4124566232777359,0.498285198951964,0.4124566232777359,0.498285198951964,0.2593396488283484,0.5011807460344775,0.92,0.3516576625928547,0.3494384111314516,0.02,0.92,0.3516576625928547,0.3494384111314516,0.02,0.06857142857142857,0.07714285714285714,0.0,0.06571428571428571,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,49,0.05034902409264509,0.14776123124999999,0.3230137579428571,0.9411919999999999,0.0,0.9629629629629629,0.25,0.25
7,0.4207468200984133,0.4982853784466991,0.4207468200984133,0.4982853784466991,0.2593396488283484,0.5015682775268273,0.9085714285714286,0.3538500533861609,0.3512812682743087,0.022857142857142857,0.9085714285714286,0.3538500533861609,0.3512812682743087,0.022857142857142857,0.06571428571428571,0.06571428571428571,0.0,0.06,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,42,0.05995442182932473,0.14850375,0.38226776849828575,0.9603999999999999,0.0,1.0,0.25,0.25
8,0.43087237988968063,0.498670765034629,0.43087237988968063,0.498670765034629,0.2593396488283484,0.5021326137342594,0.9028571428571428,0.3554500533861609,0.3526526968457373,0.022857142857142857,0.9028571428571428,0.3554500533861609,0.3526526968457373,0.022857142857142857,0.04285714285714286,0.045714285714285714,0.0,0.06285714285714286,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,39,0.06651179257732096,0.16411117528069116,0.42033669884260566,1.0771684761728175,0.0,1.0,0.25,0.25
9,0.4401017582174146,0.49802910788900906,0.4401017582174146,0.49802910788900906,0.2593396488283484,0.5027785376992499,0.9228571428571428,0.35794730535956837,0.3548384111314516,0.02857142857142857,0.9228571428571428,0.35794730535956837,0.3548384111314516,0.02857142857142857,0.06857142857142857,0.07714285714285714,0.0,0.08857142857142856,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,35,0.07775066218586292,0.29009542906038893,0.4890728220086107,1.747137239524098,0.0,0.9259259259259259,0.25,0.25
10,0.449652943088568,0.49754620035818375,0.449652943088568,0.49754620035818375,0.2593396488283484,0.5032020728184642,0.9028571428571428,0.358518733930997,0.35526698256002304,0.02857142857142857,0.9028571428571428,0.358518733930997,0.35526698256002304,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.0,0.11428571428571428,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,34,0.07950476601779075,0.28864495191508704,0.4935770798541527,1.712194494733616,0.0,1.0,0.25,0.25
11,0.46023190735857805,0.49769886736255625,0.46023190735857805,0.49769886736255625,0.2593396488283484,0.5036296382247764,0.8828571428571429,0.3605989734318884,0.3574098397028802,0.03142857142857143,0.8828571428571429,0.3605989734318884,0.3574098397028802,0.03142857142857143,0.07714285714285714,0.07714285714285714,0.0,0.15428571428571428,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,34,0.09057823339596734,0.2912613315843897,0.5608483953999268,1.7756258564020486,0.0,0.9629629629629629,0.25,0.25
12,0.4691630627987671,0.4976176108088849,0.4691630627987671,0.4976176108088849,0.2593396488283484,0.5032130517418267,0.8971428571428571,0.3625989734318884,0.35940334007756436,0.03142857142857143,0.8971428571428571,0.3625989734318884,0.35940334007756436,0.03142857142857143,0.06857142857142857,0.07142857142857142,0.0,0.17714285714285713,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,33,0.1002826785547219,0.29257462593656247,0.6210599989204997,1.8078415935999996,0.0,0.96,0.25,0.25
13,0.4782870555395638,0.49772774013457455,0.4782870555395638,0.49772774013457455,0.2593396488283484,0.5029162567623007,0.9028571428571428,0.36607195183026353,0.36283191150613575,0.03428571428571429,0.9028571428571428,0.36607195183026353,0.36283191150613575,0.03428571428571429,0.11142857142857143,0.12571428571428572,0.0,0.17714285714285713,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,32,0.11544998472371054,0.4311161475498912,0.7343530846563755,2.526112622453196,0.0,0.9772727272727273,0.25,0.25
14,0.48762546133997264,0.4983964961326977,0.48762546133997264,0.4983964961326977,0.2593396488283484,0.5024675570956676,0.9114285714285715,0.36843765810444284,0.3651842165367099,0.03428571428571429,0.9114285714285715,0.36843765810444284,0.3651842165367099,0.03428571428571429,0.08285714285714285,0.08571428571428572,0.0,0.24857142857142858,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,26,0.12466262506121524,0.4390608933357624,0.8053803086775336,2.720699094919076,0.0,0.9666666666666667,0.25,0.25
15,0.499087058960082,0.49846661762530176,0.499087058960082,0.49846661762530176,0.2593396488283484,0.5019476116451189,0.8942857142857142,0.3696948009615857,0.36649160042317425,0.04,0.8942857142857142,0.3696948009615857,0.36649160042317425,0.04,0.06571428571428571,0.06571428571428571,0.0,0.2542857142857143,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,24,0.1313851845195603,0.4368655888690836,0.8549869882182686,2.6662851130206944,0.0,1.0,0.25,0.25
16,0.5081121186764153,0.49817963899225903,0.5081121186764153,0.49817963899225903,0.2593396488283484,0.5006344672299368,0.92,0.3721638859234375,0.3689491869217911,0.04857142857142857,0.92,0.3721638859234375,0.3689491869217911,0.04857142857142857,0.09714285714285714,0.11142857142857143,0.0,0.26857142857142857,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,23,0.1418491818425469,0.4473067500000001,0.9493158198824748,2.9287200000000015,0.0,0.9743589743589743,0.25,0.25
17,0.5165155456141024,0.49705651359168385,0.5165155456141024,0.49705651359168385,0.2593396488283484,0.49977980339457806,0.9142857142857143,0.37501903323358543,0.37207775835036255,0.05142857142857143,0.9142857142857143,0.37501903323358543,0.37207775835036255,0.05142857142857143,0.11142857142857143,0.12285714285714286,0.0,0.35428571428571426,0.0,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,21,0.1547134833586673,0.4604047643448658,1.0531866463419681,2.981614652088147,0.0,0.9534883720930233,0.25,0.25
18,0.524973668558373,0.49774759462435686,0.524973668558373,0.49774759462435686,0.2593396488283484,0.49900583186874,0.8942857142857142,0.3780476046621569,0.3751210908564209,0.05714285714285714,0.8942857142857142,0.3780476046621569,0.3751210908564209,0.05714285714285714,0.11428571428571428,0.12571428571428572,0.0,0.4085714285714286,0.005714285714285714,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,19,0.16650604470445304,0.5795652773218192,1.1578371991294145,3.481178437807751,0.0,1.0,0.25,0.25
19,0.5342980183488836,0.4974248283192586,0.5342980183488836,0.4974248283192586,0.2593396488283484,0.49884992798864597,0.9057142857142857,0.38012295781933925,0.3768782337135637,0.06,0.9057142857142857,0.38012295781933925,0.3768782337135637,0.06,0.07714285714285714,0.08571428571428572,0.0,0.48,0.005714285714285714,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,17,0.17419575702231885,0.5787471272937436,1.2203947408611118,3.4651524500392528,0.0,0.9333333333333333,0.25,0.25
20,0.5438628295914486,0.49739056915708424,0.5438628295914486,0.49739056915708424,0.2593396488283484,0.4987910733546653,0.88,0.3825229578193393,0.37897823371356376,0.06285714285714286,0.88,0.3825229578193393,0.37897823371356376,0.06285714285714286,0.07714285714285714,0.08285714285714285,0.0,0.54,0.008571428571428572,0.0,0.18856560691004348,0.08499999999999998,11.794285714285714,0.0,0.0,0.15,0.2,14,0.18249781968643358,0.6997141516285988,1.2788439889010321,3.793086063185834,0.0,0.9655172413793104,0.25,0.25
21,0.5545641456630597,0.49802649804537547,0.5534577771033766,0.49841439377784336,0.2593396488283484,0.4989626852950272,0.8739255014326648,0.3847364498313274,0.38158659962111,0.06303724928366762,0.8714285714285714,0.38455518074295414,0.38126550588487784,0.06285714285714286,0.09428571428571429,0.10571428571428572,0.002857142857142857,0.6542857142857142,0.008595988538681949,0.002857142857142857,0.1887714478048998,0.08499999999999998,11.74785100286533,0.0,0.0,0.15,0.20057306590257878,13,0.18741076985230498,0.7225339904074324,1.3589813948372975,4.316698988981189,0.0,1.0,0.25,0.25
22,0.5633863052480553,0.49761906277790563,0.5622547305181295,0.49801973912615577,0.2593396488283484,0.4991558689695267,0.8424068767908309,0.38763787421244633,0.384577134557314,0.06303724928366762,0.84,0.3874483153401271,0.3842474964355498,0.06285714285714286,0.12,0.13428571428571429,0.002857142857142857,0.7628571428571429,0.017191977077363897,0.0,0.1888367874692001,0.08499999999999998,11.74785100286533,0.0,0.0,0.15,0.20057306590257878,13,0.19720873994361682,0.7376712566013404,1.4660874812262656,4.603165535173872,0.0,0.9148936170212766,0.25,0.25
23,0.5732584289836896,0.49781560594571655,0.5716947622791385,0.4979245879719068,0.2593396488283484,0.49915970536281185,0.8270893371757925,0.3901467280731066,0.3878645105205244,0.06340057636887608,0.82,0.3893212051656459,0.3868189250069784,0.06285714285714286,0.10571428571428572,0.13428571428571429,0.008571428571428572,0.9171428571428571,0.025936599423631124,0.005714285714285714,0.18998265180633309,0.08499999999999998,11.435158501440922,0.0,0.0,0.15,0.2017291066282421,10,0.20446912175010148,0.8411850320870083,1.5710514458874545,4.6839100736524095,0.0,0.9574468085106383,0.25,0.25
24,0.5802863894450259,0.4981763446253854,0.5786624830793775,0.4982033144534209,0.2593396488283484,0.49925053670269914,0.7780979827089337,0.39331675689155043,0.39093367478565405,0.07492795389048991,0.7714285714285715,0.3924640623085031,0.3898617821498354,0.07428571428571429,0.1457142857142857,0.16285714285714287,0.008571428571428572,1.0657142857142856,0.023054755043227664,0.0,0.19027674035195766,0.08499999999999998,11.435158501440922,0.0,0.0,0.15,0.1988472622478386,7,0.2155277155747426,0.887447787415294,1.7024875598268487,5.418736526780047,0.0,1.0,0.25,0.25
25,0.5901632034575897,0.4987072015304148,0.587530716118576,0.498384908757394,0.2593396488283484,0.4997291353732084,0.815028901734104,0.39594912068283167,0.3947423031780493,0.08092485549132948,0.8057142857142857,0.39478087420440106,0.3932173445294967,0.08,0.12857142857142856,0.16857142857142857,0.011428571428571429,1.2342857142857142,0.03468208092485549,0.002857142857142857,0.19025908250772763,0.08499999999999996,11.433526011560694,0.0,0.0,0.15,0.1994219653179191,4,0.2240350840245008,0.9978989410986937,1.8370092372017404,5.766569682029685,0.0,0.9830508474576272,0.25,0.25
26,0.5985336582235972,0.4985284710949223,0.5959589704776556,0.4984022728127426,0.2593396488283484,0.4997091468112032,0.7913043478260869,0.39946219572086106,0.39862788395298593,0.08985507246376812,0.78,0.3976951599186868,0.39661180033895027,0.08857142857142856,0.15714285714285714,0.19142857142857142,0.014285714285714285,1.3971428571428572,0.03188405797101449,0.002857142857142857,0.1902520381009528,0.08499999999999996,11.420289855072463,0.0,0.0,0.15,0.19710144927536233,4,0.23588605146152117,1.0372054199624905,1.9916976238862767,6.400538690041057,0.0,0.9701492537313433,0.25,0.25
27,0.6056319015414774,0.4979652992074164,0.6022535131829204,0.4978496348020428,0.2593396488283484,0.4996419249353528,0.7558139534883721,0.4023001756066696,0.40146450217669066,0.09883720930232558,0.7428571428571429,0.40035069361357056,0.39932877818074525,0.09714285714285714,0.14857142857142858,0.1657142857142857,0.017142857142857144,1.5657142857142856,0.040697674418604654,0.002857142857142857,0.1904798369315574,0.08499999999999998,11.348837209302326,0.0,0.0,0.15,0.2005813953488372,4,0.24534584592924197,1.2555973331023984,2.117577957122837,7.030351837398612,0.0,0.9827586206896551,0.25,0.25
28,0.616567710529941,0.4977500134270884,0.6121026236955842,0.4981616182654097,0.2593396488283484,0.4997899023001542,0.7653958944281525,0.4050504149450274,0.40320972288517737,0.09970674486803519,0.7457142857142857,0.4023506936135705,0.40147163532360236,0.09714285714285714,0.13428571428571429,0.16285714285714287,0.025714285714285714,1.6885714285714286,0.04398826979472141,0.008571428571428572,0.19115491478454422,0.08499999999999998,11.161290322580646,0.0,0.0,0.15,0.20234604105571846,4,0.25163254598531004,1.2557867603228872,2.238083540837523,7.034622028682231,0.0,0.9649122807017544,0.25,0.25
29,0.6235939570690826,0.497289163224467,0.6181551231884476,0.49773003341250177,0.2593396488283484,0.49981175451989995,0.7669616519174042,0.4082508800276509,0.40727620958495364,0.10914454277286136,0.7428571428571429,0.40488761625171116,0.4043450495235035,0.10571428571428572,0.14285714285714285,0.18285714285714286,0.03142857142857143,1.8857142857142857,0.05604719764011799,0.005714285714285714,0.19176527163413873,0.08499999999999998,11.11504424778761,0.0,0.0,0.15,0.20058997050147492,2,0.2591742003834481,1.305072192188285,2.376179012877915,7.679251900373723,0.0,1.0,0.25,0.25
30,0.6330665082044736,0.4960886066382968,0.6270670300640786,0.49698060813000194,0.2593396488283484,0.49980693479853566,0.7159763313609467,0.410415335849074,0.40958544952961806,0.11242603550295859,0.6914285714285714,0.40639542755702807,0.40642696254791427,0.10857142857142857,0.12571428571428572,0.16285714285714287,0.03428571428571429,2.1,0.05621301775147929,0.002857142857142857,0.19195207823197097,0.08499999999999996,11.088757396449704,0.0,0.0,0.15,0.20118343195266272,2,0.2631312669654275,1.2985468312273436,2.4915125754775,7.525666862366249,0.0,1.0,0.25,0.25
31,0.6405091903458994,0.4963433888104628,0.6328947523144877,0.497178774342729,0.2593396488283484,0.49974593559688874,0.6904761904761905,0.41366640791548875,0.4127433027970538,0.11904761904761904,0.6628571428571428,0.4098013313043132,0.40994909346692493,0.11428571428571428,0.17142857142857143,0.20857142857142857,0.04,2.2914285714285714,0.08035714285714286,0.005714285714285714,0.19199442449754198,0.08499999999999998,11.071428571428571,0.0,0.0,0.15,0.19940476190476192,2,0.2742872958976946,1.480770764168545,2.6502537525393786,8.37230386044461,0.0,0.9726027397260274,0.25,0.25
32,0.6462344457617136,0.4962444403845514,0.6380458757679566,0.49723351176755953,0.2593396488283484,0.49942513406443234,0.641566265060241,0.41702628324760205,0.4165807777845566,0.12650602409638553,0.6085714285714285,0.41207663830327695,0.4122633791812106,0.12,0.14285714285714285,0.19142857142857142,0.05142857142857143,2.4657142857142857,0.07228915662650602,0.011428571428571429,0.19262069573742285,0.08499999999999998,10.939759036144578,0.0,0.0,0.15,0.19879518072289157,1,0.281244127100233,1.5470914175892159,2.7886772489171623,8.786056229572585,0.0,0.9850746268656716,0.25,0.25
33,0.6505383047374202,0.497181532244641,0.6436860156281011,0.49764352383554605,0.2593396488283484,0.4990090872801108,0.6523076923076923,0.42074866228027114,0.41923191587898934,0.13230769230769232,0.6057142857142858,0.41519953081914196,0.41564276905764946,0.12285714285714286,0.22,0.2857142857142857,0.07142857142857142,2.757142857142857,0.08,0.02,0.19295961432031608,0.08499999999999998,10.836923076923076,0.0,0.0,0.15,0.2,1,0.2898117608223306,1.831842293760026,3.0186179896531042,10.184079101059519,0.0,1.0,0.25,0.25
34,0.6563469102447125,0.4968147598553111,0.6480498356853616,0.4970922971310672,0.2593396488283484,0.4986942898420125,0.5820433436532507,0.42370138039182553,0.4219352180669121,0.13622291021671826,0.5371428571428571,0.41744946163141783,0.418402802333403,0.12571428571428572,0.18,0.25142857142857145,0.07714285714285714,2.9685714285714284,0.09907120743034056,0.005714285714285714,0.19363043352267792,0.08499999999999998,10.743034055727554,0.0,0.0,0.15,0.20123839009287925,1,0.29652427593669234,1.9065708357185855,3.209674201288614,11.708035202944146,0.0,1.0,0.25,0.25
