t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.34762732679760017,0.5013237543060031,0.34762732679760017,0.5013237543060031,0.24908806407921,0.5,0.0,0.3367942435537577,0.34785709531154907,0.002857142857142857,0.0,0.3367942435537577,0.34785709531154907,0.002857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.25
1,0.35533816399325846,0.5014625030266401,0.35533816399325846,0.5014625030266401,0.24908806407921,0.5055079605521039,0.6771428571428572,0.3370228149823291,0.34802852388297767,0.002857142857142857,0.6771428571428572,0.3370228149823291,0.34802852388297767,0.002857142857142857,0.005714285714285714,0.005714285714285714,0.0,0.02,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0008571428571428571,0.0,0.005714285714285714,0.0,0.0,0.5,0.22,0.25
2,0.36300473483282947,0.5014038554059065,0.36300473483282947,0.5014038554059065,0.24908806407921,0.511498374005812,0.8971428571428571,0.33765138641090053,0.3484999524544062,0.002857142857142857,0.8971428571428571,0.33765138641090053,0.3484999524544062,0.002857142857142857,0.017142857142857144,0.017142857142857144,0.0,0.025714285714285714,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0034242857142857148,0.0,0.02274285714285714,0.0,0.0,0.6666666666666666,0.22,0.25
3,0.37451518902411374,0.5013075049854075,0.37451518902411374,0.5013075049854075,0.24908806407921,0.5166222511503313,0.8885714285714286,0.3387371006966148,0.34931423816869195,0.002857142857142857,0.8885714285714286,0.3387371006966148,0.34931423816869195,0.002857142857142857,0.025714285714285714,0.03142857142857143,0.0,0.02,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,27,0.00812145,0.0,0.05371657142857143,0.0,0.0,0.8181818181818182,0.22,0.25
4,0.3844741504539757,0.501651853326867,0.3844741504539757,0.501651853326867,0.24908806407921,0.5213875693815312,0.8742857142857143,0.33976567212518627,0.3500856667401205,0.002857142857142857,0.8742857142857143,0.33976567212518627,0.3500856667401205,0.002857142857142857,0.025714285714285714,0.025714285714285714,0.0,0.03142857142857143,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,23,0.011937985607142857,0.0,0.07835652571428571,0.0,0.0,1.0,0.22,0.25
5,0.3956052060539175,0.5024969845746693,0.3956052060539175,0.5024969845746693,0.24908806407921,0.5256060112204637,0.8942857142857142,0.3411371006966148,0.3511142381686919,0.008571428571428572,0.8942857142857142,0.3411371006966148,0.3511142381686919,0.008571428571428572,0.03428571428571429,0.037142857142857144,0.0,0.04285714285714286,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,20,0.017449724250535717,0.0,0.11393225234285714,0.0,0.0,0.9230769230769231,0.22,0.25
6,0.40336927607567635,0.502061050960173,0.40336927607567635,0.502061050960173,0.24908806407921,0.5199756286217635,0.8857142857142857,0.34165138641090054,0.35149995245440624,0.008571428571428572,0.8857142857142857,0.34165138641090054,0.35149995245440624,0.008571428571428572,0.014285714285714285,0.014285714285714285,0.0,0.02857142857142857,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,19,0.019505332772140175,0.0,0.12593932158171428,0.0,0.0,0.8,0.22,0.25
7,0.4137569923770559,0.502235257939134,0.4137569923770559,0.502235257939134,0.24908806407921,0.5143546912497939,0.8971428571428571,0.34230429684387853,0.3521428095972634,0.014285714285714285,0.8971428571428571,0.34230429684387853,0.3521428095972634,0.014285714285714285,0.022857142857142857,0.022857142857142857,0.0,0.014285714285714285,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,19,0.022836377536850905,0.0,0.14627767800722286,0.0,0.0,1.0,0.22,0.25
8,0.42343411114108337,0.5024262583553587,0.42343411114108337,0.5024262583553587,0.24908806407921,0.5112529765459762,0.8914285714285715,0.34334217576938214,0.35304280959726336,0.014285714285714285,0.8914285714285715,0.34334217576938214,0.35304280959726336,0.014285714285714285,0.03428571428571429,0.03428571428571429,0.0,0.017142857142857144,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,19,0.02786505279202379,0.0,0.17763783873279268,0.0,0.0,1.0,0.22,0.25
9,0.4307028155902869,0.5027722409105692,0.4307028155902869,0.5027722409105692,0.24908806407921,0.5083264954020935,0.9085714285714286,0.34431360434081076,0.3539428095972634,0.014285714285714285,0.9085714285714286,0.34431360434081076,0.3539428095972634,0.014285714285714285,0.03428571428571429,0.03428571428571429,0.0,0.008571428571428572,0.0,0.0,0.03326765954223875,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,17,0.03286858467092081,0.0,0.2083707962438511,0.0,0.0,0.8333333333333334,0.22,0.25
