agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,28,0.21808591089718904,0.3535015453187414,0.7926249643995855,0.4253078011189529,0.3297560680516534,0.0,0.0,False,False,True,70,14,False,3.07,3,3,
1,0,28,0.23269254480119525,0.2287867786648437,0.9344842878011957,0.7146218478847653,0.14738629269261933,0.0,0.0,False,False,True,84,25,False,2.44,4,4,
2,0,170,0.3656901112569395,0.3319455259380064,0.8724835277220112,0.20015341181817856,0.3377580374279847,0.0,0.0,False,False,True,105,85,False,2.77,5,5,
3,0,76,0.4650538832059517,0.6220262227167703,0.7893533441274778,0.45503741929494745,0.13406275937543588,0.0,0.0,False,False,True,107,66,False,2.02,2,2,
4,1,2,0.3975738690291503,0.4616619774741413,1.0,0.507547093308918,0.03723954044100337,0.06176985061691649,0.027990805570896914,False,False,False,-1,0,False,0.0,3,3,
5,518,5,1.0,1.0,1.0,0.460055635872171,0.49769362271910705,1.2738176517877562,12.573095941833747,True,False,False,-1,0,False,0.0,3,3,
6,0,25,0.3111131249017718,0.4362974088905846,0.8622390510880862,0.6811189257659886,0.38463116238031964,0.0,0.0,False,False,True,114,30,False,1.72,1,1,
7,0,170,0.31930855015422555,0.5201734402452697,0.7446733489400983,0.4400203197457638,0.2703684338440195,0.0,0.0,False,False,True,226,141,False,1.69,2,2,
8,0,60,0.6856877898556093,0.3509531484171262,0.8143867773177639,0.5261994358574645,0.14393117121037796,0.0,0.0,False,False,True,55,24,False,3.01,3,3,
9,0,51,0.46242981937572775,0.20992357859509767,0.9004370323931377,0.5239456538501908,0.07533526046595186,0.0,0.0,False,False,True,92,40,False,2.4699999999999998,1,1,
10,658,147,1.0,1.0,1.0,0.4561531372794989,0.5389767126932933,2.0,66.56901985143898,True,False,False,-1,0,False,0.0,19,19,
11,0,262,0.514780838244271,0.43709934425417124,0.8832830737629176,0.0750694747214477,0.029130724847044296,0.0,0.0,False,False,True,183,147,False,1.75,1,1,
12,0,41,0.5390073381373063,0.415337078134255,0.513933936500029,0.3768388070814571,0.034644587577291434,0.0,0.0,False,False,True,53,29,False,2.8899999999999997,1,1,
13,0,82,0.1904247068546355,0.6090103034739492,0.8060037745129817,0.09849996522636957,0.7293059507571423,0.0,0.0,False,False,True,133,58,False,1.8399999999999999,3,3,
14,0,51,0.2978656374944491,0.22974974725292993,0.7918693486720174,0.3036539849612252,0.384633614798708,0.0,0.0,False,False,True,63,21,False,1.96,2,2,
15,0,25,0.49914592827528215,0.14208832219280404,0.9802098067925104,0.6209045458160849,0.1988956198370971,0.0,0.0,False,False,True,83,14,False,1.42,1,1,
