agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,74,0.3851238323254835,0.07513274323799084,0.7688391058870314,0.41998560763560927,0.3365919586215579,0.0,0.0,False,False,True,52,33,False,2.8,4,4,
1,0,27,0.1413045585701677,0.2608243878880782,0.9775848293331609,0.43324944227469847,0.2153574124228127,0.0,0.0,False,False,True,70,25,False,1.75,2,2,
2,0,101,0.14385468411689487,0.7884016327570446,0.887475992250488,0.5190291172796438,0.06687606806397095,0.0,0.0,False,False,True,189,131,False,2.3499999999999996,3,3,
3,1,78,0.4771505370653339,0.39989527796773694,0.8286292415908256,0.6837652716220608,0.13368300047865267,0.05476845489263037,0.017236187673607083,False,False,True,381,23,False,1.33,1,1,
4,517,162,1.0,1.0,0.9970907964477556,0.48445550259552417,0.5598744120241617,1.98005,54.63564271190864,True,False,False,-1,0,False,0.0,19,19,
5,0,96,0.4809290143650258,0.5845871679615773,0.6778815895502102,0.12320835275330304,0.43937368950826233,0.0,0.0,False,False,True,82,45,False,2.44,4,4,
6,0,171,0.12408993256444913,0.1969971045329695,0.7272090385702485,0.6015421838249426,0.06124967500971055,0.0,0.0,False,False,True,153,124,False,1.8399999999999999,3,3,
7,0,25,0.21169349987166244,0.19485730019548675,0.6201917374384501,0.4841093242389742,0.18841620976766119,0.0,0.0,False,False,True,45,15,False,2.86,4,4,
8,0,88,0.527150428673688,0.15647558784529914,0.5507271750948243,0.12376564892093424,0.08479373802181657,0.0,0.0,False,False,True,83,48,False,2.5,3,3,
9,490,406,1.0,1.0,0.9964433002942793,0.4871479716784766,0.46994649731000604,2.0,53.14414020899815,True,False,False,-1,0,False,0.0,22,22,
10,2,26,0.44802354105877124,0.4705865393009141,0.9931616508350762,0.4580939294427714,0.24977476443327884,0.07109813521004123,0.006140809657459147,False,False,False,-1,0,False,0.0,18,18,
11,0,224,0.4709288877384883,0.17966710086230803,0.4564491348663428,0.6855866254921006,0.170503968425414,0.0,0.0,False,False,True,197,142,False,1.96,2,2,
12,0,62,0.39608092452951243,0.19672135249049488,0.9767533106081282,0.5478693163462816,0.3815941943011559,0.0,0.0,False,False,True,80,36,False,2.17,1,1,
13,0,235,0.27945686105376394,0.4392050440797099,0.5486612943113857,0.3527510631418484,0.301435716783911,0.0,0.0,False,False,True,256,199,False,1.87,3,3,
14,0,94,0.29764020735052765,0.200673021892384,0.938660634913718,0.33323633639644384,0.294457623314149,0.0,0.0,False,False,True,283,79,False,1.75,3,3,
15,0,86,0.19041102613133415,0.3019659997024898,0.9115949655020167,0.08621339599034313,0.1343688170578617,0.0,0.0,False,False,True,162,94,False,1.81,1,1,
16,0,71,0.09132052374187173,0.07319612806651166,0.6326694915279715,0.7804721031789432,0.16218464398520188,0.0,0.0,False,False,True,85,45,False,2.32,4,4,
17,1,16,0.37843500692124193,0.10729693823359598,0.6777726724980995,0.6426297482332901,0.1246421847790896,0.017291754478571068,0.00016536310693521307,False,False,True,52,13,False,1.93,0,0,
18,1,23,0.34080294197346395,0.4280980917838022,1.0,0.3879829744432121,0.38039521281990024,0.1343380486100817,0.6411706960735924,False,False,False,-1,0,False,0.0,16,16,
19,0,27,0.6125415114511333,0.5655086265326613,0.891873967178337,0.47582308440856474,0.36950525674206086,0.0,0.0,False,False,True,100,20,False,2.02,3,3,
20,0,50,0.3198027736423606,0.3764066241690827,0.8302675590176404,0.17860740119071875,0.3717985813661005,0.0,0.0,False,False,True,104,40,False,1.9,2,2,
21,0,3,0.3455422649469258,0.11590625924351235,0.9759871458560371,0.4832614199375836,0.281292359888107,0.0,0.0,False,False,False,-1,0,False,0.0,13,13,
22,5,0,0.5968697751624321,0.45705398812891107,1.0,0.4759385036368429,0.038528018584548275,0.3491323505605892,0.8786800024265445,False,False,False,-1,0,False,0.0,6,6,
23,2,63,0.6354478661435581,0.22671386729343915,0.8714130932427873,0.16503807412277902,0.13283961775318232,0.06651017537031159,0.005445757143699868,False,False,True,306,21,False,1.27,1,1,
24,0,28,0.14474605588928677,0.3199348043080361,0.9152023810099039,0.46743553067330135,0.4503659855095614,0.0,0.0,False,False,True,81,16,False,2.08,3,3,
25,0,27,0.23271830094133483,0.5127692165526291,0.4076871848276208,0.49527519437639544,0.3105494252735387,0.0,0.0,False,False,True,67,23,False,1.96,3,3,
26,0,20,0.32087957506907544,0.25965473292461205,0.9451857142347991,0.1861685368508547,0.1942064488144002,0.0,0.0,False,False,True,128,13,False,1.3900000000000001,1,1,
27,0,50,0.455084856086863,0.03870701167107921,0.864171789645087,0.07497362598778616,0.23995784151407737,0.0,0.0,False,False,True,108,48,False,1.51,1,1,
28,0,12,0.3404772643968465,0.24655211403804173,0.9492192962450579,0.7014875813041733,0.15558212550908293,0.0,0.0,False,False,True,59,14,False,1.78,2,2,
29,0,1,0.19248283290669904,0.531316965462934,1.0,0.523156712751569,0.21640361503351366,0.0,0.0,False,False,False,-1,0,False,0.0,7,7,
30,1,1,0.44848210116955933,0.5227726154306359,0.9899040887367787,0.48191618231517014,0.3773673457505739,0.09698381951329502,0.1724521389063193,False,False,False,-1,0,False,0.0,7,7,
