agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,38,0.3851238323254835,0.07513274323799084,0.5776953312090297,0.4332738982593272,0.3365919586215579,0.0,0.0,False,False,True,38,21,False,2.86,6,6,
1,0,116,0.1413045585701677,0.2608243878880782,0.8104416436928344,0.2554957667067973,0.2153574124228127,0.0,0.0,False,False,True,149,111,False,1.66,1,1,
2,0,57,0.14385468411689487,0.7884016327570446,0.9835452337878853,0.5586899180602926,0.06687606806397095,0.0,0.0,False,False,True,172,48,False,2.3499999999999996,2,2,
3,2,57,0.5171505370653339,0.42989527796773697,0.9712481909958253,0.4294424670569418,0.13368300047865267,0.13152189791719932,0.07421247048890728,False,False,False,-1,0,False,0.0,9,9,
4,529,251,1.0,1.0,1.0,0.42650699452252433,0.5598744120241617,1.99,55.045357873259675,True,False,False,-1,0,False,0.0,20,20,
5,0,66,0.4809290143650258,0.5845871679615773,1.0,0.3923638478850629,0.43937368950826233,0.0,0.0,False,False,True,59,37,False,2.5,2,2,
6,0,77,0.12408993256444913,0.1969971045329695,0.9544004256871554,0.3334623549202362,0.06124967500971055,0.0,0.0,False,False,True,96,56,False,1.93,2,2,
7,0,131,0.21169349987166244,0.19485730019548675,0.6711419372082865,0.2513005484299702,0.18841620976766119,0.0,0.0,False,False,True,132,94,False,2.59,3,3,
8,0,71,0.527150428673688,0.15647558784529914,0.8936228196197777,0.30111549199109405,0.08479373802181657,0.0,0.0,False,False,True,80,47,False,2.59,3,3,
9,513,281,1.0,1.0,0.9769567378586658,0.3775308899325804,0.46994649731000604,2.0,51.72789629367473,True,False,False,-1,0,False,0.0,22,22,
10,1,118,0.38802354105877124,0.42558653930091406,0.9823715582722685,0.5031964109254616,0.24977476443327884,0.03187301957669187,0.0019447213808103825,False,False,True,376,92,False,1.45,1,1,
11,0,133,0.4709288877384883,0.17966710086230803,0.7470783023057315,0.553325980266778,0.170503968425414,0.0,0.0,False,False,True,168,113,False,1.99,2,2,
12,1,280,0.4160809245295124,0.21172135249049487,0.8038903404127616,0.4184576229058469,0.3815941943011559,0.017553746336867102,0.0001756954021445285,False,False,True,215,168,False,1.87,3,3,
13,0,29,0.27945686105376394,0.4392050440797099,0.9909882054302708,0.7807860017913958,0.301435716783911,0.0,0.0,False,False,True,114,24,False,2.17,3,3,
14,0,101,0.29764020735052765,0.200673021892384,0.8869283807143415,0.5859448738877014,0.294457623314149,0.0,0.0,False,False,True,241,67,False,1.78,3,3,
15,0,27,0.19041102613133415,0.3019659997024898,0.7408079513218637,0.48190184293989785,0.1343688170578617,0.0,0.0,False,False,True,77,22,False,2.02,2,2,
16,0,28,0.09132052374187173,0.07319612806651166,0.6303442397217881,0.7168913268155729,0.16218464398520188,0.0,0.0,False,False,True,65,16,False,2.3499999999999996,2,2,
17,1,33,0.37843500692124193,0.10729693823359598,0.8350920874565295,0.6037167634077665,0.1246421847790896,0.017291754478571068,0.00016536310693521307,False,False,True,99,22,False,1.81,2,2,
18,1,26,0.34080294197346395,0.4280980917838022,0.958389010721918,0.47283740847080813,0.38039521281990024,0.06692790936655076,0.03867213832613875,False,False,False,-1,0,False,0.0,17,17,
19,2,78,0.6925415114511334,0.6255086265326614,0.7961128376348169,0.2968235354309284,0.36950525674206086,0.044254379839526556,0.0010929851353344597,False,False,True,207,62,False,2.02,3,3,
20,0,50,0.3198027736423606,0.3764066241690827,0.9373789451831289,0.8252522362070202,0.3717985813661005,0.0,0.0,False,False,True,84,31,False,1.93,2,2,
21,1,4,0.3855422649469258,0.14590625924351236,1.0,0.39509890809906356,0.281292359888107,0.1356915720411926,0.6676079717550942,False,False,False,-1,0,False,0.0,15,15,
22,3,2,0.5568697751624321,0.42705398812891104,1.0,0.38455753138764376,0.038528018584548275,0.21502983086284796,0.43129008721304435,False,False,False,-1,0,False,0.0,6,6,
23,1,59,0.595447866143558,0.19671386729343918,0.8781684828405479,0.37005493984400617,0.13283961775318232,0.03351138691066533,0.0023801078244402194,False,False,True,250,58,False,1.27,1,1,
24,0,43,0.14474605588928677,0.3199348043080361,0.9823630239442777,0.46059282043926786,0.4503659855095614,0.0,0.0,False,False,True,144,35,False,1.99,2,2,
25,0,35,0.23271830094133483,0.5127692165526291,0.8376841831594742,0.46473510606817237,0.3105494252735387,0.0,0.0,False,False,True,80,32,False,2.02,1,1,
26,0,99,0.32087957506907544,0.25965473292461205,0.7002695781830015,0.3377437653460104,0.1942064488144002,0.0,0.0,False,False,True,318,55,False,1.45,1,1,
27,0,61,0.455084856086863,0.03870701167107921,0.9883477133068456,0.6718125408050888,0.23995784151407737,0.0,0.0,False,False,True,105,50,False,1.54,2,2,
