agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,83,0.49080352425695895,0.16549608910758692,0.891773904476856,0.5809054127402844,0.1168373031525927,0.0,0.0,False,False,True,88,48,False,3.16,5,5,
1,5,32,0.828044642083805,0.3532665354245772,1.0,0.5446031806548989,0.26382765969900956,0.2881228622650935,0.5195616183372157,False,False,False,-1,0,False,0.0,15,15,
2,0,77,0.23586933090108644,0.24920195195451594,0.9910880900114539,0.7362820921196704,0.05860962352520095,0.0,0.0,False,False,True,129,62,False,1.78,2,2,
3,1,53,0.5182682879209641,0.22163175223599885,0.9490056582756918,0.6283253360789328,0.07304709382003172,0.023010362365332288,0.0005230609629406832,False,False,True,162,42,False,1.6,2,2,
4,0,122,0.2792762220911809,0.1264319008378008,0.9264105758293079,0.42581883431443257,0.5047171516113214,0.0,0.0,False,False,True,412,73,False,1.3900000000000001,1,1,
5,0,38,0.13393241064098882,0.08557353280566621,0.8249747302326507,0.7090107188156971,0.16957569444579465,0.0,0.0,False,False,True,148,23,False,1.63,2,2,
6,0,63,0.07396095697642954,0.3663776362052543,0.5218283142126406,0.37873356908538636,0.06583610742803528,0.0,0.0,False,False,True,96,39,False,2.23,4,4,
7,0,206,0.7022844578154965,0.27848874350008435,0.9850141766476939,0.5576089703018795,0.1085282789338867,0.0,0.0,False,False,True,303,147,False,2.44,5,5,
8,0,68,0.5040334520660354,0.13021166910248924,0.9123767860017135,0.8162187765074749,0.12465492244093121,0.0,0.0,False,False,True,177,53,False,1.93,3,3,
9,0,150,0.3339354013593229,0.39508690510844463,0.6310442666978614,0.25428361680272177,0.10480071211125126,0.0,0.0,False,False,True,119,79,False,2.95,6,6,
10,0,45,0.369236496951732,0.739740847529877,0.9892363316256457,0.4423915746831202,0.3220220879387939,0.0,0.0,False,False,True,238,21,False,1.99,2,2,
11,0,37,0.18978602132694025,0.28237135907342786,0.9236748489387013,0.7446832608956437,0.2098521846171769,0.0,0.0,False,False,True,70,20,False,2.4699999999999998,5,5,
12,0,84,0.14288065055954496,0.26095586902878093,0.7802102258280386,0.6984411434363827,0.2807934292089678,0.0,0.0,False,False,True,89,49,False,2.02,2,2,
13,0,47,0.3559426949489138,0.6016981888269349,0.8407743426654382,0.7682841770659091,0.08541321503436616,0.0,0.0,False,False,True,98,36,False,2.83,4,4,
14,0,149,0.10051772887184778,0.4219539264492487,0.4385598943815698,0.6661634200492697,0.1792970804500654,0.0,0.0,False,False,True,251,166,False,1.75,2,2,
15,1,67,0.5803732788331769,0.15281886515299234,1.0,0.45379601637127015,0.41998492896681355,0.022105895054524767,0.00044500092582595494,False,False,True,264,22,False,1.81,3,3,
16,541,112,1.0,1.0,0.9501812617443692,0.5602983757573748,0.5151804595288728,2.0,51.75431587953921,True,False,False,-1,0,False,0.0,14,14,
17,0,299,0.09724987589421889,0.1899692299660481,0.03329161311905599,0.8052615479663956,0.2908345382845035,0.0,0.0,False,False,True,206,178,False,2.17,4,4,
18,0,26,0.16966657044785982,0.4520028544988692,0.9811645331438354,0.6543824884559751,0.1922388907112778,0.0,0.0,False,False,False,-1,0,False,0.0,17,17,
19,2,81,0.5128793920912544,0.5412304705868494,0.8793563517564096,0.730096861413132,0.37272678583282914,0.04346439509553607,0.0010613169196948685,False,False,True,203,60,False,1.6,2,2,
20,0,21,0.1020472483661139,0.25140447169309166,0.991561205269291,0.18219667321790392,0.4130649351854799,0.0,0.0,False,False,True,53,16,False,2.08,3,3,
21,0,85,0.16562568733423572,0.34794872560521084,0.45194334088358457,0.6772090420691437,0.3051680942118471,0.0,0.0,False,False,True,131,88,False,1.96,1,1,
22,526,243,1.0,1.0,0.9944226566364399,0.6177421100456323,0.6989290491680096,1.99,50.802841686621896,True,False,False,-1,0,False,0.0,11,11,
23,1,74,0.24746445489801733,0.19373490624557496,0.8262075354080329,0.8034249072791538,0.24443638934345738,0.02986230034784824,0.0014955342827160088,False,False,True,270,60,False,1.51,2,2,
24,3,1,0.5848805624510993,0.48137820505090523,0.9689106279452042,0.4859029501603719,0.4451256302307688,0.20161115300923965,0.40117403867286955,False,False,False,-1,0,False,0.0,10,10,
25,1,187,0.21659884848683866,0.28022270351317613,0.9928033586119497,0.47845182030117567,0.3259909782344102,0.024559719833835796,0.000680163504009205,False,False,True,267,159,False,1.48,2,2,
26,2,64,0.2906154396328436,0.33441058941160495,0.957092029909893,0.6112776433607461,0.2944303513519616,0.07878873002660886,0.009563138299797403,False,False,False,-1,1,False,0.0,18,18,
27,0,48,0.41439822007212984,0.09099414625707342,1.0,0.7300329925438411,0.3141163705602066,0.0,0.0,False,False,True,78,41,False,1.69,2,2,
28,0,50,0.7671683080098137,0.27164008956646996,0.9386462262225388,0.5379344242060087,0.043473466111074444,0.0,0.0,False,False,True,134,43,False,1.72,2,2,
29,0,2,0.16630107948512463,0.43547252505747963,1.0,0.5805047806262191,0.33070141508582823,0.0,0.0,False,False,False,-1,0,False,0.0,10,10,
30,552,133,1.0,1.0,0.9404895352670415,0.4368994980977407,0.5138214391254372,1.99,47.55833664200734,True,False,False,-1,0,False,0.0,16,16,
31,494,1,1.0,1.0,0.9474740517267658,0.5644527600043118,0.34462773876097325,2.0,51.59791133471227,True,False,False,-1,0,False,0.0,10,10,
32,0,25,0.10378143863487384,0.31002194186204884,0.9552405139433926,0.9020532986430218,0.2904576838203493,0.0,0.0,False,False,True,126,16,False,1.42,1,1,
33,0,54,0.4756776591245689,0.2998278503533549,0.9876756026797594,0.5412454223649046,0.14181418996510212,0.0,0.0,False,False,True,146,42,False,1.78,3,3,
34,0,109,0.21719572109456228,0.4047115554610003,0.5866941109789514,0.6824233443432091,0.2899413040637924,0.0,0.0,False,False,True,101,71,False,1.8399999999999999,3,3,
35,1,64,0.5902458339733211,0.5915306732993169,0.7574470780706295,0.4503549318011924,0.02326616268607853,0.018924464839773173,0.00023788620660575082,False,False,True,107,50,False,1.66,2,2,
36,0,20,0.08953198673407968,0.33974512973770854,0.9824985490984509,0.5404741481528571,0.24588808977674084,0.0,0.0,False,False,True,62,16,False,1.75,1,1,
37,0,161,0.07485453109922034,0.1530823083470474,0.6709464462268857,0.3419642632904454,0.5462216869716238,0.0,0.0,False,False,True,234,166,False,1.48,2,2,
38,0,0,0.03578583663017983,0.19796138687672518,0.9858623937672363,0.635725311728545,0.30725579888927357,0.0,0.0,False,False,False,-1,0,False,0.0,8,8,
39,1,27,0.45645217649675396,0.08630025271842831,1.0,0.5406459501516768,0.3856109656689047,0.13705873290188894,0.6951353308570327,False,False,False,-1,0,False,0.0,7,7,
40,3,0,0.3788046787042611,0.3660380539019591,0.964173413291109,0.5488096438971785,0.03636359668061542,0.35484012669271786,1.4303759645479845,False,False,False,-1,0,False,0.0,7,7,
41,0,58,0.23803994747177346,0.1294889173650019,0.9997005440752367,0.5219687784247241,0.38971666187981585,0.0,0.0,False,False,True,183,55,False,1.51,2,2,
42,0,84,0.5902710543586303,0.07725339748553203,0.9140946255428681,0.5320308629376386,0.2205578184092298,0.0,0.0,False,False,True,233,63,False,1.5699999999999998,2,2,
43,1,61,0.25511953777630025,0.4643910730710741,0.8050402244983084,0.9961998864541544,0.19723208389581703,0.022440827205672833,0.0004728056823963176,False,False,True,134,58,False,1.33,0,0,
44,1,2,0.24539984624321268,0.3847856936800005,1.0,0.6045338656650596,0.32817107869569495,0.02701374985977188,0.0009984306091742447,False,False,False,-1,0,False,0.0,6,6,
45,0,18,0.16375450765185806,0.20360799803602878,0.9538638562297728,0.6654227969513349,0.02488844668828081,0.0,0.0,False,False,True,69,18,False,1.42,1,1,
46,0,25,0.23429511145605061,0.24933226419637308,0.9389779658068181,0.5566122089224214,0.14069057547384373,0.0,0.0,False,False,False,-1,0,False,0.0,19,19,
47,0,30,0.2287374173100107,0.19160730659490083,0.6887813022733731,0.5260894178830156,0.42747075142272567,0.0,0.0,False,False,True,67,18,False,1.72,2,2,
48,1,0,0.2773457049648505,0.14832940768875352,1.0,0.5561934310055676,0.5424556535255167,0.053681273713014496,0.015898110709919647,False,False,False,-1,0,False,0.0,2,2,
49,1,1,0.15231307256397483,0.5350320697616567,1.0,0.47950534270436457,0.29718433826731894,0.11048394793623308,0.291602079838278,False,False,False,-1,0,False,0.0,4,4,
50,0,30,0.3830559583536773,0.15525793037332886,1.0,0.5007377811199302,0.09316579879910393,0.0,0.0,False,False,True,97,23,False,1.27,1,1,
51,1,46,0.44439642069590635,0.7212117247707923,0.9474264754906384,0.3225365095729319,0.049006545496950715,0.029712988846109,0.0014656235970616886,False,False,True,177,28,False,1.3599999999999999,1,1,
52,0,0,0.6613332591662099,0.2475578747617837,1.0,0.6488544204092879,0.2357137451165224,0.0,0.0,False,False,False,-1,0,False,0.0,13,13,
53,3,39,0.6719900872429013,0.29019346746901376,1.0,0.5099839157631965,0.3583033425248203,0.2707515564160506,0.7835354570575248,False,False,False,-1,0,False,0.0,6,6,
54,0,40,0.17435022888313992,0.44959156564201974,0.995958207918064,0.7164571645235231,0.3338643826343032,0.0,0.0,False,False,True,154,16,False,1.66,2,2,
55,0,45,0.17316752010074055,0.2046816756814514,1.0,0.40008629027704184,0.4235989414377121,0.0,0.0,False,False,True,110,42,False,1.3900000000000001,1,1,
56,1,45,0.6648856723576053,0.46358402682623234,0.9605971459916941,0.35024448912671763,0.2666871367399841,0.01854880476229905,0.00021941866267632623,False,False,True,183,25,False,1.3599999999999999,1,1,
57,1,23,0.16783108313159334,0.11169439755673823,1.0,0.6008831927066387,0.20850760776694555,0.03351138691066533,0.0023801078244402194,False,False,False,-1,0,False,0.0,14,14,
58,4,0,0.4271010432599178,0.422386537992146,1.0,0.6368445073189365,0.19474187844310412,0.34007117487044103,1.0292861376613793,False,False,False,-1,0,False,0.0,5,5,
59,0,26,0.1492702264544199,0.3091190513402562,0.832303958880763,0.6544581826024813,0.07413344099676726,0.0,0.0,False,False,True,78,21,False,1.3599999999999999,1,1,
60,0,114,0.19279056525805205,0.04705098886843531,0.7128099830229703,0.5614668970442851,0.10018652481806221,0.0,0.0,False,False,True,273,80,False,1.27,1,1,
61,0,1,0.6363774826885739,0.19743228630553586,0.9896609319046213,0.5175864717852936,0.04591863519038749,0.0,0.0,False,False,False,-1,0,False,0.0,4,4,
62,0,9,0.2996056202934537,0.35836763139503536,1.0,0.6267897844746844,0.04414333718220265,0.0,0.0,False,False,False,-1,0,False,0.0,18,18,
63,0,73,0.1356119163016423,0.23918931963649084,0.8364305028425822,0.6818198880405466,0.1752117835266547,0.0,0.0,False,False,True,148,89,False,1.3599999999999999,1,1,
64,574,59,1.0,1.0,0.9705864153599757,0.5368087061172648,0.6407021922556532,1.98005,41.957366098330944,True,False,False,-1,0,False,0.0,2,2,
65,0,55,0.24270657418465733,0.15879701464980828,0.885340226333161,0.7109907590096183,0.11221021397010156,0.0,0.0,False,False,True,168,65,False,1.45,1,1,
66,1,35,0.4362856785855919,0.44589100366881584,0.9291291161090551,0.3529499833401999,0.39510089430393985,0.026213400238549303,0.0008844521479584068,False,False,True,147,26,False,1.3599999999999999,1,1,
67,0,204,0.23669785540823052,0.24904621429237106,0.31287444489985927,0.6511059594810491,0.44011966514667766,0.0,0.0,False,False,True,161,124,False,1.54,2,2,
68,1,2,0.6284969825442421,0.19576438556799278,0.9949870814027268,0.5846628140769226,0.02776866405469716,0.04459403799278236,0.007528532292527055,False,False,False,-1,0,False,0.0,11,11,
69,2,56,0.5315372518304279,0.5038046433027673,0.9020922742818408,0.5653035174269966,0.1719016137577767,0.06456784671668106,0.004730934948004072,False,False,False,-1,0,False,0.0,8,8,
70,1,42,0.42861163132318936,0.3352011454168978,1.0,0.6172118704419709,0.2763735311352486,0.02986230034784824,0.0014955342827160088,False,False,False,-1,0,False,0.0,11,11,
71,0,39,0.040469935123724675,0.6093608860702558,0.7254118397402884,0.24991378542203516,0.10007501561186279,0.0,0.0,False,False,True,73,38,False,1.51,1,1,
72,0,74,0.49347583191408334,0.11262008783893314,0.9265041562822746,0.5241386602837282,0.17459314030612041,0.0,0.0,False,False,False,-1,19,True,1.15,5,5,
73,1,2,0.4410453907133593,0.3291042807161806,1.0,0.5973469357631693,0.35761369379690544,0.021885388751355882,0.0004273788891632471,False,False,False,-1,0,False,0.0,10,10,
74,0,75,0.38210777500206844,0.12305599532741696,0.6791882074081584,0.6737467487313638,0.1296696275909187,0.0,0.0,False,False,True,110,64,False,1.3900000000000001,1,1,
75,0,33,0.28376810647328593,0.6412563408389929,0.9504799016016119,0.5649646924958109,0.128143766440034,0.0,0.0,False,False,False,-1,0,False,0.0,6,6,
76,3,28,0.4147547967738861,0.8210733774230613,1.0,0.5256373098918765,0.22448711246987668,0.1030862890107047,0.011456477004018155,False,False,False,-1,0,False,0.0,3,3,
77,0,62,0.20563313002439157,0.5711352144275351,1.0,0.6114937655545627,0.16002679374492176,0.0,0.0,False,False,False,-1,0,False,1.18,6,6,
78,3,2,0.2774360828388022,0.3638357053359871,0.9691427107784951,0.6056436104419265,0.3735825026840394,0.22829123012022,0.6039696642785822,False,False,False,-1,0,False,0.0,7,7,
79,0,32,0.2934851300497797,0.35889577576989756,0.7805356641089474,0.5473305568109683,0.048807325939695584,0.0,0.0,False,False,True,77,26,False,1.54,0,0,
80,0,104,0.28249746583996116,0.456192620739184,0.8111643651041822,0.7209401576391072,0.2696472719367272,0.0,0.0,False,False,True,308,71,False,1.18,1,1,
81,0,42,0.2723566647503843,0.3544102245296232,0.9830616611854333,0.5430647842507517,0.08202599472085922,0.0,0.0,False,False,False,-1,0,False,0.0,4,4,
82,489,36,1.0,1.0,1.0,0.5583327253073902,0.51133305298052,2.0,18.27517918634373,True,False,False,-1,0,False,0.0,2,2,
83,0,74,0.15368658040784092,0.374560665134429,1.0,0.6826980124030023,0.359855898315936,0.0,0.0,False,False,True,242,50,False,1.15,1,1,
84,1,10,0.42637697227414556,0.6946048235123948,1.0,0.5611782823401801,0.16171601387246506,0.032033185504212934,0.0019844095722554925,False,False,False,-1,0,False,0.0,6,6,
85,539,136,1.0,1.0,0.9783800776169815,0.5438841736874734,0.6224481838140086,1.98005,32.96390518841759,True,False,False,-1,0,False,0.0,3,3,
86,2,3,0.49597394305220766,0.11531505891747684,1.0,0.5288830520122284,0.4667417830245302,0.08737005184554772,0.014189304985817138,False,False,False,-1,0,False,0.0,10,10,
87,0,0,0.31719468951210983,0.29248339531861445,1.0,0.671211604833636,0.3765830747623123,0.0,0.0,False,False,False,-1,0,False,0.0,2,2,
88,0,0,0.320888982338944,0.44514696419941313,1.0,0.5865466760013065,0.2838558340593022,0.0,0.0,False,False,False,-1,0,False,0.0,1,1,
89,2,1,0.4274692847983976,0.4177273510716364,1.0,0.585378745415931,0.1401691690688368,0.09635305494783186,0.05199383939956257,False,False,False,-1,0,False,0.0,15,15,
90,3,33,0.4461861668388754,0.25660372537851706,0.9690103565263074,0.49944091829480386,0.3850111111631247,0.31585731267258127,0.9049995471522714,False,False,False,-1,0,False,0.0,5,5,
91,0,29,0.17950360003185287,0.6475898315078584,0.9659755467310587,0.5301484219257098,0.39369648985611433,0.0,0.0,False,False,False,-1,0,False,0.0,5,5,
92,0,41,0.07699929943632279,0.0702209866855569,0.9726567445102225,0.913144458300424,0.03219599630137937,0.0,0.0,False,False,True,118,31,False,1.24,1,1,
93,0,55,0.08790614609311029,0.439970692902456,0.6142857497327957,0.5485609409400325,0.4788247687087666,0.0,0.0,False,False,True,107,56,False,1.21,1,1,
94,1,0,0.22633373408060964,0.20907424975448116,1.0,0.5314291121848541,0.2813279324269307,0.09458334905333794,0.15588307481006441,False,False,False,-1,0,False,0.0,7,7,
95,5,19,0.6810635433753542,0.5942316892577828,0.9997086403902953,0.56283246897351,0.23979451117417144,0.36710056536372837,0.8013963136965695,False,False,False,-1,0,False,0.0,6,6,
96,0,33,0.23015192257680372,0.4907745384715408,0.9320576359961713,0.1777634360684203,0.15584104399319132,0.0,0.0,False,False,True,127,18,False,1.33,1,1,
97,4,26,0.5380850684324648,0.471025698450403,1.0,0.5966727365144632,0.1976924058715774,0.21052949503473406,0.28135976563484477,False,False,False,-1,0,False,0.0,8,8,
98,0,67,0.34557811578577824,0.33048928744946593,0.8139023156932075,0.6559020665244599,0.5342016754498292,0.0,0.0,False,False,True,93,48,False,1.63,2,2,
99,2,168,0.48861019832890035,0.6523983011376734,0.9504764133958481,0.5891851103647142,0.11974645792676283,0.1126019253023638,0.03854137257934531,False,False,False,-1,131,True,1.15,5,5,
100,0,58,0.6443757221834866,0.46706196456338256,0.8772747484157565,0.34947382119093406,0.1312237201337211,0.0,0.0,False,False,True,73,46,False,1.45,1,1,
101,1,37,0.10208809724255369,0.47969615254882303,0.9876710316131325,0.5540696408614068,0.12418896606975824,0.062392212941003,0.029144945409097164,False,False,False,-1,0,False,0.0,9,9,
102,0,38,0.2393829715573884,0.36700180443024294,1.0,0.6055237474123908,0.3691257437622739,0.0,0.0,False,False,False,-1,0,False,0.0,6,6,
103,0,109,0.38502025260262623,0.23808090650596847,0.9805502184846933,0.648844554806058,0.1817595195020672,0.0,0.0,False,False,True,331,20,False,1.18,1,1,
104,3,0,0.698077236824305,0.31870509957434334,1.0,0.6022719258693559,0.4226904549803454,0.21219909179924654,0.5062955960472556,False,False,False,-1,0,False,0.0,6,6,
105,1,0,0.49240845455805227,0.18365313326704213,1.0,0.5685169830032933,0.05589022467472757,0.12905762878720434,0.5454843193824369,False,False,False,-1,0,False,0.0,9,9,
106,0,2,0.11845463349255793,0.6086849353846766,0.9863004250251596,0.5396974385594275,0.24904791565090428,0.0,0.0,False,False,False,-1,0,False,0.0,3,3,
107,1,52,0.3447804081968571,0.29544848470721574,0.9574078228846247,0.7138462261207256,0.23957606831278616,0.01579990638989009,0.0001149497380509562,False,False,True,217,22,False,1.3599999999999999,1,1,
108,470,87,1.0,1.0,0.9475627795135486,0.5512037918878934,0.7949980907194343,1.98005,22.673861850698838,True,False,False,-1,0,False,0.0,1,1,
109,0,0,0.04601612632958309,0.10726129956712023,0.981107793736948,0.5617451125530654,0.48899866643658646,0.0,0.0,False,False,False,-1,0,False,0.0,5,5,
110,667,152,1.0,1.0,1.0,0.6030652493502762,0.75104435502237,1.99,63.76834789368841,True,False,False,-1,0,False,0.0,5,5,
111,1,34,0.23659595515063,0.4859093835155801,0.949384395367622,0.5115658934316598,0.310596188853213,0.04349027994913052,0.0068051969085955845,False,False,False,-1,0,False,0.0,7,7,
112,1,4,0.5758140279179358,0.21346516320834077,1.0,0.5590424366207987,0.2633922385293458,0.04136404583641047,0.00556034133952865,False,False,False,-1,0,False,0.0,10,10,
113,6,2,0.8501228174278821,0.6631456758204449,0.9966968345764524,0.611690831389872,0.06671879843365712,0.2320448351854737,0.08803373560703535,False,False,False,-1,0,False,0.0,6,6,
114,1,1,0.39529841000900195,0.48131539955026303,0.9720371114145213,0.5054104775757017,0.2641326160089371,0.033011225272100285,0.002240138443500539,False,False,False,-1,0,False,0.0,1,1,
115,200,0,1.0,1.0,0.8894004701768157,0.6014084121412546,0.6693566155787003,0.4021757073184788,0.1319027951679349,False,False,False,-1,0,False,0.0,0,0,
116,489,61,1.0,1.0,0.9971519305502474,0.592913044893242,0.5665942221876128,1.99,19.89501420627628,True,False,False,-1,0,False,0.0,1,1,
