t,fund_prevalence,exit_rate,punish_rate,enforcer_punish_share_step,sigma,pi_reward,base_opp,exit_threshold,seed,regime,regime_column
0,0.0085714285714285,0.0,0.0,0.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
1,0.0085714285714285,0.0,0.0285714285714285,0.7,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
2,0.0114285714285714,0.0,0.0285714285714285,0.8333333333333334,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
3,0.0142857142857142,0.0,0.0228571428571428,0.8888888888888888,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
4,0.0142857142857142,0.0,0.0114285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
5,0.0142857142857142,0.0,0.0171428571428571,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
6,0.0171428571428571,0.0,0.0285714285714285,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
7,0.0171428571428571,0.0,0.0142857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
8,0.0171428571428571,0.0,0.0285714285714285,0.9,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
9,0.0171428571428571,0.0,0.02,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
10,0.02,0.0,0.0257142857142857,0.8888888888888888,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
11,0.0257142857142857,0.0,0.04,0.8571428571428571,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
12,0.0285714285714285,0.0,0.0257142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
13,0.0285714285714285,0.0,0.0371428571428571,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
14,0.0285714285714285,0.0,0.0485714285714285,0.9411764705882352,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
15,0.0285714285714285,0.0,0.0342857142857142,0.8333333333333334,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
16,0.0314285714285714,0.0,0.0285714285714285,0.9090909090909092,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
17,0.0314285714285714,0.0,0.0371428571428571,0.9333333333333332,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
18,0.0314285714285714,0.0,0.0285714285714285,0.9,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
19,0.0342857142857142,0.0,0.04,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
20,0.0342857142857142,0.0,0.0342857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
21,0.0371428571428571,0.0,0.0428571428571428,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
22,0.04,0.0,0.0628571428571428,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
23,0.04,0.0,0.0457142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
24,0.04,0.0,0.0571428571428571,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
25,0.0428571428571428,0.0,0.0685714285714285,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
26,0.0429799426934097,0.0028571428571428,0.0571428571428571,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
27,0.0429799426934097,0.0028571428571428,0.0571428571428571,0.9615384615384616,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
28,0.0459770114942528,0.0057142857142857,0.08,0.9655172413793104,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
29,0.0488505747126436,0.0057142857142857,0.0542857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
30,0.0488505747126436,0.0057142857142857,0.0542857142857142,0.95,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
31,0.0488505747126436,0.0057142857142857,0.0542857142857142,0.9523809523809524,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
32,0.0488505747126436,0.0057142857142857,0.0714285714285714,0.925925925925926,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
33,0.0517241379310344,0.0057142857142857,0.0571428571428571,0.9642857142857144,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
34,0.0517241379310344,0.0057142857142857,0.0742857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
35,0.0517241379310344,0.0057142857142857,0.08,0.9310344827586208,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
36,0.0517241379310344,0.0057142857142857,0.0828571428571428,0.935483870967742,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
37,0.0545977011494252,0.0057142857142857,0.0828571428571428,0.96875,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
38,0.0545977011494252,0.0057142857142857,0.1028571428571428,0.9743589743589745,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
39,0.0603448275862069,0.0057142857142857,0.08,0.9736842105263158,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
40,0.0632183908045977,0.0057142857142857,0.0828571428571428,0.9166666666666666,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
41,0.0689655172413793,0.0057142857142857,0.0914285714285714,0.9722222222222222,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
42,0.0689655172413793,0.0057142857142857,0.0857142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
43,0.0689655172413793,0.0057142857142857,0.1085714285714285,0.9767441860465116,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
44,0.0689655172413793,0.0057142857142857,0.0914285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
45,0.0689655172413793,0.0057142857142857,0.0914285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
46,0.0689655172413793,0.0057142857142857,0.1,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
47,0.069164265129683,0.0085714285714285,0.12,0.98,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
48,0.069164265129683,0.0085714285714285,0.1028571428571428,0.975,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
49,0.0720461095100864,0.0085714285714285,0.1171428571428571,0.9803921568627452,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
50,0.0722543352601156,0.0114285714285714,0.0914285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
51,0.0722543352601156,0.0114285714285714,0.1,0.975,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
52,0.0722543352601156,0.0114285714285714,0.0857142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
53,0.0722543352601156,0.0114285714285714,0.1085714285714285,0.9583333333333334,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
54,0.0722543352601156,0.0114285714285714,0.1,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
55,0.0722543352601156,0.0114285714285714,0.0971428571428571,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
56,0.072463768115942,0.0142857142857142,0.1028571428571428,0.951219512195122,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
57,0.072463768115942,0.0142857142857142,0.0942857142857142,0.9791666666666666,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
58,0.0753623188405797,0.0142857142857142,0.1,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
59,0.0753623188405797,0.0142857142857142,0.0942857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
60,0.0753623188405797,0.0142857142857142,0.1028571428571428,0.9545454545454546,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
61,0.0753623188405797,0.0142857142857142,0.1171428571428571,0.9423076923076924,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
62,0.0753623188405797,0.0142857142857142,0.1228571428571428,0.98,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
63,0.0753623188405797,0.0142857142857142,0.1057142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
64,0.0787172011661807,0.02,0.1142857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
65,0.0787172011661807,0.02,0.1228571428571428,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
66,0.0787172011661807,0.02,0.0971428571428571,0.9761904761904762,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
67,0.0789473684210526,0.0228571428571428,0.1028571428571428,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
68,0.0791788856304985,0.0257142857142857,0.1057142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
69,0.0791788856304985,0.0257142857142857,0.1057142857142857,0.9574468085106383,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
70,0.0791788856304985,0.0257142857142857,0.1,0.9767441860465116,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
71,0.0794117647058823,0.0285714285714285,0.1142857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
72,0.079646017699115,0.0314285714285714,0.1,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
73,0.0798816568047337,0.0342857142857142,0.1314285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
74,0.0798816568047337,0.0342857142857142,0.1142857142857142,0.98,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
75,0.0798816568047337,0.0342857142857142,0.1114285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
76,0.0798816568047337,0.0342857142857142,0.1114285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
77,0.0801186943620178,0.0371428571428571,0.1,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
78,0.0801186943620178,0.0371428571428571,0.1114285714285714,0.98,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
79,0.0801186943620178,0.0371428571428571,0.0828571428571428,0.9142857142857144,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
80,0.0801186943620178,0.0371428571428571,0.1142857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
81,0.0801186943620178,0.0371428571428571,0.0885714285714285,0.9714285714285714,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
82,0.0803571428571428,0.04,0.1057142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
83,0.0803571428571428,0.04,0.0914285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
84,0.0808383233532934,0.0457142857142857,0.1,0.9777777777777776,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
85,0.0813253012048192,0.0514285714285714,0.1057142857142857,0.9787234042553192,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
86,0.0815709969788519,0.0542857142857142,0.1085714285714285,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
87,0.0818181818181818,0.0571428571428571,0.0942857142857142,0.9767441860465116,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
88,0.0820668693009118,0.06,0.0942857142857142,0.951219512195122,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
89,0.0828220858895705,0.0685714285714285,0.0942857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
90,0.0828220858895705,0.0685714285714285,0.0942857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
91,0.083076923076923,0.0714285714285714,0.08,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
92,0.083076923076923,0.0714285714285714,0.1028571428571428,0.9761904761904762,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
93,0.083076923076923,0.0714285714285714,0.0771428571428571,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
94,0.083076923076923,0.0714285714285714,0.1257142857142857,0.9433962264150944,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
95,0.083076923076923,0.0714285714285714,0.0942857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
96,0.0833333333333333,0.0742857142857142,0.0714285714285714,0.9310344827586208,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
97,0.0833333333333333,0.0742857142857142,0.1028571428571428,0.9534883720930232,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
98,0.0833333333333333,0.0742857142857142,0.0942857142857142,0.9285714285714286,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
99,0.0835913312693498,0.0771428571428571,0.1028571428571428,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
100,0.0835913312693498,0.0771428571428571,0.1285714285714285,0.9642857142857144,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
101,0.0838509316770186,0.08,0.0971428571428571,0.9574468085106383,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
102,0.0841121495327102,0.0828571428571428,0.1171428571428571,0.9782608695652174,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
103,0.0841121495327102,0.0828571428571428,0.0971428571428571,0.9523809523809524,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
104,0.0841121495327102,0.0828571428571428,0.1,0.975,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
105,0.084375,0.0857142857142857,0.1057142857142857,0.9782608695652174,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
106,0.0846394984326018,0.0885714285714285,0.1,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
107,0.0846394984326018,0.0885714285714285,0.0942857142857142,0.9736842105263158,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
108,0.0849056603773584,0.0914285714285714,0.1,0.9761904761904762,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
109,0.0849056603773584,0.0914285714285714,0.0857142857142857,0.972972972972973,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
110,0.0849056603773584,0.0914285714285714,0.0942857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
111,0.0849056603773584,0.0914285714285714,0.0914285714285714,0.9487179487179488,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
112,0.0849056603773584,0.0914285714285714,0.1,0.9302325581395348,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
113,0.0849056603773584,0.0914285714285714,0.0828571428571428,0.975,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
114,0.085173501577287,0.0942857142857142,0.0942857142857142,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
115,0.085173501577287,0.0942857142857142,0.1,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
116,0.0854430379746835,0.0971428571428571,0.1028571428571428,0.975,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
117,0.0854430379746835,0.0971428571428571,0.0914285714285714,0.972972972972973,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
118,0.0854430379746835,0.0971428571428571,0.0771428571428571,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
119,0.0854430379746835,0.0971428571428571,0.1057142857142857,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
120,0.0854430379746835,0.0971428571428571,0.1,0.975609756097561,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
121,0.0857142857142857,0.1,0.0885714285714285,0.9705882352941176,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
122,0.0859872611464968,0.1028571428571428,0.0914285714285714,1.0,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
123,0.0859872611464968,0.1028571428571428,0.0914285714285714,0.95,0.95,0.25,-1.5,0.0,2,MIXED,regime_hier
