t,fund_prevalence,exit_rate,punish_rate,enforcer_punish_share_step,sigma,pi_reward,base_opp,exit_threshold,seed,regime,regime_column
0,0.0085714285714285,0.0,0.0,0.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
1,0.0085714285714285,0.0,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
2,0.0114285714285714,0.0,0.0114285714285714,0.75,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
3,0.0114285714285714,0.0,0.02,0.8571428571428571,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
4,0.0114285714285714,0.0,0.0228571428571428,0.75,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
5,0.0114285714285714,0.0,0.0171428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
6,0.0114285714285714,0.0,0.0342857142857142,0.9166666666666666,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
7,0.0114285714285714,0.0,0.0171428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
8,0.0114285714285714,0.0,0.0171428571428571,0.8571428571428571,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
9,0.0114285714285714,0.0,0.0085714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
10,0.0114285714285714,0.0,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
11,0.0114285714285714,0.0,0.0114285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
12,0.0144508670520231,0.0114285714285714,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
13,0.0145772594752186,0.02,0.0285714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
14,0.014792899408284,0.0342857142857142,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
15,0.0121580547112462,0.06,0.0171428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
16,0.0125,0.0857142857142857,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
17,0.0126582278481012,0.0971428571428571,0.0171428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
18,0.0161812297734627,0.1171428571428571,0.0171428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
19,0.0164473684210526,0.1314285714285714,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
20,0.02,0.1428571428571428,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
21,0.020066889632107,0.1457142857142857,0.0285714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
22,0.0201342281879194,0.1485714285714285,0.0228571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
23,0.0202702702702702,0.1542857142857142,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
24,0.0202702702702702,0.1542857142857142,0.0314285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
25,0.0238095238095238,0.16,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
26,0.023972602739726,0.1657142857142857,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
27,0.0240549828178694,0.1685714285714285,0.04,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
28,0.0242214532871972,0.1742857142857143,0.0485714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
29,0.0276816608996539,0.1742857142857143,0.0485714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
30,0.0311418685121107,0.1742857142857143,0.0314285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
31,0.0311418685121107,0.1742857142857143,0.0571428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
32,0.0311418685121107,0.1742857142857143,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
33,0.0311418685121107,0.1742857142857143,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
34,0.0311418685121107,0.1742857142857143,0.0714285714285714,0.9285714285714286,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
35,0.0311418685121107,0.1742857142857143,0.0657142857142857,0.9629629629629628,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
36,0.0311418685121107,0.1742857142857143,0.04,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
37,0.0311418685121107,0.1742857142857143,0.0485714285714285,0.9411764705882352,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
38,0.0311418685121107,0.1742857142857143,0.0542857142857142,0.9523809523809524,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
39,0.0346020761245674,0.1742857142857143,0.0571428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
40,0.0381944444444444,0.1771428571428571,0.0514285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
41,0.0452961672473867,0.18,0.0485714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
42,0.0452961672473867,0.18,0.0628571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
43,0.0454545454545454,0.1828571428571428,0.0342857142857142,0.8461538461538461,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
44,0.0454545454545454,0.1828571428571428,0.0628571428571428,0.9642857142857144,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
45,0.0491228070175438,0.1857142857142857,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
46,0.0491228070175438,0.1857142857142857,0.0771428571428571,0.9310344827586208,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
47,0.0491228070175438,0.1857142857142857,0.06,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
48,0.0491228070175438,0.1857142857142857,0.0542857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
49,0.0491228070175438,0.1857142857142857,0.0685714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
50,0.0491228070175438,0.1857142857142857,0.0714285714285714,0.967741935483871,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
51,0.0492957746478873,0.1885714285714285,0.0628571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
52,0.0492957746478873,0.1885714285714285,0.0714285714285714,0.9642857142857144,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
53,0.0528169014084507,0.1885714285714285,0.0542857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
54,0.0528169014084507,0.1885714285714285,0.0457142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
55,0.0530035335689045,0.1914285714285714,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
56,0.0565371024734982,0.1914285714285714,0.0628571428571428,0.9615384615384616,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
57,0.0565371024734982,0.1914285714285714,0.0857142857142857,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
58,0.0565371024734982,0.1914285714285714,0.0942857142857142,0.951219512195122,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
59,0.0602836879432624,0.1942857142857142,0.08,0.967741935483871,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
60,0.0604982206405693,0.1971428571428571,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
61,0.0604982206405693,0.1971428571428571,0.0685714285714285,0.9655172413793104,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
62,0.0604982206405693,0.1971428571428571,0.0571428571428571,0.9583333333333334,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
63,0.0604982206405693,0.1971428571428571,0.0714285714285714,0.9629629629629628,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
64,0.0640569395017793,0.1971428571428571,0.1,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
65,0.0640569395017793,0.1971428571428571,0.0971428571428571,0.9743589743589745,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
66,0.0640569395017793,0.1971428571428571,0.0685714285714285,0.9642857142857144,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
67,0.0642857142857142,0.2,0.0742857142857142,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
68,0.0642857142857142,0.2,0.0828571428571428,0.945945945945946,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
69,0.0642857142857142,0.2,0.0742857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
70,0.0642857142857142,0.2,0.0628571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
71,0.0714285714285714,0.2,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
72,0.075,0.2,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
73,0.075,0.2,0.0914285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
74,0.075,0.2,0.1,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
75,0.075,0.2,0.0971428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
76,0.075,0.2,0.1114285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
