t,fund_prevalence,exit_rate,punish_rate,enforcer_punish_share_step,sigma,pi_reward,base_opp,exit_threshold,seed,regime,regime_column
0,0.0085714285714285,0.0,0.0,0.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
1,0.0085714285714285,0.0,0.0257142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
2,0.0114285714285714,0.0,0.0114285714285714,0.75,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
3,0.0114285714285714,0.0,0.02,0.8571428571428571,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
4,0.0114285714285714,0.0,0.0228571428571428,0.75,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
5,0.0114285714285714,0.0,0.0171428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
6,0.0114285714285714,0.0,0.0342857142857142,0.9166666666666666,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
7,0.0114285714285714,0.0,0.0171428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
8,0.0114285714285714,0.0,0.02,0.8571428571428571,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
9,0.0114285714285714,0.0,0.0257142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
10,0.0142857142857142,0.0,0.0428571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
11,0.02,0.0,0.0342857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
12,0.0225806451612903,0.1142857142857142,0.0285714285714285,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
13,0.0207612456747404,0.1742857142857143,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
14,0.0234375,0.2685714285714285,0.0228571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
15,0.025531914893617,0.3285714285714285,0.0314285714285714,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
16,0.0353535353535353,0.4342857142857143,0.0514285714285714,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
17,0.0374331550802139,0.4657142857142857,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
18,0.0404624277456647,0.5057142857142857,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
19,0.0432098765432098,0.5371428571428571,0.0457142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
20,0.0519480519480519,0.56,0.0542857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
21,0.0544217687074829,0.58,0.0428571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
22,0.0551724137931034,0.5857142857142857,0.0571428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
23,0.0555555555555555,0.5885714285714285,0.0314285714285714,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
24,0.0567375886524822,0.5971428571428572,0.04,0.9444444444444444,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
25,0.0575539568345323,0.6028571428571429,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
26,0.0579710144927536,0.6057142857142858,0.0285714285714285,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
27,0.0661764705882353,0.6114285714285714,0.0342857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
28,0.0666666666666666,0.6142857142857143,0.0342857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
29,0.0671641791044776,0.6171428571428571,0.0285714285714285,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
30,0.0681818181818181,0.6228571428571429,0.0285714285714285,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
31,0.0687022900763358,0.6257142857142857,0.0257142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
32,0.0687022900763358,0.6257142857142857,0.0228571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
33,0.0687022900763358,0.6257142857142857,0.0228571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
34,0.0692307692307692,0.6285714285714286,0.0257142857142857,0.9090909090909092,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
35,0.0692307692307692,0.6285714285714286,0.0257142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
36,0.0703125,0.6342857142857142,0.02,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
37,0.0703125,0.6342857142857142,0.0171428571428571,0.8,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
38,0.0703125,0.6342857142857142,0.0228571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
39,0.0703125,0.6342857142857142,0.0257142857142857,0.9230769230769232,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
40,0.0708661417322834,0.6371428571428571,0.0314285714285714,0.875,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
41,0.072,0.6428571428571429,0.02,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
42,0.072,0.6428571428571429,0.0171428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
43,0.0725806451612903,0.6457142857142857,0.02,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
44,0.0725806451612903,0.6457142857142857,0.0114285714285714,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
45,0.0725806451612903,0.6457142857142857,0.0142857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
46,0.073170731707317,0.6485714285714286,0.0171428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_legacy
