agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,128,0.5158890447585593,0.23234301142952332,0.9753198651964163,0.3516521415566543,0.07907246805114826,0.0,0.0,False,False,True,197,92,False,2.59,4,4,
1,0,74,0.06825360419778295,0.4093900183732364,1.0,0.6438165874201062,0.2956984100379653,0.0,0.0,False,False,True,150,47,False,1.54,2,2,
2,1,11,0.14484315838455475,0.3832718225853945,0.967929209073574,0.5332251200846984,0.2559767647027576,0.02661056626639605,0.0009397149019099258,False,False,False,-1,0,False,0.0,19,19,
3,0,44,0.32797504830083646,0.03670920819685527,0.863863602402018,0.3255311424372384,0.15078606817482873,0.0,0.0,False,False,True,84,20,False,2.41,5,5,
4,0,87,0.05392943074505494,0.22240043044377872,0.9431270110500735,0.6673126885804002,0.13631292221117178,0.0,0.0,False,False,True,163,92,False,1.69,2,2,
5,0,35,0.19099284738751657,0.1485051412444879,1.0,0.10919620976141191,0.11758072986976605,0.0,0.0,False,False,True,70,21,False,2.6799999999999997,3,3,
6,0,54,0.17610321945374174,0.24096629937957267,0.8620291776936253,0.7826250741399332,0.058911381837721405,0.0,0.0,False,False,True,143,29,False,2.26,3,3,
7,0,41,0.36336647799037886,0.22711432946076904,0.9155670689403078,0.3398381094157502,0.11732297944283777,0.0,0.0,False,False,True,94,29,False,1.81,1,1,
8,0,50,0.524203351876249,0.3250956163949132,0.4535912077278066,0.3609887153780367,0.10434459078472076,0.0,0.0,False,False,True,66,32,False,2.8,4,4,
9,0,63,0.42732586204768946,0.22284491648356264,0.9740450180292622,0.03177998399317529,0.09989085633718874,0.0,0.0,False,False,True,111,55,False,2.71,4,4,
10,1,16,0.46827415730585736,0.46291515440049436,0.9882832703289901,0.5284207626791456,0.21917683451850342,0.034361886445270315,0.002633093333913899,False,False,False,-1,0,False,0.0,17,17,
11,0,42,0.4391496006977675,0.20435522204768625,1.0,0.4823756380249455,0.35274988143018204,0.0,0.0,False,False,True,118,16,False,2.3499999999999996,4,4,
12,0,66,0.13618154899368992,0.2249708611158599,0.8833432199843578,0.522510665319082,0.07808334267108664,0.0,0.0,False,False,True,194,54,False,2.17,3,3,
13,436,158,1.0,1.0,0.9915155977053632,0.5545570404374008,0.41660415380760096,2.0,53.69891852148231,True,False,False,-1,0,False,0.0,25,25,
14,1,186,0.530400460559435,0.6828544923776174,0.8174749872771496,0.43435374634385904,0.1948441909661633,0.021343698091347334,0.0003863166660279412,False,False,True,263,184,False,1.33,1,1,
15,1,49,0.6960268489638881,0.732658437658885,0.9847631394474687,0.1960823314366413,0.17423560549912837,0.018271961532621138,0.00020651508996165683,False,False,True,172,35,False,2.1399999999999997,4,4,
16,0,33,0.09440282302149446,0.4064887563650567,0.9300612935457078,0.6423519932695649,0.5458007180249406,0.0,0.0,False,False,True,83,23,False,1.9,3,3,
17,161,129,1.0,1.0,0.9724461718252606,0.5236058371116,0.23994759814616992,0.6942405178575046,0.5949281962195228,False,False,False,-1,0,False,0.0,13,13,
18,0,29,0.18250698420656442,0.19479888146756869,1.0,0.48426237691486473,0.21813889944121634,0.0,0.0,False,False,False,-1,0,False,0.0,9,9,
19,1,176,0.8570731354739197,0.17609750446705638,0.5801343665159889,0.4934080192016125,0.5029540818746403,0.020504742280531712,0.0003286639344636494,False,False,True,224,145,False,1.18,1,1,
20,1,26,0.6719644214605326,0.5687024075599826,0.9803246192172128,0.17008032326350256,0.062379398674791406,0.019307732981250148,0.00025790808586210394,False,False,True,117,12,False,1.99,3,3,
21,461,183,1.0,1.0,0.9932594798371149,0.49156248764613525,0.4210929376679651,2.0,54.66139055824762,True,False,False,-1,0,False,0.0,22,22,
22,0,86,0.262546150394077,0.6221773053265206,0.890070193035987,0.2519533949178559,0.15178332607497502,0.0,0.0,False,False,True,104,45,False,1.87,3,3,
23,489,203,1.0,1.0,1.0,0.6376525923228792,0.5841554255115888,2.0,53.723797957234055,True,False,False,-1,0,False,0.0,16,16,
24,2,27,0.6157896163297432,0.3190491198653098,1.0,0.4660967592906083,0.03493586536373753,0.06853212839180102,0.01291305548209974,False,False,False,-1,0,False,0.0,8,8,
25,0,76,0.5498093474802,0.3124332348031038,0.7901497733719551,0.6617044745860817,0.3491759555188512,0.0,0.0,False,False,True,178,82,False,1.48,1,1,
26,1,43,0.46438673925533114,0.2233920654676249,0.7712079430940807,0.22988102853877762,0.16868025098723738,0.01808969871633324,0.0001983370923991752,False,False,True,94,39,False,1.48,1,1,
27,2,48,0.7831952393478787,0.4576627863272972,1.0,0.49337907077377996,0.05044343130770252,0.08186321993296099,0.02775308011525333,False,False,False,-1,0,False,0.0,24,24,
28,488,1,1.0,1.0,0.9640475926905322,0.5619934883030292,0.5969762893128429,2.0,62.49340227135078,True,False,False,-1,0,False,0.0,10,10,
29,1,74,0.48626686350343956,0.13405768070306578,0.8823338156892344,0.49215202680232917,0.30916817828805393,0.05532027463208542,0.017946884291552567,False,False,True,340,37,False,1.42,1,1,
30,1,29,0.38675109522098056,0.25668430757828253,0.9773106122086699,0.524876144197305,0.31362904066478053,0.02468313551139276,0.0006940443918461276,False,False,False,-1,0,False,0.0,18,18,
31,0,35,0.13901867298418433,0.07522237135621435,0.9922461297463776,0.43611233879016614,0.1480687393795945,0.0,0.0,False,False,True,175,13,False,1.24,1,1,
32,0,4,0.3158833812787824,0.5040294245829993,0.9963664129933194,0.5045424038997571,0.164639277181385,0.0,0.0,False,False,False,-1,0,False,0.0,18,18,
33,2,3,0.23295844623110257,0.4654228888266637,0.9840753463342894,0.5847163458903673,0.08735091167444554,0.09863643724494808,0.06985573974466935,False,False,False,-1,0,False,0.0,7,7,
34,0,44,0.18287679239136967,0.14714643481783155,0.8857415824486267,0.7281139133194031,0.398682218953008,0.0,0.0,False,False,True,72,28,False,1.81,3,3,
