alpha,delta,sigma,pi_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.0,0.0,0.95,0.5,1,0.1260162601626016,0.2971428571428571,0.1285714285714285,0.782783326096396,0.9795918367346939,0.9687471064909646,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_01
0.0,0.0,0.95,0.5,2,0.11284046692607,0.2657142857142857,0.1285714285714285,0.7639052095573835,0.9772816294555425,0.9673822591016208,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_02
0.0,0.0,0.95,0.5,3,0.1416309012875536,0.3342857142857143,0.1314285714285714,0.783410138248848,0.9798521058836137,0.9634700866289416,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_03
0.0,0.0,0.95,0.5,4,0.1285140562248996,0.2885714285714286,0.1142857142857142,0.7864510733203234,0.981042654028436,0.9736323617149478,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_04
0.0,0.0,0.95,0.5,5,0.1363636363636363,0.3085714285714285,0.1342857142857142,0.7726592880646126,0.9792601455778243,0.9666528936523497,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_05
0.0,0.0,0.95,0.5,6,0.125,0.3142857142857143,0.12,0.7646884272997032,0.9817012858555886,0.9719810122152621,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_06
0.0,0.0,0.95,0.5,7,0.1304347826086956,0.2771428571428571,0.12,0.7859844714314155,0.9810869998009157,0.972008574790791,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_07
0.0,0.0,0.95,0.5,8,0.124,0.2857142857142857,0.12,0.78184855233853,0.97728285077951,0.9643255443615609,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_08
0.0,0.0,0.95,0.5,9,0.1464435146443514,0.3171428571428571,0.1257142857142857,0.7560305708144256,0.9719369476952472,0.952574016188518,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_09
0.0,0.0,0.95,0.5,10,0.1300813008130081,0.2971428571428571,0.1257142857142857,0.8023414412366446,0.9765855876335531,0.9677436150229907,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_10
0.2,0.0,0.95,0.5,1,0.1295546558704453,0.2942857142857142,0.1257142857142857,0.7781982550194471,0.97918637653737,0.9697681159494794,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_01
0.2,0.0,0.95,0.5,2,0.1183206106870229,0.2514285714285714,0.1257142857142857,0.7634971044274239,0.9787969362974033,0.9707315847031566,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_02
0.2,0.0,0.95,0.5,3,0.1293103448275862,0.3371428571428571,0.1371428571428571,0.771004590583965,0.9791822355076332,0.9660485600319881,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_03
0.2,0.0,0.95,0.5,4,0.1269841269841269,0.28,0.1257142857142857,0.7534891990399146,0.9807093963907902,0.9718405848533097,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_04
0.2,0.0,0.95,0.5,5,0.1333333333333333,0.3142857142857143,0.1314285714285714,0.8010193467859372,0.9802371541501976,0.968780066804121,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_05
0.2,0.0,0.95,0.5,6,0.1322314049586777,0.3085714285714285,0.1342857142857142,0.7605817639380944,0.9813537199328733,0.9723745171952084,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_06
0.2,0.0,0.95,0.5,7,0.1183206106870229,0.2514285714285714,0.1257142857142857,0.7746409113422487,0.9807825656265478,0.9710251710862816,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_07
0.2,0.0,0.95,0.5,8,0.1306122448979592,0.3,0.1285714285714285,0.7757996066659766,0.9800227719697754,0.9665706499778829,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_08
0.2,0.0,0.95,0.5,9,0.1398305084745762,0.3257142857142857,0.1285714285714285,0.7592117417633173,0.9773170481371241,0.9577439020785763,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_09
0.2,0.0,0.95,0.5,10,0.1255060728744939,0.2942857142857142,0.1285714285714285,0.7733117343322872,0.9787384833451452,0.9693832382118489,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.20/delta_0.00/sigma_0.95/pi_0.50/seed_10
0.4,0.0,0.95,0.5,1,0.1224489795918367,0.3,0.12,0.7943874208342433,0.9785979471500328,0.9713508364963109,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_01
0.4,0.0,0.95,0.5,2,0.116,0.2857142857142857,0.1342857142857142,0.7921825437429653,0.9784099048398649,0.9703918072235198,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_02
0.4,0.0,0.95,0.5,3,0.1416666666666666,0.3142857142857143,0.1428571428571428,0.7600430065487245,0.9787899521063435,0.9671219545460202,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_03
0.4,0.0,0.95,0.5,4,0.1294117647058823,0.2714285714285714,0.1257142857142857,0.7956400825334171,0.9808917197452229,0.9741950938832473,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_04
0.4,0.0,0.95,0.5,5,0.1297071129707113,0.3171428571428571,0.1457142857142857,0.7766663156786353,0.9748341581552069,0.9622035508108719,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_05
0.4,0.0,0.95,0.5,6,0.134453781512605,0.32,0.1457142857142857,0.7549939607916009,0.9799312459351482,0.9677935172828247,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_06
0.4,0.0,0.95,0.5,7,0.1259842519685039,0.2742857142857143,0.1314285714285714,0.7661305948459601,0.9780081379577601,0.9675307588177912,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_07
0.4,0.0,0.95,0.5,8,0.1286307053941908,0.3114285714285714,0.12,0.7744297719087635,0.9758703481392557,0.961562720878761,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_08
0.4,0.0,0.95,0.5,9,0.1428571428571428,0.32,0.1228571428571428,0.7780784844384303,0.9731824332636241,0.951316901284521,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_09
0.4,0.0,0.95,0.5,10,0.1269841269841269,0.28,0.1257142857142857,0.7903088391906283,0.9793397231096912,0.9713684820157393,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.40/delta_0.00/sigma_0.95/pi_0.50/seed_10
0.6,0.0,0.95,0.5,1,0.1254901960784313,0.2714285714285714,0.1228571428571428,0.7778014941302027,0.9764140875133405,0.9663727473819385,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_01
0.6,0.0,0.95,0.5,2,0.1192307692307692,0.2571428571428571,0.1228571428571428,0.7814662427529456,0.9793342060968767,0.9716589060362602,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_02
0.6,0.0,0.95,0.5,3,0.1471861471861472,0.34,0.1257142857142857,0.7768779968034097,0.9776238678742675,0.9637314199185675,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_03
0.6,0.0,0.95,0.5,4,0.1254901960784313,0.2714285714285714,0.1257142857142857,0.789540932737063,0.981016701651912,0.9737662140670158,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_04
0.6,0.0,0.95,0.5,5,0.1369294605809128,0.3114285714285714,0.1342857142857142,0.7903289344100847,0.9794169785306284,0.9670395170402947,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_05
0.6,0.0,0.95,0.5,6,0.1308016877637131,0.3228571428571428,0.1314285714285714,0.7844440101622044,0.9806527262067618,0.970287156526883,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_06
0.6,0.0,0.95,0.5,7,0.136,0.2857142857142857,0.14,0.7692665673864483,0.9788719285182428,0.9676745313555881,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_07
0.6,0.0,0.95,0.5,8,0.1260869565217391,0.3428571428571428,0.12,0.7767426198226512,0.9766528229879897,0.9615654062143615,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_08
0.6,0.0,0.95,0.5,9,0.1392405063291139,0.3228571428571428,0.1285714285714285,0.7571025807850792,0.9765777488614183,0.9614633741476614,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_09
0.6,0.0,0.95,0.5,10,0.1295546558704453,0.2942857142857142,0.1171428571428571,0.7851867940920938,0.9789313640312771,0.9695937751225802,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.60/delta_0.00/sigma_0.95/pi_0.50/seed_10
0.8,0.0,0.95,0.5,1,0.12,0.2857142857142857,0.1257142857142857,0.7784892554807901,0.9804645105274582,0.9714557211745726,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_alpha_only/alpha_0.80/delta_0.00/sigma_0.95/pi_0.50/seed_01
