agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,464,10,1.0,1.0,0.9679050518684419,0.41336708151566537,0.7122356911081807,1.99,53.13020559076099,True,False,False,-1,0,False,0.0,30,30,
1,0,59,0.23669116659139686,0.23213347015469804,0.8589394822416584,0.495917268669395,0.22183436490818695,0.0,0.0,False,False,True,179,53,False,1.96,2,2,
2,0,11,0.3783966117053127,0.5802773064233636,0.9829958603804854,0.3574005805950841,0.039277364933107836,0.0,0.0,False,False,False,-1,0,False,0.0,5,5,
3,0,72,0.1620813949117586,0.6558372069408155,0.782825665861294,0.5115802193900445,0.11899088305323259,0.0,0.0,False,False,True,164,61,False,1.69,2,2,
4,0,47,0.22356512643987828,0.4867761536280637,0.7366963647965173,0.25823668929527865,0.11845840219475069,0.0,0.0,False,False,True,94,26,False,2.71,4,4,
5,1,9,0.09403300998272614,0.37023926440165233,0.9715647069147123,0.4147960644194038,0.07841637630439091,0.03894932894581573,0.00436329283880209,False,False,False,-1,0,False,0.0,6,6,
6,0,138,0.6553162699461416,0.1885017725836977,0.7335374634577159,0.4975948292638954,0.2570274784638237,0.0,0.0,False,False,True,269,93,False,1.93,3,3,
7,0,101,0.25947211174945284,0.3482764749059939,0.7504386523314002,0.4841502128627154,0.2230665571301356,0.0,0.0,False,False,True,107,46,False,3.37,4,4,
8,1,34,0.10803218488972764,0.3528498410786635,0.9734432638135591,0.5982602380615496,0.1400798836448442,0.029712988846109,0.0014656235970616886,False,False,True,157,15,False,1.96,2,2,
9,0,314,0.5046662564269311,0.41716427863651695,0.6852870502629775,0.4446697172958067,0.4162892539642223,0.0,0.0,False,False,True,214,181,False,1.93,2,2,
10,0,48,0.5167395476241242,0.3603644057697559,0.96779762971893,0.25624285028999677,0.4309257177098898,0.0,0.0,False,False,True,94,28,False,2.4699999999999998,5,5,
11,0,93,0.30150167049343374,0.24196493509145242,0.9833136556959337,0.5601027590275509,0.2919035500457374,0.0,0.0,False,False,True,242,75,False,1.72,2,2,
12,158,52,1.0,1.0,1.0,0.409407264527226,0.5482325792056085,0.44014967029467117,0.13632319026860248,False,False,True,160,18,False,2.11,4,4,
13,12,30,0.5730216931422439,0.8611562486955595,0.4845542039900438,0.5450232076776171,0.7888423204223873,0.21721828550711475,0.0024400409459787798,False,False,True,54,15,False,2.5300000000000002,3,3,
14,1,34,0.5071171279962235,0.061023373508956244,1.0,0.4084536914166747,0.3478398871330985,0.027978427959088698,0.001150099347314661,False,False,False,-1,0,False,0.0,17,17,
15,0,50,0.2346507095042296,0.17868557698801205,0.7958813250082578,0.4218564472324208,0.29664054964515885,0.0,0.0,False,False,True,81,45,False,2.29,3,3,
16,0,30,0.10718293582458228,0.25526858160584864,0.9749277214529765,0.3505824081367734,0.06721825630548331,0.0,0.0,False,False,True,64,24,False,1.63,0,0,
17,0,101,0.5244097186735651,0.4729615156488648,0.5260832959093305,0.2265823520541268,0.12961875030966777,0.0,0.0,False,False,True,145,95,False,1.3900000000000001,1,1,
18,1,75,0.17099992645448733,0.2124113584071542,1.0,0.4590515490367339,0.3913946453537983,0.03155508620641437,0.0018677104141302913,False,False,True,305,23,False,1.54,2,2,
19,73,58,1.0,1.0,0.9039858583543929,0.2658046332277831,0.5265841728935181,0.29771497426192656,0.020722398694751856,False,False,True,117,37,False,1.66,1,1,
20,0,59,0.19797706434060627,0.20552416875720153,0.8753997219577879,0.5631265579353208,0.48498204889106206,0.0,0.0,False,False,True,227,36,False,1.81,1,1,
21,0,5,0.45830003944965153,0.251376878412787,0.9964754688397797,0.4941227410625625,0.4603726043975789,0.0,0.0,False,False,False,-1,0,False,0.0,20,20,
22,0,78,0.45461617394143955,0.4626332156985156,0.8389989653059198,0.25034078302086726,0.151015408743377,0.0,0.0,False,False,True,118,60,False,2.02,2,2,
23,2,38,0.3574440143243963,0.5158412021736885,0.9938598545727327,0.5101160419988651,0.2827447098974872,0.11165039521125991,0.08342238885665157,False,False,False,-1,0,False,0.0,18,18,
24,1,69,0.20300781453623495,0.1859548722841743,0.9694789008317483,0.37332805509675243,0.44566737233960363,0.033679785839864654,0.0024286814535104282,False,False,True,241,30,False,1.42,0,0,
25,0,105,0.3387614724452966,0.18434436925536538,0.8378010737605477,0.5187581313544871,0.05286611491757641,0.0,0.0,False,False,True,432,74,False,1.3599999999999999,1,1,
26,456,53,1.0,1.0,0.9669979672942242,0.5149448234942251,0.6393055343778383,2.0,52.44916580365036,True,False,False,-1,0,False,0.0,11,11,
27,0,15,0.02268510779286427,0.36262626353004096,1.0,0.5056986786473912,0.25044360551231093,0.0,0.0,False,False,False,-1,0,False,0.0,13,13,
28,0,45,0.5540491879465995,0.17824900038518973,0.9536810336900272,0.7528158235382277,0.16182782309749913,0.0,0.0,False,False,True,185,17,False,1.5699999999999998,1,1,
29,1,113,0.31264831114057207,0.10598169305027376,0.9278855351921194,0.2840377428763435,0.3831851188943747,0.03914505421690023,0.004452339631430704,False,False,True,289,93,False,1.72,2,2,
30,0,0,0.6088714013896108,0.09312176939246702,0.9940825007794891,0.36804729565176403,0.09312403447464042,0.0,0.0,False,False,False,-1,0,False,0.0,5,5,
31,0,25,0.1065611803250337,0.299679907888161,0.9767017077644512,0.5516723980616823,0.2388237037102911,0.0,0.0,False,False,True,131,17,False,1.72,1,1,
32,0,39,0.6022120322842581,0.25417488994663995,0.9231709246906478,0.42499647733098567,0.09748062188811035,0.0,0.0,False,False,False,-1,0,False,0.0,13,13,
33,0,52,0.46149331213717143,0.1576321271341163,0.9316102977278049,0.5098641853262692,0.2967373575222794,0.0,0.0,False,False,True,156,29,False,1.48,1,1,
