sigma,pi_reward,seed,regime_v25,regime_v26,changed
0.25,0.05,1,QUIET,QUIET,False
0.25,0.05,2,QUIET,QUIET,False
0.25,0.05,3,QUIET,QUIET,False
0.25,0.05,4,QUIET,QUIET,False
0.25,0.05,5,QUIET,QUIET,False
0.25,0.25,1,MIXED,MIXED,False
0.25,0.25,2,MIXED,MIXED,False
0.25,0.25,3,MIXED,MIXED,False
0.25,0.25,4,MIXED,MIXED,False
0.25,0.25,5,MIXED,MIXED,False
0.25,0.5,1,MIXED,MIXED,False
0.25,0.5,2,MIXED,MIXED,False
0.25,0.5,3,MIXED,MIXED,False
0.25,0.5,4,MIXED,MIXED,False
0.25,0.5,5,MIXED,MIXED,False
0.75,0.05,1,CAPTURE_HIERARCHICAL,MIXED,True
0.75,0.05,2,MIXED,MIXED,False
0.75,0.05,3,MIXED,MIXED,False
0.75,0.05,4,MIXED,MIXED,False
0.75,0.05,5,MIXED,MIXED,False
0.75,0.25,1,MIXED,MIXED,False
0.75,0.25,2,MIXED,MIXED,False
0.75,0.25,3,MIXED,MIXED,False
0.75,0.25,4,MIXED,MIXED,False
0.75,0.25,5,MIXED,MIXED,False
0.75,0.5,1,MIXED,MIXED,False
0.75,0.5,2,MIXED,MIXED,False
0.75,0.5,3,MIXED,MIXED,False
0.75,0.5,4,MIXED,MIXED,False
0.75,0.5,5,MIXED,MIXED,False
0.95,0.05,1,CAPTURE_HIERARCHICAL,MIXED,True
0.95,0.05,2,CAPTURE_HIERARCHICAL,MIXED,True
0.95,0.05,3,MIXED,MIXED,False
0.95,0.05,4,MIXED,MIXED,False
0.95,0.05,5,MIXED,MIXED,False
0.95,0.25,1,CAPTURE_HIERARCHICAL,MIXED,True
0.95,0.25,2,CAPTURE_HIERARCHICAL,MIXED,True
0.95,0.25,3,MIXED,MIXED,False
0.95,0.25,4,MIXED,MIXED,False
0.95,0.25,5,MIXED,MIXED,False
0.95,0.5,1,CAPTURE_HIERARCHICAL,MIXED,True
0.95,0.5,2,CAPTURE_HIERARCHICAL,MIXED,True
0.95,0.5,3,MIXED,MIXED,False
0.95,0.5,4,CAPTURE_HIERARCHICAL,MIXED,True
0.95,0.5,5,MIXED,MIXED,False
