agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,841,26,1.0,1.0,1.0,0.5040445625967054,0.7122356911081807,2.0,90.30014192394367,True,False,False,-1,0,False,0.0,42,42,
1,1,46,0.27669116659139686,0.262133470154698,1.0,0.44764380990049357,0.22183436490818695,0.023594351996527728,0.0005786579585206898,False,False,True,169,25,False,2.05,3,3,
2,5,19,0.5383966117053126,0.7002773064233637,0.9901432763172952,0.4931312045387696,0.039277364933107836,0.3226316806219839,1.0277597948021095,False,False,False,-1,0,False,0.0,6,6,
3,0,83,0.1620813949117586,0.6558372069408155,0.8132918492214722,0.7009220968612649,0.11899088305323259,0.0,0.0,False,False,True,242,57,False,1.8399999999999999,3,3,
4,0,669,0.22356512643987828,0.4867761536280637,0.09297500857965119,0.4965626465461264,0.11845840219475069,0.0,0.0,False,False,False,-1,417,True,2.26,42,42,
5,0,21,0.11403300998272614,0.38523926440165235,0.9825504631209782,0.4472681273488199,0.07841637630439091,0.0,0.0,False,False,False,-1,0,False,0.0,7,7,
6,0,55,0.6553162699461416,0.1885017725836977,0.6430400543047446,0.9376599207941406,0.2570274784638237,0.0,0.0,False,False,True,76,38,False,2.26,2,2,
7,0,29,0.25947211174945284,0.3482764749059939,0.8162430898927502,0.3157022979671207,0.2230665571301356,0.0,0.0,False,False,True,54,21,False,3.4299999999999997,7,7,
8,0,199,0.12803218488972765,0.36784984107866353,0.5433051791980841,0.42948993538256636,0.1400798836448442,0.0,0.0,False,False,True,248,207,False,1.99,3,3,
9,234,691,1.0,1.0,0.9903399846881341,0.4699418440667315,0.4162892539642223,0.45358835503971723,0.2085330503278743,False,False,False,-1,302,True,1.9,30,30,
10,0,673,0.5167395476241242,0.3603644057697559,0.6804495644121912,0.3698642609756181,0.4309257177098898,0.0,0.0,False,False,False,-1,406,True,2.3499999999999996,45,45,
11,0,565,0.30150167049343374,0.24196493509145242,1.0,0.3599143512755144,0.2919035500457374,0.0,0.0,False,False,False,-1,401,True,1.9,30,30,
12,813,198,1.0,1.0,0.9895240510029663,0.4525095702098799,0.5482325792056085,2.0,90.7637323532262,True,False,False,-1,0,False,0.0,33,33,
13,788,344,1.0,1.0,0.9972473567884275,0.4686468697364878,0.7888423204223873,2.0,90.2816017431968,True,False,False,-1,0,False,0.0,42,42,
14,0,182,0.5471171279962236,0.09102337350895624,0.38159652028749835,0.5185937213803725,0.3478398871330985,0.0,0.0,False,False,False,-1,41,True,1.51,17,17,
15,0,617,0.2346507095042296,0.17868557698801205,0.495445523399361,0.43079883652050177,0.29664054964515885,0.0,0.0,False,False,True,422,400,False,1.96,3,3,
16,0,44,0.10718293582458228,0.25526858160584864,0.13120406920037742,0.14858534996022627,0.06721825630548331,0.0,0.0,False,False,True,53,47,False,1.63,2,2,
17,0,30,0.5244097186735651,0.4729615156488648,0.9991517374203517,0.4378427003425227,0.12961875030966777,0.0,0.0,False,False,True,49,25,False,1.45,1,1,
18,0,60,0.2109999264544873,0.2424113584071542,0.7705342299006928,0.3830082299632455,0.3913946453537983,0.0,0.0,False,False,True,210,54,False,1.75,3,3,
19,542,554,1.0,1.0,0.8695311358007548,0.5348275132494451,0.5265841728935181,0.9914282738021011,5.245846634827644,False,False,False,-1,146,True,1.51,17,17,
20,0,20,0.19797706434060627,0.20552416875720153,0.7200714338521741,0.3668515086435794,0.48498204889106206,0.0,0.0,False,False,True,65,24,False,2.05,1,1,
21,2,28,0.5183000394496515,0.29637687841278704,0.9605521130193196,0.5123857990223895,0.4603726043975789,0.09588304579985883,0.021926442541678273,False,False,False,-1,0,False,0.0,25,25,
22,0,471,0.45461617394143955,0.4626332156985156,0.8106267826180094,0.4477281504233474,0.151015408743377,0.0,0.0,False,False,True,360,325,False,1.78,3,3,
23,1,57,0.45744401432439635,0.5908412021736885,0.88018335666713,0.3154572480857869,0.2827447098974872,0.023358998335362365,0.0005557431033632705,False,False,True,276,17,False,1.81,3,3,
24,0,23,0.22300781453623494,0.2009548722841743,0.9605129799838217,0.2901974975186047,0.44566737233960363,0.0,0.0,False,False,True,53,22,False,1.63,2,2,
25,1,18,0.35876147244529655,0.1993443692553654,0.984841784507882,0.481720331379449,0.05286611491757641,0.02232862306964447,0.0004633495687483912,False,False,False,-1,0,False,0.0,15,15,
26,892,33,1.0,1.0,1.0,0.49919205323390653,0.6393055343778383,2.0,114.28536699752466,True,False,False,-1,0,False,0.0,11,11,
27,0,22,0.02268510779286427,0.36262626353004096,0.9801731445974085,0.43109392615574454,0.25044360551231093,0.0,0.0,False,False,False,-1,0,False,0.0,19,19,
28,0,142,0.5540491879465995,0.17824900038518973,0.5379437153007673,0.5838285489019742,0.16182782309749913,0.0,0.0,False,False,True,231,141,False,1.69,2,2,
29,1,158,0.35264831114057205,0.13598169305027374,0.9950008135540868,0.6050491164667627,0.3831851188943747,0.017291754478571068,0.00016536310693521307,False,False,True,270,213,False,1.93,3,3,
30,3,4,0.7088714013896109,0.168121769392467,1.0,0.48618004300781636,0.09312403447464042,0.30416659936495455,0.966361049494483,False,False,False,-1,0,False,0.0,8,8,
31,0,86,0.1065611803250337,0.299679907888161,0.37111887158237356,0.5355195166890456,0.2388237037102911,0.0,0.0,False,False,True,181,128,False,1.78,3,3,
32,7,44,0.8222120322842583,0.4191748899466401,1.0,0.537243030354574,0.09748062188811035,0.5669624189769765,1.2247486278731659,False,False,False,-1,0,False,0.0,17,17,
33,4,31,0.5614933121371715,0.23263212713411632,0.9749907111963014,0.46408802910848734,0.2967373575222794,0.2603884859681799,0.5993682198222561,False,False,False,-1,0,False,0.0,17,17,
34,0,27,0.2663298548306633,0.5364693090809444,0.9989099268166918,0.4168849293133776,0.0892846580097698,0.0,0.0,False,False,False,-1,0,False,0.0,21,21,
35,0,46,0.3761067621045684,0.13851735474488966,0.9311558730139035,0.40844883440475815,0.16299760124597013,0.0,0.0,False,False,True,151,28,False,1.81,2,2,
36,2,0,0.5916446661223811,0.22147403749950725,1.0,0.5226349031974067,0.27119314081663864,0.15722641464235732,0.5804519786276108,False,False,False,-1,0,False,0.0,5,5,
37,966,88,1.0,1.0,0.9307066067752254,0.4423182856864798,0.5116626447809359,2.0,119.5283260819408,True,False,False,-1,0,False,0.0,5,5,
38,1,202,0.505368169362393,0.38418258839126807,0.9349341801812223,0.4122233383954815,0.22007081690756494,0.022440827205672833,0.0004728056823963176,False,False,True,402,333,False,1.42,1,1,
39,0,477,0.5439650908978535,0.8514177333266667,0.4813511104952073,0.5154065470299397,0.11064711471696677,0.0,0.0,False,False,False,-1,412,True,1.48,16,16,
40,819,63,1.0,1.0,0.9706962736183224,0.44720904206164286,0.3691628078476365,2.0,100.26193597481831,True,False,False,-1,0,False,0.0,15,15,
41,0,213,0.24597260572010976,0.3198893388556279,0.45565086253678033,0.5190987709413196,0.00792587120012687,0.0,0.0,False,False,True,328,277,False,1.42,1,1,
42,0,269,0.6914543660545597,0.12285529848574789,0.3551546778505575,0.3793247460641309,0.12602845598854584,0.0,0.0,False,False,False,-1,383,True,1.66,22,22,
43,0,0,0.02400142032692012,0.3249661660226529,0.9756738281811884,0.5519011713394784,0.08602188246892464,0.0,0.0,False,False,False,-1,0,False,0.0,7,7,
44,0,29,0.38832220058084704,0.25776670966959736,0.8628542902192617,0.6382006852183849,0.18098474008521714,0.0,0.0,False,False,True,90,27,False,1.66,2,2,
45,0,10,0.09198124353951291,0.38622011514448584,1.0,0.5422667343183654,0.24266804632143596,0.0,0.0,False,False,False,-1,0,False,0.0,8,8,
46,0,388,0.6093912815051964,0.04406532639473066,0.6528798192839814,0.30798318279133313,0.360375138779549,0.0,0.0,False,False,False,-1,414,True,1.87,29,29,
47,0,74,0.22103234624308757,0.3694415776626298,0.981105066349993,0.48436047828071543,0.15657361566405234,0.0,0.0,False,False,False,-1,20,True,1.27,9,9,
48,0,227,0.24807566092051317,0.3983454637218169,0.88615378910709,0.5163259515125637,0.3797968100907872,0.0,0.0,False,False,False,-1,363,True,1.3900000000000001,13,13,
49,0,86,0.3803924028527151,0.3393506812677512,0.9458330049808386,0.5249111606968729,0.17198042172930667,0.0,0.0,False,False,False,-1,24,True,1.42,14,14,
50,2,41,0.7926234115381833,0.4841668044144176,0.9715198666464852,0.40926199740226765,0.20290501317858964,0.19928850059724826,0.4407022959309731,False,False,False,-1,0,False,0.0,17,17,
51,0,0,0.2187046034977788,0.15841163548790052,0.985831960269755,0.4369365346927111,0.5731613957378213,0.0,0.0,False,False,False,-1,0,False,0.0,8,8,
52,0,227,0.18772766061846108,0.5877916838035041,0.9313034714068712,0.5164705185109725,0.23991032049549468,0.0,0.0,False,False,False,-1,329,True,1.45,15,15,
53,895,104,1.0,1.0,0.9836683873994776,0.5307374628428828,0.8321135271925978,2.0,118.70939376520532,True,False,False,-1,0,False,0.0,7,7,
54,0,67,0.31677953208815235,0.42835852583771633,0.9975275322884881,0.5917518879581687,0.4791863333943302,0.0,0.0,False,False,True,123,60,False,1.42,1,1,
55,0,97,0.43155583295692923,0.2830043504563308,0.887518429013467,0.3621490161344396,0.41787465971208704,0.0,0.0,False,False,True,154,103,False,1.75,3,3,
56,0,45,0.08612450249986983,0.16010775469531827,0.20524607212875728,0.4166673578877735,0.10662291118896808,0.0,0.0,False,False,True,103,58,False,1.69,2,2,
57,0,294,0.2986127470107419,0.05751958143949444,0.370383888274767,0.44219068606490664,0.0997009632625569,0.0,0.0,False,False,False,-1,423,True,1.3599999999999999,12,12,
58,774,184,1.0,1.0,1.0,0.43902629692449596,0.6472761799287035,2.0,95.17210776876684,True,False,False,-1,0,False,0.0,16,16,
59,1,4,0.2493105743647517,0.27188448579551794,1.0,0.4751216284965958,0.17611845352882774,0.020607781186464034,0.00033537136169760145,False,False,False,-1,0,False,0.0,17,17,
60,882,85,1.0,1.0,0.9723447881906421,0.45978367734235304,0.65671263541811,2.0,106.04534876334397,True,False,False,-1,0,False,0.0,15,15,
61,1,199,0.3876651645809534,0.23275998607284312,0.07119561150372446,0.36255859738741725,0.2477603087387788,0.01611989434246016,0.00012462457295897575,False,False,True,269,231,False,1.3599999999999999,1,1,
62,2,1,0.2946613642748264,0.3187590696300575,1.0,0.46998348493372005,0.0406055663508708,0.11296954382334215,0.12789088244426133,False,False,False,-1,0,False,0.0,5,5,
63,0,55,0.054867239281832396,0.3000297498102902,0.9892004630968123,0.20767711502479091,0.39027129227757207,0.0,0.0,False,False,True,135,38,False,1.51,2,2,
64,0,117,0.24366984831636895,0.15347371827125436,0.8204132744229159,0.38135222935199253,0.13847100224861103,0.0,0.0,False,False,True,309,114,False,1.51,2,2,
65,4,74,0.7403993343340604,0.22083556434872043,0.9826735501586819,0.42237686956516973,0.1643653542211718,0.15770607315378055,0.05844046767189911,False,False,False,-1,0,False,1.66,17,17,
66,6,33,0.839944499307803,0.4489359600083054,0.9741608442278482,0.49504521338082774,0.05294093663358619,0.5667696323336675,1.6347648436804756,False,False,False,-1,0,False,0.0,20,20,
67,0,133,0.0665166852509835,0.1669585452063892,1.0,0.40689272455003767,0.18999656951053345,0.0,0.0,False,False,False,-1,15,True,1.24,8,8,
68,0,72,0.08519416891251398,0.6782755720068602,1.0,0.43119444104132565,0.10570863386198544,0.0,0.0,False,False,False,-1,25,True,1.3,10,10,
69,756,63,1.0,1.0,1.0,0.5069165974723191,0.5327665913560152,2.0,105.03999750461477,True,False,False,-1,0,False,0.0,7,7,
70,2,40,0.29963324938750535,0.17898392528978865,0.9111623594627944,0.486378870376683,0.038547646288974585,0.08310355081684627,0.029487161084298774,False,False,False,-1,0,False,0.0,9,9,
71,3,51,0.5413677505742761,0.31605555092575,1.0,0.41446853259985206,0.3121238533978556,0.18860478186815244,0.20915406604337036,False,False,False,-1,3,False,1.12,4,4,
72,1,132,0.4574999733793404,0.2306161957078823,0.727339767405025,0.5905645576484984,0.33553080739576896,0.03419007701304396,0.002580431467235621,False,False,False,-1,58,True,1.27,9,9,
73,0,26,0.09669449115516117,0.22968112085202086,0.9101956387850901,0.5395057309130261,0.26222452509800426,0.0,0.0,False,False,True,116,28,False,1.24,1,1,
74,1,25,0.25373372838885894,0.6518939429333522,0.9743706506826428,0.3866272885837725,0.1813087059061225,0.06527136015878249,0.034956550089723155,False,False,False,-1,0,False,0.0,10,10,
75,5,30,0.643189587390178,0.32811551638516145,1.0,0.51615760055439,0.30684303840693805,0.29472036015757924,0.256443711358133,False,False,False,-1,0,False,0.0,9,9,
76,0,20,0.25225509933963625,0.05683829423586848,1.0,0.5239052766048122,0.3007054795928687,0.0,0.0,False,False,False,-1,0,False,0.0,10,10,
77,1,0,0.4040437855297112,0.22741214512804045,1.0,0.38538577015207004,0.3869575524861508,0.03704510133520906,0.0035651279270723563,False,False,False,-1,0,False,0.0,4,4,
78,3,24,0.5356703753900875,0.3683290828357949,0.9881892181381796,0.5092712985556305,0.08440158956971083,0.2219339012396977,0.3411853370004144,False,False,False,-1,0,False,0.0,10,10,
79,0,423,0.22165191820662267,0.2920110268974715,0.7906417115739534,0.4826365681055335,0.11597806520362351,0.0,0.0,False,False,False,-1,391,True,1.27,9,9,
80,1,79,0.16926573482821555,0.7633029106490978,1.0,0.46547497809970817,0.2852629151019109,0.02883266754707352,0.0012983114966715861,False,False,False,-1,0,False,1.3,10,10,
81,2,0,0.3940435548072254,0.7220165026888289,1.0,0.4452957507272263,0.3599579496993151,0.23542224442256252,0.7593833323187843,False,False,False,-1,0,False,0.0,5,5,
82,1,48,0.4064395348371247,0.34926738984804406,1.0,0.4577557821267117,0.246508078137559,0.027423042192373324,0.0010608150187998249,False,False,False,-1,0,False,0.0,10,10,
83,1,59,0.30327936012679085,0.24907699060203267,0.9498738508873783,0.46508144509228505,0.06191273818398508,0.020504742280531712,0.0003286639344636494,False,False,False,-1,11,True,1.21,7,7,
84,5,19,0.7808660807655295,0.6967891232548986,1.0,0.47480674391851985,0.3560268288364509,0.1940327930993348,0.04538134530469303,False,False,False,-1,0,False,0.0,6,6,
85,3,0,0.5276069017907863,0.11041457415026204,0.9524142971912575,0.4792003230293873,0.22483607663678262,0.21068272155298232,0.8426328054942435,False,False,False,-1,0,False,0.0,3,3,
86,0,302,0.32498937249354204,0.587252411929216,0.4778139703506548,0.34849419286703154,0.4350174354397492,0.0,0.0,False,False,False,-1,333,True,1.21,7,7,
87,0,3,0.3621911863174009,0.14348152291229055,1.0,0.5025503291543609,0.39536327102546426,0.0,0.0,False,False,False,-1,0,False,0.0,14,14,
88,277,0,1.0,1.0,1.0,0.4924089907343005,0.20353935933372339,1.1413480114870573,1.6974345149868593,False,False,False,-1,0,False,0.0,7,7,
89,0,25,0.04948050360146234,0.1816297898737156,0.9671156396779204,0.4877054959426819,0.06807844395518076,0.0,0.0,False,False,False,-1,0,False,0.0,8,8,
90,0,285,0.8372905283983284,0.11973208268432071,0.5673297131294902,0.6281643601736963,0.09099690412125702,0.0,0.0,False,False,True,271,252,False,1.42,1,1,
91,1,15,0.2439667957659575,0.7153985115937443,1.0,0.46416010090702525,0.34102112410364527,0.09270582234206924,0.14378158488770146,False,False,False,-1,0,False,0.0,6,6,
92,0,145,0.19773853729111032,0.28617432374161383,0.9960956197091049,0.3686241184607446,0.05455555530010068,0.0,0.0,False,False,True,290,209,False,1.54,2,2,
93,0,1,0.13734232951962974,0.22444015544085796,1.0,0.3983525325372169,0.5242742430727252,0.0,0.0,False,False,False,-1,0,False,0.0,5,5,
94,2,61,0.3355157379962532,0.22789161080717799,0.8864941435726299,0.3224685080142734,0.27853685691143426,0.05512186493274667,0.0023628810667596246,False,False,True,216,66,False,1.5699999999999998,2,2,
95,0,395,0.2703818648399431,0.3506370854585455,0.6785344891167281,0.5320982774580472,0.444431929577242,0.0,0.0,False,False,False,-1,412,True,1.3,10,10,
96,1,16,0.41416822377729406,0.46134919730721025,0.980811428858207,0.4744648893551502,0.22128648476256835,0.06270574164924925,0.029739740213364455,False,False,False,-1,0,False,0.0,4,4,
97,1,96,0.5040214946256314,0.04407432907569239,0.8382822015708995,0.5254790588514647,0.2287041737509307,0.02661056626639605,0.0009397149019099258,False,False,True,275,123,False,1.27,1,1,
98,0,88,0.2999850212148783,0.2591546222823749,0.43848646678262465,0.3812671807410293,0.46108428854029254,0.0,0.0,False,False,True,128,87,False,1.51,2,2,
99,2,108,0.46843589288513565,0.31493828743724417,0.821723927512298,0.4909039312790848,0.11546528503005464,0.08144899386530506,0.010693655357690731,False,False,False,-1,26,True,1.21,7,7,
100,4,0,0.631116411460877,0.48633913972193477,1.0,0.5161553887203972,0.4597644453129687,0.30744611789920145,0.5958383965466735,False,False,False,-1,0,False,0.0,8,8,
101,10,20,0.9568366610060032,0.5826399854511749,0.9488173744580877,0.42822052746161016,0.19000388199605436,0.5353514814523569,0.36507431584463973,False,False,False,-1,0,False,0.0,6,6,
102,0,47,0.15320812339459833,0.28110240421859733,1.0,0.4695768549533028,0.15526187581951814,0.0,0.0,False,False,False,-1,0,False,0.0,7,7,
