sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.75,0.25,0.0,0.0,10,MIXED,0,0,10,0,0.1358630952380952,0.38428571428571423,0.8093981213165449,0.1471428571428571,0.9533184400320227
0.75,0.5,0.0,0.0,10,MIXED,0,0,10,0,0.1382605925453966,0.3742857142857143,0.8184324577787289,0.1514285714285714,0.9617013838344501
0.95,0.25,0.0,0.0,10,MIXED,0,0,10,0,0.12788755669631863,0.3142857142857143,0.7896672752145606,0.12999999999999995,0.9688175173566124
0.95,0.5,0.0,0.0,10,MIXED,0,0,10,0,0.12929767851895385,0.2971428571428571,0.782315939217463,0.1257142857142857,0.9675629370623058
0.75,0.25,0.0,0.4,10,MIXED,0,0,10,0,0.13780227596017064,0.36142857142857143,0.8041701725007833,0.16428571428571426,0.9639847469634937
0.75,0.5,0.0,0.4,10,MIXED,0,0,10,0,0.14508541471485237,0.3642857142857142,0.7904038253941152,0.16142857142857142,0.9694268589022453
0.95,0.25,0.0,0.4,10,MIXED,0,0,10,0,0.12574110671936756,0.2928571428571428,0.7581647410221538,0.1371428571428571,0.9720556038837851
0.95,0.5,0.0,0.4,10,MIXED,0,0,10,0,0.1276980083371931,0.28,0.7637512712164949,0.13571428571428565,0.9740225787019654
0.75,0.25,0.0,0.6,10,MIXED,0,0,10,0,0.1397809678851561,0.3357142857142857,0.7824729328009705,0.1671428571428571,0.9725337046838849
0.75,0.5,0.0,0.6,10,MIXED,0,0,10,0,0.14007803790412485,0.32999999999999996,0.7966935983416659,0.16428571428571426,0.9746754831953329
0.95,0.25,0.0,0.6,10,MIXED,0,0,10,0,0.12430060495895935,0.26428571428571423,0.7557393608637273,0.14571428571428563,0.9761700050626159
0.95,0.5,0.0,0.6,10,MIXED,0,0,10,0,0.125,0.24142857142857138,0.7566308096859226,0.13714285714285712,0.9762910553850985
0.75,0.25,0.0,0.7,10,MIXED,0,0,10,0,0.1422292268627966,0.2957142857142857,0.7860813218681257,0.1714285714285714,0.9772423274424127
0.75,0.5,0.0,0.7,10,MIXED,0,0,10,0,0.13606401545845534,0.29857142857142854,0.7895296128733313,0.1685714285714285,0.9768677767281966
0.95,0.25,0.0,0.7,10,MIXED,0,3,7,0,0.1247478452228131,0.21999999999999995,0.7393476722757628,0.14,0.9775880958616847
0.95,0.5,0.0,0.7,10,MIXED,0,2,8,0,0.12710058368399615,0.23285714285714285,0.7424311290031913,0.1428571428571428,0.9778802304381841
0.75,0.25,0.0,0.8,10,MIXED,0,1,9,0,0.12596153846153846,0.2471428571428571,0.7537493103425355,0.17285714285714285,0.9795819772002607
0.75,0.5,0.0,0.8,10,MIXED,0,0,10,0,0.13133624331174315,0.24428571428571424,0.7632534066318284,0.1714285714285714,0.9786425401091666
0.95,0.25,0.0,0.8,10,CAPTURE,0,10,0,0,0.11984979170333855,0.17285714285714282,0.7343388486054143,0.15428571428571425,0.9791291010774793
0.95,0.5,0.0,0.8,10,CAPTURE,0,9,1,0,0.11959448090190135,0.17285714285714282,0.7374948631233477,0.1485714285714285,0.9793591953612917
0.75,0.25,0.0,0.9,10,CAPTURE,0,10,0,0,0.11943150046598319,0.16571428571428565,0.721348421152108,0.18,0.982530013114262
0.75,0.5,0.0,0.9,10,CAPTURE,0,10,0,0,0.11998754877655604,0.1414285714285714,0.7156590560288767,0.18142857142857138,0.9810844093401453
0.95,0.25,0.0,0.9,10,CAPTURE,0,10,0,0,0.11268295550287041,0.0971428571428571,0.7156963757601389,0.1542857142857142,0.9796925708271973
0.95,0.5,0.0,0.9,10,CAPTURE,0,10,0,0,0.1139591449714509,0.09571428571428564,0.718395475943256,0.15571428571428564,0.9801581500373489
