sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.25,0.05,0.2,0.6,5,QUIET,0,0,0,5,0.0,0.0371428571428571,0.6733254994124559,0.0485714285714285,0.6870213018688629
0.25,0.05,0.0,0.6,5,QUIET,0,0,0,5,0.0,0.04,0.6742131419105467,0.0485714285714285,0.7005531486906433
0.25,0.05,0.0,0.4,5,QUIET,0,0,0,5,0.0,0.0457142857142857,0.6711764705882353,0.0485714285714285,0.7000422295595389
0.25,0.05,0.4,0.6,5,QUIET,0,0,0,5,0.0,0.0485714285714285,0.6746411483253588,0.0485714285714285,0.7035084414363142
0.25,0.05,0.2,0.4,5,QUIET,0,0,0,5,0.0,0.0514285714285714,0.6408237431859479,0.0485714285714285,0.6579727474769521
0.25,0.05,0.6,0.6,5,QUIET,0,0,0,5,0.0,0.0514285714285714,0.6856649395509499,0.0485714285714285,0.7016054827525415
0.25,0.05,0.6,0.2,5,QUIET,0,0,0,5,0.0,0.0542857142857142,0.6230769230769231,0.0485714285714285,0.6399746960613945
0.25,0.05,0.0,0.2,5,QUIET,0,0,0,5,0.0,0.0628571428571428,0.6563965170797053,0.0485714285714285,0.6809507789830395
0.25,0.05,0.4,0.4,5,QUIET,0,0,0,5,0.0,0.0628571428571428,0.6865256124721604,0.0485714285714285,0.6876488315207827
0.25,0.05,0.6,0.4,5,QUIET,0,0,0,5,0.0,0.0628571428571428,0.6781929726715002,0.0485714285714285,0.7079633971769432
0.25,0.05,0.2,0.2,5,QUIET,0,0,0,5,0.0,0.0657142857142857,0.6571774682010902,0.0485714285714285,0.6705045054626393
0.25,0.05,0.0,0.0,5,QUIET,0,0,0,5,0.0,0.0828571428571428,0.601725377426312,0.0485714285714285,0.6431229804340635
0.25,0.05,0.6,0.0,5,QUIET,0,0,0,5,0.0,0.0828571428571428,0.6568083795440542,0.0485714285714285,0.6764366676580417
0.25,0.05,0.4,0.2,5,QUIET,0,0,0,5,0.0,0.0857142857142857,0.6565452091767882,0.0485714285714285,0.6815998610443055
0.25,0.05,0.4,0.0,5,QUIET,0,0,0,5,0.003076923076923,0.1,0.6360612109115104,0.0485714285714285,0.6916200009832227
