sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.25,0.05,0.0,0.0,5,QUIET,0,0,0,5,0.0,0.0828571428571428,0.601725377426312,0.0485714285714285,0.6431229804340635
0.25,0.25,0.0,0.0,5,MIXED,0,0,5,0,0.0958904109589041,0.4171428571428571,0.8279192273924495,0.1228571428571428,0.7891047451331682
0.25,0.5,0.0,0.0,5,MIXED,0,0,5,0,0.1192660550458715,0.4342857142857143,0.7761887736860923,0.1714285714285714,0.6876260668755118
0.75,0.05,0.0,0.0,5,MIXED,0,0,5,0,0.1004366812227074,0.3485714285714286,0.8294514445717195,0.1342857142857142,0.9344737342666829
0.75,0.25,0.0,0.0,5,MIXED,0,0,5,0,0.1333333333333333,0.3771428571428571,0.816746126340882,0.1485714285714285,0.9582698190275803
0.75,0.5,0.0,0.0,5,MIXED,0,0,5,0,0.136986301369863,0.3742857142857143,0.8210354223433243,0.1514285714285714,0.964335190310772
0.95,0.05,0.0,0.0,5,MIXED,0,0,5,0,0.0958333333333333,0.3028571428571429,0.7886063072227874,0.1285714285714285,0.9579583574435135
0.95,0.25,0.0,0.0,5,MIXED,0,0,5,0,0.1148936170212766,0.3171428571428571,0.7966000596480763,0.1285714285714285,0.9707293316466578
0.95,0.5,0.0,0.0,5,MIXED,0,0,5,0,0.1285140562248996,0.2971428571428571,0.782783326096396,0.1285714285714285,0.9673822591016208
0.25,0.05,0.0,0.2,5,QUIET,0,0,0,5,0.0,0.0628571428571428,0.6563965170797053,0.0485714285714285,0.6809507789830395
0.25,0.25,0.0,0.2,5,MIXED,0,0,5,0,0.1024390243902439,0.4142857142857143,0.8259995981514969,0.1314285714285714,0.8611835354287009
0.25,0.5,0.0,0.2,5,MIXED,0,0,5,0,0.119047619047619,0.4457142857142857,0.8133844339622641,0.1714285714285714,0.8238382353530491
0.75,0.05,0.0,0.2,5,MIXED,0,0,5,0,0.0933333333333333,0.3457142857142857,0.8291330037380924,0.1371428571428571,0.9457532803077588
0.75,0.25,0.0,0.2,5,MIXED,0,0,5,0,0.1402714932126696,0.3657142857142857,0.8132404181184669,0.1514285714285714,0.9575762056304636
0.75,0.5,0.0,0.2,5,MIXED,0,0,5,0,0.1363636363636363,0.3714285714285714,0.8150958466453674,0.1571428571428571,0.9631442263143885
0.95,0.05,0.0,0.2,5,MIXED,0,0,5,0,0.089430894308943,0.2914285714285714,0.7924223171999538,0.1314285714285714,0.9679262402789375
0.95,0.25,0.0,0.2,5,MIXED,0,0,5,0,0.1240310077519379,0.3114285714285714,0.7740933512424446,0.1314285714285714,0.9708781818777942
0.95,0.5,0.0,0.2,5,MIXED,0,0,5,0,0.1198347107438016,0.2971428571428571,0.762335248394728,0.1342857142857142,0.9709464298696536
0.25,0.05,0.0,0.4,5,QUIET,0,0,0,5,0.0,0.0457142857142857,0.6711764705882353,0.0485714285714285,0.7000422295595389
0.25,0.25,0.0,0.4,5,MIXED,0,0,5,0,0.100502512562814,0.4142857142857143,0.8184059161873459,0.1228571428571428,0.9208581131518185
0.25,0.5,0.0,0.4,5,MIXED,0,0,5,0,0.1275510204081632,0.4228571428571429,0.801677297424994,0.1742857142857143,0.8987527079862774
0.75,0.05,0.0,0.4,5,MIXED,0,0,5,0,0.0964912280701754,0.3485714285714286,0.8441290535522733,0.14,0.9535281299560201
