sigma,pi_reward,alpha,delta,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.95,0.5,0.0,0.0,0.0,1,0.1260162601626016,0.2971428571428571,0.1285714285714285,0.782783326096396,0.9795918367346939,0.9687471064909646,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_01
0.95,0.5,0.0,0.0,0.0,2,0.11284046692607,0.2657142857142857,0.1285714285714285,0.7639052095573835,0.9772816294555425,0.9673822591016208,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_02
0.95,0.5,0.0,0.0,0.0,3,0.1416309012875536,0.3342857142857143,0.1314285714285714,0.783410138248848,0.9798521058836137,0.9634700866289416,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_03
0.95,0.5,0.0,0.0,0.0,4,0.1285140562248996,0.2885714285714286,0.1142857142857142,0.7864510733203234,0.981042654028436,0.9736323617149478,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_04
0.95,0.5,0.0,0.0,0.0,5,0.1363636363636363,0.3085714285714285,0.1342857142857142,0.7726592880646126,0.9792601455778243,0.9666528936523497,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_05
0.95,0.5,0.0,0.0,0.0,6,0.125,0.3142857142857143,0.12,0.7646884272997032,0.9817012858555886,0.9719810122152621,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_06
0.95,0.5,0.0,0.0,0.0,7,0.1304347826086956,0.2771428571428571,0.12,0.7859844714314155,0.9810869998009157,0.972008574790791,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_07
0.95,0.5,0.0,0.0,0.0,8,0.124,0.2857142857142857,0.12,0.78184855233853,0.97728285077951,0.9643255443615609,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_08
0.95,0.5,0.0,0.0,0.0,9,0.1464435146443514,0.3171428571428571,0.1257142857142857,0.7560305708144256,0.9719369476952472,0.952574016188518,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_09
0.95,0.5,0.0,0.0,0.0,10,0.1300813008130081,0.2971428571428571,0.1257142857142857,0.8023414412366446,0.9765855876335531,0.9677436150229907,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_10
0.95,0.5,0.0,0.3,0.0,1,0.1269841269841269,0.28,0.1285714285714285,0.7700291645222165,0.9805283925201578,0.9719818604545172,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_01
0.95,0.5,0.0,0.3,0.0,2,0.1169811320754717,0.2428571428571428,0.1342857142857142,0.7745179521276596,0.9788896276595744,0.9696203143444478,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_02
0.95,0.5,0.0,0.3,0.0,3,0.134453781512605,0.32,0.1314285714285714,0.7673293927995701,0.9812696706839641,0.9716292865549098,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_03
0.95,0.5,0.0,0.3,0.0,4,0.1274900398406374,0.2828571428571428,0.1285714285714285,0.7601457677654464,0.9808679807851582,0.9733455794277202,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_04
0.95,0.5,0.0,0.3,0.0,5,0.1322314049586777,0.3085714285714285,0.14,0.779459938025675,0.981053563523683,0.9716571888122778,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_05
0.95,0.5,0.0,0.3,0.0,6,0.1336032388663967,0.2942857142857142,0.1371428571428571,0.7633707494222516,0.9827500825354902,0.974769894378559,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_06
0.95,0.5,0.0,0.3,0.0,7,0.1240310077519379,0.2628571428571428,0.1428571428571428,0.766338873901314,0.9801583848229048,0.9711411294911274,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_07
0.95,0.5,0.0,0.3,0.0,8,0.12,0.2857142857142857,0.1228571428571428,0.781937893081761,0.9811320754716981,0.9696703283989742,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_08
0.95,0.5,0.0,0.3,0.0,9,0.1269841269841269,0.28,0.1457142857142857,0.76381585017068,0.976473844450595,0.9605493297172121,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_09
0.95,0.5,0.0,0.3,0.0,10,0.1341463414634146,0.2971428571428571,0.1457142857142857,0.7547863247863248,0.9805982905982906,0.9700042856150671,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_10
0.95,0.5,0.0,0.6,0.0,1,0.1153846153846153,0.2571428571428571,0.14,0.7618525021949079,0.9856599356160375,0.9790677189349004,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_01
0.95,0.5,0.0,0.6,0.0,2,0.1296296296296296,0.2285714285714285,0.1457142857142857,0.727552111170497,0.9803580972741849,0.972880113971489,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_02
