agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,67,0.49080352425695895,0.16549608910758692,0.6951416048289065,0.44962062949341086,0.1168373031525927,0.0,0.0,False,False,True,90,58,False,3.1,4,4,
1,0,155,0.6280446420838048,0.20326653542457715,0.5947196991494695,0.5434619790620593,0.26382765969900956,0.0,0.0,False,False,True,392,292,False,1.42,1,1,
2,1,325,0.25586933090108643,0.2642019519545159,0.3604571212609094,0.40445705257735104,0.05860962352520095,0.022666929830734407,0.0004923007938320674,False,False,True,321,255,False,1.63,2,2,
3,0,72,0.4782682879209641,0.19163175223599885,0.6223670053586682,0.7282140155515519,0.07304709382003172,0.0,0.0,False,False,True,184,102,False,1.75,1,1,
4,0,178,0.2792762220911809,0.1264319008378008,0.7031194998984072,0.7931833747400278,0.5047171516113214,0.0,0.0,False,False,True,290,190,False,1.51,2,2,
5,0,52,0.13393241064098882,0.08557353280566621,0.8824544324305543,0.4152064222319027,0.16957569444579465,0.0,0.0,False,False,True,178,17,False,1.78,2,2,
6,0,39,0.07396095697642954,0.3663776362052543,0.7266422604192257,0.5581154926648144,0.06583610742803528,0.0,0.0,False,False,True,120,48,False,2.26,3,3,
7,0,79,0.7022844578154965,0.27848874350008435,0.7347600328717188,0.7106997191971405,0.1085282789338867,0.0,0.0,False,False,True,200,116,False,2.6799999999999997,6,6,
8,1,181,0.5440334520660355,0.16021166910248924,0.9504899154143694,0.6321447402388867,0.12465492244093121,0.01808969871633324,0.0001983370923991752,False,False,True,218,144,False,1.8399999999999999,3,3,
9,0,194,0.3339354013593229,0.39508690510844463,0.523506427788289,0.4691988934179091,0.10480071211125126,0.0,0.0,False,False,True,139,110,False,2.92,4,4,
10,0,44,0.369236496951732,0.739740847529877,0.8504587389140303,0.39803358361759,0.3220220879387939,0.0,0.0,False,False,True,74,29,False,2.29,3,3,
11,0,87,0.18978602132694025,0.28237135907342786,0.9608588141825654,0.9205630428602048,0.2098521846171769,0.0,0.0,False,False,True,136,84,False,2.3499999999999996,4,4,
12,0,155,0.14288065055954496,0.26095586902878093,0.6657605544890246,0.6072678282594794,0.2807934292089678,0.0,0.0,False,False,True,223,160,False,1.75,3,3,
13,0,502,0.3559426949489138,0.6016981888269349,0.27802037182247374,0.651534434595305,0.08541321503436616,0.0,0.0,False,False,True,218,184,False,2.5300000000000002,5,5,
14,0,761,0.10051772887184778,0.4219539264492487,0.20767987736197768,0.5558312139068925,0.1792970804500654,0.0,0.0,False,False,True,409,385,False,1.63,2,2,
15,0,113,0.5403732788331769,0.12281886515299234,0.9178936580819621,0.41144269177658893,0.41998492896681355,0.0,0.0,False,False,True,349,38,False,1.69,1,1,
16,746,327,1.0,1.0,0.91805968549328,0.5491851845039402,0.5151804595288728,2.0,79.41641302256643,True,False,False,-1,0,False,0.0,17,17,
17,0,155,0.09724987589421889,0.1899692299660481,0.6268333393919155,0.6417218452896912,0.2908345382845035,0.0,0.0,False,False,True,127,107,False,2.32,4,4,
18,0,5,0.16966657044785982,0.4520028544988692,1.0,0.5682878103880609,0.1922388907112778,0.0,0.0,False,False,False,-1,0,False,0.0,19,19,
19,2,36,0.4928793920912544,0.5262304705868494,0.994772247513938,0.694919085094839,0.37272678583282914,0.14681306582886242,0.25807279706608227,False,False,False,-1,0,False,0.0,19,19,
20,1,223,0.1420472483661139,0.2814044716930917,0.9361446096383664,0.15430657108476745,0.4130649351854799,0.018924464839773173,0.00023788620660575082,False,False,True,218,184,False,1.81,3,3,
21,0,97,0.16562568733423572,0.34794872560521084,0.8185279851953151,0.12977392929875747,0.3051680942118471,0.0,0.0,False,False,True,150,112,False,2.08,4,4,
22,835,301,1.0,1.0,0.9995646241884998,0.47085117288791245,0.6989290491680096,2.0,89.05777267110054,True,False,False,-1,0,False,0.0,9,9,
23,0,103,0.2274644548980173,0.17873490624557495,0.8967560405214525,0.42858142867020005,0.24443638934345738,0.0,0.0,False,False,True,341,75,False,1.6,1,1,
24,3,1,0.5848805624510993,0.48137820505090523,0.978001797896127,0.5165231563909328,0.4451256302307688,0.15534377707460556,0.12388655373334333,False,False,False,-1,0,False,0.0,8,8,
25,0,21,0.19659884848683865,0.2652227035131761,0.8293750267366943,0.3102422489694457,0.3259909782344102,0.0,0.0,False,False,True,90,13,False,1.66,2,2,
26,0,37,0.2306154396328436,0.28941058941160497,0.5515635737228854,0.447366183286139,0.2944303513519616,0.0,0.0,False,False,True,70,28,False,1.81,2,2,
27,0,468,0.41439822007212984,0.09099414625707342,0.3213546431479284,0.5865909377580192,0.3141163705602066,0.0,0.0,False,False,False,-1,390,True,1.45,15,15,
28,3,36,0.8471683080098138,0.33164008956646995,1.0,0.5293366970960933,0.043473466111074444,0.10845642331780284,0.01697687716197532,False,False,False,-1,4,False,0.0,20,20,
29,4,3,0.26630107948512466,0.5104725250574796,0.9986815001285474,0.5153379314577272,0.33070141508582823,0.2814223924500614,0.4638084597320932,False,False,False,-1,0,False,0.0,13,13,
30,656,157,1.0,1.0,0.9634502117020793,0.5414811312136277,0.5138214391254372,1.9602990012500001,62.705213223710544,True,False,False,-1,0,False,0.0,17,17,
31,460,3,1.0,1.0,0.9253460242496139,0.5138005793482656,0.34462773876097325,2.0,30.134210349049827,True,False,False,-1,0,False,0.0,14,14,
32,0,109,0.10378143863487384,0.31002194186204884,0.9113511364922691,0.4995640091969666,0.2904576838203493,0.0,0.0,False,False,True,213,127,False,1.3900000000000001,0,0,
33,0,80,0.4756776591245689,0.2998278503533549,0.948864458237429,0.4790057895373226,0.14181418996510212,0.0,0.0,False,False,True,334,29,False,1.54,2,2,
