agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,28,0.41602185558844645,0.6577935623017159,0.7551925916089194,0.34424993432555306,0.2533564138174377,0.0,0.0,False,False,True,25,18,False,0.9119999999999999,1,1,
1,1,3,0.45771958977025007,0.38683131560348927,0.38785767856098907,0.45621612184386223,0.2268824282600912,0.017291754478571068,0.00016536310693521307,False,False,True,29,10,False,0.507,1,1,
2,0,5,0.25342938232160317,0.18257774593411283,0.4342410468215379,0.611436741036935,0.44150705804818086,0.0,0.0,False,False,True,39,12,False,0.426,0,0,
3,0,8,0.32069182244140565,0.2990327254132833,0.4401662472526428,0.17554601541831322,0.10359220414316121,0.0,0.0,False,False,True,53,20,False,0.49799999999999994,2,2,
4,0,0,0.36402290619855193,0.28050786537006817,0.9017764416397102,0.4109986250590682,0.3134107259302593,0.0,0.0,False,False,True,171,8,False,0.354,1,1,
5,0,0,0.1690044598667886,0.18906058564980227,1.0,0.52114745638605,0.03072695386055686,0.0,0.0,False,False,True,152,8,False,0.327,0,0,
6,0,2,0.21149306569366128,0.06588116224324997,0.7242055084144818,0.5999691613222313,0.49186636256777244,0.0,0.0,False,False,True,41,11,False,0.48,0,0,
7,0,23,0.07718375709039434,0.7557705360345479,0.8316131255887413,0.5660587858000595,0.05788823085106097,0.0,0.0,False,False,True,68,31,False,0.6329999999999999,4,4,
8,1,18,0.6275866676226793,0.5663033966970299,0.22394180760584834,0.42436341966386243,0.34799480186188814,0.017553746336867102,0.0001756954021445285,False,False,True,55,34,False,0.6419999999999999,3,3,
9,0,13,0.49051933949904636,0.5979940408956862,0.48804760468948594,0.49527751021504174,0.36169054186337046,0.0,0.0,False,False,True,57,27,False,0.49799999999999994,0,0,
10,0,32,0.5619982933793704,0.261144122035265,0.6566510533408092,0.7380265471172653,0.2613321217109083,0.0,0.0,False,False,True,57,32,False,0.597,1,1,
11,27,0,1.0,1.0,0.5352530747861075,0.2589272382706674,0.39963124661874344,0.2294039427490431,0.003756279886279288,False,False,True,36,13,False,0.45299999999999996,1,1,
12,0,10,0.09058292895413211,0.38865011465490695,0.6181065004361139,0.15028849398880564,0.01935455305677999,0.0,0.0,False,False,True,51,19,False,0.534,2,2,
13,0,13,0.12916509121908665,0.025039849123848087,0.8501992598889887,0.9636249502893117,0.3138852585864567,0.0,0.0,False,False,True,25,12,False,0.759,1,1,
14,13,0,0.5685849797955658,0.43842516537472487,0.7405297496050376,0.8968896611283222,0.8079740670645545,0.27170268160805916,0.0049297836321441435,False,False,True,87,10,False,0.381,1,1,
15,0,0,0.2931655661122636,0.1716189594802145,0.5022028908502401,0.5696829431731476,0.47893415340952034,0.0,0.0,False,False,True,39,8,False,0.426,0,0,
16,0,5,0.2044799060826716,0.02054665318992982,0.6055529768926621,0.5555298832493893,0.19069735892029585,0.0,0.0,False,False,True,34,12,False,0.507,1,1,
17,0,9,0.14743515200264867,0.2909388506061702,0.9385258121137554,0.6334657785306609,0.2175866122759701,0.0,0.0,False,False,True,48,13,False,0.426,1,1,
18,0,14,0.08881690366163769,0.04266082216723751,0.6928245784735723,0.561016982087505,0.17958705962932556,0.0,0.0,False,False,True,36,22,False,0.6509999999999999,1,1,
19,0,6,0.08095795541000751,0.04051788397142306,0.3750393408645152,0.2864341436405193,0.6874159286364999,0.0,0.0,False,False,True,40,11,False,0.561,1,1,
20,0,2,0.43585887741033785,0.2637027912111477,0.9256005726779984,0.7965784485731545,0.3093311123458433,0.0,0.0,False,False,True,281,8,False,0.336,0,0,
21,0,3,0.32174495081642507,0.3317189790521438,0.6734357898428944,0.6668305095809018,0.16587505311450315,0.0,0.0,False,False,True,39,9,False,0.4709999999999999,2,2,
22,1,5,0.4661281828633901,0.0637270928880823,0.9995732995564501,0.4259473970782875,0.16432663435425074,0.016200898836643378,0.0001271679315907916,False,False,True,131,8,False,0.381,1,1,
23,0,7,0.7473432967582957,0.286991527765614,0.44357973337886203,0.5138201313281481,0.05928480721270214,0.0,0.0,False,False,True,25,9,False,0.5519999999999999,0,0,
24,0,6,0.14305440756568855,0.2381656658479022,0.49664057246377874,0.3432496405434544,0.0856019229000986,0.0,0.0,False,False,True,45,8,False,0.49799999999999994,0,0,
25,1,7,0.3020110580091208,0.21421703311389761,0.6053221633549697,0.7254679028882907,0.3808801625215614,0.02081541495059623,0.00034919966857309604,False,False,True,63,10,False,0.372,0,0,
26,0,3,0.06696522067801887,0.4189922528487141,0.7322024735156342,0.40839779467424026,0.49214083209343645,0.0,0.0,False,False,True,46,13,False,0.525,2,2,
27,0,2,0.3295848585767285,0.28890974327485003,0.9735818245214238,0.5146768840772861,0.22877807435616815,0.0,0.0,False,False,True,162,9,False,0.309,0,0,
28,0,5,0.18633009709740625,0.4633132698242319,0.7200617730581086,0.6384481312034771,0.13386748406154095,0.0,0.0,False,False,True,89,10,False,0.345,1,1,
29,1,15,0.12207320324150688,0.24381408240389457,0.7014506071795689,0.34319468868882097,0.13538161411605185,0.01882984251557431,0.0002331284824736358,False,False,True,48,15,False,0.426,0,0,
30,0,0,0.5005837084811997,0.21308246913979026,0.8512063925015638,0.5007377043229978,0.2896545382558399,0.0,0.0,False,False,True,55,8,False,0.399,0,0,
31,0,21,0.38842333485112646,0.2729326372085038,0.5072796981712486,0.27383273386476764,0.44753416134684115,0.0,0.0,False,False,True,32,21,False,0.49799999999999994,0,0,
32,0,4,0.18634627673721896,0.04338121780115909,0.9398555071733274,0.6081912126917602,0.1402803377483778,0.0,0.0,False,False,True,155,9,False,0.354,1,1,
33,0,0,0.36967758365858044,0.21117278655209495,0.9440398923678003,0.2667352082868779,0.0999875646753964,0.0,0.0,False,False,True,82,8,False,0.345,0,0,
34,0,4,0.14546029097777927,0.6256071468294824,0.45704077097474977,0.43561692170010036,0.19447997000575412,0.0,0.0,False,False,True,26,10,False,0.48,0,0,
35,17,2,1.0,0.9504394094190388,0.6139409718714347,0.522933246814871,0.5291746087069094,0.22260727958161003,0.002305067221153039,False,False,True,23,8,False,0.426,0,0,
36,0,7,0.11446712782984234,0.5886400671142932,0.3397756687057567,0.4049709953177162,0.10763079555142262,0.0,0.0,False,False,True,40,11,False,0.4709999999999999,1,1,
37,10,0,0.914915055716793,0.606958410733405,0.5600203203605223,0.5380213081170011,0.16061665268544748,0.18746377391017,0.0022918256935833587,False,False,True,42,9,False,0.381,1,1,
38,0,15,0.2452010873452005,0.34047823072051764,0.8353353219378776,0.5359983829002749,0.3024730734407759,0.0,0.0,False,False,True,52,20,False,0.41700000000000004,1,1,
39,0,1,0.17047318494330485,0.16087524431273503,0.6224398211549947,0.4774103195689031,0.05172606120162927,0.0,0.0,False,False,True,46,9,False,0.426,0,0,
40,0,5,0.22532005069635247,0.11547017144655154,0.5568378355486635,0.31870988653389415,0.15684589171648777,0.0,0.0,False,False,True,48,16,False,0.48,1,1,
41,0,3,0.08037720861600658,0.5870488337800139,0.6298001573122882,0.21995604618480064,0.38906365617157623,0.0,0.0,False,False,True,52,13,False,0.41700000000000004,0,0,
42,0,5,0.5089769870768714,0.528236016866514,0.7928876604851136,0.708644308863774,0.1834281940352511,0.0,0.0,False,False,True,63,9,False,0.372,0,0,
43,0,1,0.19920680856629894,0.51043731822023,1.0,0.26155596242810375,0.31397777243587077,0.0,0.0,False,False,True,101,9,False,0.363,0,0,
44,1,0,0.21416541666987365,0.5058435066167926,0.8372632346434736,0.4911030385832912,0.06993169752487252,0.022105895054524767,0.00044500092582595494,False,False,True,77,8,False,0.372,0,0,
45,8,2,0.8342640466944335,0.3598267599771242,0.9905698354690545,0.6445958638785616,0.2812346112502493,0.16525598527712204,0.0027450700219716186,False,False,True,67,8,False,0.345,1,1,
46,0,5,0.20814285918291794,0.3923997620954768,0.6547707654641926,0.7663550120766661,0.1334777150735222,0.0,0.0,False,False,True,26,11,False,0.45299999999999996,1,1,
47,0,11,0.4798082581548728,0.06978993758912695,0.5432710547312699,0.5952688227420486,0.11512106009432302,0.0,0.0,False,False,True,25,13,False,0.49799999999999994,0,0,
48,0,6,0.5085363238895989,0.24531922977442097,0.9677206838011764,0.3508483092336999,0.19305736880064694,0.0,0.0,False,False,True,64,14,False,0.39,1,1,
49,1,0,0.6961105222099034,0.39111885939296337,0.21688498149097898,0.5401488390725329,0.02388675491944599,0.017465977605182766,0.00017218149410163792,False,False,True,58,9,False,0.435,0,0,
50,0,1,0.2328425382521382,0.4359890843259521,0.4786043463232139,0.4240868292217838,0.39354208854461037,0.0,0.0,False,False,True,35,8,False,0.381,0,0,
51,0,5,0.10339385313717933,0.30512445772517927,0.5396571907094314,0.6457298394794099,0.23220411902895466,0.0,0.0,False,False,True,24,11,False,0.381,0,0,
52,0,3,0.23634007564671083,0.47890947119098937,0.3594826849183812,0.5279771459105909,0.2680126914873236,0.0,0.0,False,False,True,32,9,False,0.45299999999999996,1,1,
