template,grid,QUIET,MIXED,COLLAPSE,CAPTURE
T1,0,30,0,0,0
T1,1,28,2,0,0
T1,2,16,14,0,0
T1,3,0,30,0,0
T1,4,0,30,0,0
T2,0,30,0,0,0
T2,1,28,2,0,0
T2,2,16,14,0,0
T2,3,0,30,0,0
T2,4,0,30,0,0
T3,0,26,0,4,0
T3,1,28,2,0,0
T3,2,23,7,0,0
T3,3,7,23,0,0
T3,4,0,30,0,0
T4,0,29,0,1,0
T4,1,19,11,0,0
T4,2,1,29,0,0
T4,3,0,30,0,0
T4,4,0,30,0,0
T5,0,29,0,1,0
T5,1,27,3,0,0
T5,2,6,24,0,0
T5,3,0,30,0,0
T5,4,0,30,0,0
T6,0,30,0,0,0
T6,1,30,0,0,0
T6,2,22,8,0,0
T6,3,4,26,0,0
T6,4,0,30,0,0
T7,0,12,0,18,0
T7,1,18,0,12,0
T7,2,18,0,12,0
T7,3,23,0,7,0
T7,4,26,0,4,0
T8,0,28,0,2,0
T8,1,22,8,0,0
T8,2,21,9,0,0
T8,3,1,29,0,0
T8,4,0,30,0,0
