seed,sigma,pi_reward,delta_outside_degrade,eta_delta_drift,exit_opportunity_base,final_exit_rate,final_active_punish,final_enforcer_share,final_q_above_threshold,final_fund_prevalence,final_enforcement_pressure,regime_overt,regime_acquiescence_aware,mislabeled_fear_capture,config
1,0.25,0.0510324036529687,0.25,0.12,0.15,0.8342857142857143,0.0,0.0,0.0,0.0344827586206896,0.0,QUIET,QUIET,False,P1S1A1
2,0.25,0.0510324036529687,0.25,0.12,0.15,0.86,0.0,0.0,0.0,0.0204081632653061,0.0,QUIET,QUIET,False,P1S1A1
3,0.25,0.0510324036529687,0.25,0.12,0.15,0.8485714285714285,0.0,0.0,0.0,0.0377358490566037,0.0,QUIET,QUIET,False,P1S1A1
4,0.25,0.0510324036529687,0.25,0.12,0.15,0.86,0.0,0.0,0.0,0.0204081632653061,0.0,QUIET,QUIET,False,P1S1A1
5,0.25,0.0510324036529687,0.25,0.12,0.15,0.8457142857142858,0.0,0.0,0.0,0.037037037037037,0.0,QUIET,QUIET,False,P1S1A1
2,0.25,0.0510324036529687,0.25,0.12,0.35,0.8257142857142857,0.0,0.0,0.0,0.0,0.0,QUIET,QUIET,False,P1S1A1
1,0.25,0.0510324036529687,0.25,0.12,0.35,0.8371428571428572,0.0,0.0,0.0,0.0,0.0,QUIET,QUIET,False,P1S1A1
3,0.25,0.0510324036529687,0.25,0.12,0.35,0.8828571428571429,0.0,0.0,0.0,0.024390243902439,0.0,QUIET,QUIET,False,P1S1A1
4,0.25,0.0510324036529687,0.25,0.12,0.35,0.8628571428571429,0.0,0.0,0.0,0.0416666666666666,0.0,QUIET,QUIET,False,P1S1A1
5,0.25,0.0510324036529687,0.25,0.12,0.35,0.8542857142857143,0.0,0.0,0.0,0.0,0.0,QUIET,QUIET,False,P1S1A1
1,0.25,0.0510324036529687,0.25,0.12,0.6,0.8685714285714285,0.0,0.0,0.0,0.0217391304347826,0.0,QUIET,QUIET,False,P1S1A1
2,0.25,0.0510324036529687,0.25,0.12,0.6,0.86,0.0,0.0,0.0,0.0204081632653061,0.0,QUIET,QUIET,False,P1S1A1
3,0.25,0.0510324036529687,0.25,0.12,0.6,0.86,0.0,0.0,0.0,0.0,0.0,QUIET,QUIET,False,P1S1A1
4,0.25,0.0510324036529687,0.25,0.12,0.6,0.86,0.0,0.0,0.0,0.0204081632653061,0.0,QUIET,QUIET,False,P1S1A1
5,0.25,0.0510324036529687,0.25,0.12,0.6,0.84,0.0,0.0,0.0,0.0178571428571428,0.0,QUIET,QUIET,False,P1S1A1
1,0.25,0.2510324036529688,0.25,0.12,0.15,0.8314285714285714,0.0,0.0,0.0,0.1525423728813559,0.0,QUIET,QUIET,False,P1S1A1
2,0.25,0.2510324036529688,0.25,0.12,0.15,0.7571428571428571,0.0,0.0,1.0,0.1411764705882353,1.0,QUIET,QUIET,True,P1S1A1
3,0.25,0.2510324036529688,0.25,0.12,0.15,0.4342857142857143,0.0858585858585858,1.0,0.9797979797979798,0.0858585858585858,0.9817365574941332,QUIET,QUIET,True,P1S1A1
4,0.25,0.2510324036529688,0.25,0.12,0.15,0.7942857142857143,0.0,0.0,0.0,0.1666666666666666,0.0,QUIET,QUIET,False,P1S1A1
5,0.25,0.2510324036529688,0.25,0.12,0.15,0.3028571428571429,0.081967213114754,1.0,0.971311475409836,0.0860655737704918,0.973898145659769,QUIET,QUIET,True,P1S1A1
