spec,term,coef,se,p
raw_dcap~cap_l1+enf,intercept,2.8369e-03,9.4036e-05,0
raw_dcap~cap_l1+enf,cap_l1,-2.7766e-03,1.1026e-04,0
raw_dcap~cap_l1+enf,received_l1,-9.9753e-06,4.1765e-05,0.8112
raw_dcap~cap_l1+enf,delivered_l1,9.6289e-05,2.3324e-05,3.655e-05
raw_dcap~cap_l1+enf,isenf_l1,3.8461e-05,5.9197e-05,0.5159
structural_residual~enf,intercept,1.9143e-18,1.2176e-19,0
structural_residual~enf,received_l1,1.6671e-19,2.8826e-19,0.563
structural_residual~enf,delivered_l1,-2.1896e-19,2.6353e-19,0.406
structural_residual~enf,isenf_l1,-6.2409e-19,4.3397e-19,0.1504
structural_reconstruction,max_abs_residual,3.3307e-16,,
