agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
0,0.8066778775579515,0.7087397796066615,0.9046159755092417,104,False,156,55,False,True
1,0.5965802094797302,0.47780539657373555,0.7153550223857249,57,False,25,0,False,True
2,1.0,1.0,1.0,450,False,2,0,False,False
3,0.7112801286199408,0.6775051299291284,0.7450551273107534,98,False,7,0,False,True
4,0.6371963210056093,0.39836879734248276,0.8760238446687358,54,False,26,0,False,True
5,0.5381532525729109,0.6705172689442584,0.4057892362015634,69,False,9,1,False,True
6,0.5339619118314665,0.5463827145856461,0.5215411090772867,80,False,70,0,False,True
7,0.7100000757039147,0.5534928517314721,0.8665072996763572,27,False,24,0,False,True
8,0.6359361345861607,0.725789976197227,0.5460822929750945,100,False,82,0,False,True
9,0.5972874062221772,0.5662096888058129,0.6283651236385416,147,False,157,0,False,True
10,0.7956470371026414,0.6547583604147446,0.9365357137905382,54,False,51,25,False,True
11,0.7979994468331653,0.7072902304794269,0.8887086631869036,85,False,23,0,False,True
12,0.8147661774415547,0.9889053270150918,0.6406270278680174,34,False,12,0,False,True
13,0.6264699542637788,0.3428452160732364,0.9100946924543212,87,False,35,0,False,True
14,0.6092934180689566,0.4630019692801204,0.7555848668577929,132,False,79,0,False,True
15,0.6771107279350252,0.40208157413828116,0.9521398817317694,94,False,24,2,False,True
16,0.7811092483712716,0.5622184967425431,1.0,450,False,2,207,True,False
17,0.9375477498039916,0.8750954996079832,1.0,65,False,3,0,False,True
18,0.7715744480943858,0.7205914330949562,0.8225574630938155,53,False,25,0,False,True
19,0.605743922741723,0.4951956710428813,0.7162921744405647,62,False,15,0,False,True
20,0.5441938768378918,0.2629281826351878,0.8254595710405959,58,False,29,0,False,True
21,0.6356132218379984,0.5644024162854588,0.706824027390538,64,False,26,0,False,True
22,0.7671764322771938,0.8380747439466679,0.6962781206077197,36,False,16,0,False,True
23,0.8167525101596957,0.6335050203193914,1.0,53,False,34,0,False,True
24,0.6341409511084514,0.26828190221690273,1.0,450,False,0,0,False,False
25,0.9036434774570414,0.807286954914083,1.0,450,False,4,0,False,False
26,0.593249274751388,0.5838795278145005,0.6026190216882755,64,False,18,0,False,True
27,0.8499155714127173,0.6998311428254347,1.0,450,False,6,0,False,False
28,0.6638103858403164,0.4574157607864342,0.8702050108941987,62,False,49,0,False,True
29,0.7921222357422744,0.6715771214805932,0.9126673500039556,72,False,11,0,False,True
30,0.9586180732903509,0.9172361465807017,1.0,450,False,1,0,False,False
31,1.0,1.0,1.0,411,False,5,0,False,True
32,0.7648041643869453,0.5296083287738906,1.0,450,False,66,272,True,False
33,0.7012441216059333,0.42103888638111664,0.9814493568307501,84,False,21,0,False,True
