agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
0,0.7023132233578817,0.6875680228714304,0.7170584238443329,69,False,71,0,False,True
1,0.7414017027604737,0.48280340552094736,1.0,134,True,68,1,False,True
2,0.6263710206245433,0.38429923011015293,0.8684428111389337,80,True,18,0,False,True
3,0.6340111125809583,0.4734438506883848,0.7945783744735319,89,False,38,0,False,True
4,0.7168696644522018,0.8242791462146437,0.6094601826897599,46,False,16,0,False,True
5,0.7190329900496601,0.4380659800993204,1.0,450,False,8,362,True,False
6,0.9582900240070795,0.9165800480141592,1.0,45,False,18,0,False,True
7,1.0,1.0,1.0,45,False,28,0,False,True
8,0.6213155936056936,0.35606103436925673,0.8865701528421305,99,True,0,0,False,False
9,0.5797650815170913,0.6768696437384046,0.48266051929577786,53,False,13,0,False,True
10,0.8828247036199279,0.9286033479467501,0.8370460592931058,80,False,23,0,False,True
11,0.3312046367091141,0.09327257766384463,0.5691366957543835,21,True,0,0,False,False
12,0.8332006057299948,0.6664012114599897,1.0,65,False,13,0,False,True
13,0.6488313561843303,0.5006354195598275,0.7970272928088331,152,False,49,0,False,True
14,0.8497266032863804,0.958528893672731,0.7409243129000298,43,False,17,1,False,True
15,0.5883153078565126,0.39220075495392076,0.7844298607591045,164,False,90,0,False,True
16,0.5775341313792729,0.4737224258774977,0.6813458368810481,51,False,13,0,False,True
17,0.8014625975087718,0.6029251950175436,1.0,281,True,1,0,False,False
18,0.8835661187615209,0.7671322375230418,1.0,71,False,15,0,False,True
19,0.7317250196601028,0.4778219090742304,0.9856281302459753,60,False,13,0,False,True
20,0.7976638849297911,0.5953277698595822,1.0,264,True,0,1,False,False
21,0.5685022239033966,0.32236669932908085,0.8146377484777123,79,True,50,0,False,True
22,0.7659533281680951,0.865178905966078,0.6667277503701122,72,False,19,0,False,True
23,0.7715478939357179,0.7704280739250201,0.7726677139464155,25,False,14,0,False,True
24,0.4712962448528548,0.22776121990460083,0.7148312698011088,66,True,0,0,False,False
25,0.4814689335600296,0.5033723201401704,0.4595655469798888,79,False,16,0,False,True
26,0.6456078267537069,0.4823448654461636,0.80887078806125,51,False,19,3,False,True
27,0.9668531349917264,0.9337062699834527,1.0,32,False,9,1,False,True
28,0.7200408698259322,0.4400817396518645,1.0,84,False,18,2,False,True
29,0.7917418072943976,0.5834836145887952,1.0,56,False,19,0,False,True
30,0.7623681933151558,0.7463399388581738,0.7783964477721379,87,False,78,0,False,True
31,0.7239851672507709,0.6301801064559798,0.817790228045562,48,False,14,0,False,True
32,1.0,1.0,1.0,290,False,23,3,False,True
33,0.5091237801756086,0.5846409901845704,0.4336065701666467,82,False,17,1,False,True
34,0.9160032387293451,0.8320064774586902,1.0,63,False,46,76,False,True
35,0.6803942404184278,0.6399888598085415,0.7207996210283142,57,False,8,2,False,True
36,0.5930324605431696,0.5451790346582154,0.6408858864281237,80,False,25,0,False,True
37,0.8594801283734159,0.7189602567468317,1.0,450,False,3,2,False,False
38,0.6585860768454852,0.3171721536909704,1.0,70,False,7,0,False,True
39,0.6570856057451631,0.5565205481880072,0.7576506633023188,75,False,25,0,False,True
40,0.6912873010042652,0.5134301638539913,0.869144438154539,62,False,15,0,False,True
41,0.8010061846394705,0.74098557454221,0.861026794736731,66,False,10,0,False,True
42,0.8909100674372739,0.7818201348745477,1.0,156,True,0,1,False,False
43,0.7548496404229958,0.5096992808459917,1.0,347,True,2,0,False,False
44,0.7336479398872775,0.8373789980813962,0.629916881693159,40,False,12,0,False,True
45,0.7962929615033966,0.5925859230067931,1.0,188,True,0,0,False,False
46,0.988341943360403,0.9766838867208061,1.0,17,False,13,0,False,True
47,0.8302103627977351,0.6604207255954703,1.0,272,False,1,1,False,False
48,0.6322100411625915,0.5912018928054426,0.6732181895197404,56,False,19,16,False,True
49,0.6816837070031465,0.363367414006293,1.0,450,False,0,4,False,False
50,1.0,1.0,1.0,50,False,5,0,False,True
51,0.6862367826260141,0.7411231129154688,0.6313504523365593,74,False,11,0,False,True
52,0.9620600101747449,0.9241200203494897,1.0,43,False,0,0,False,False
53,0.9985094154221164,0.9970188308442326,1.0,16,False,11,0,False,True
54,0.8541825212426031,0.7083650424852063,1.0,103,False,7,0,False,True
55,0.9119341071564491,0.823868214312898,1.0,139,False,0,0,False,False
56,0.5898553315997475,0.5761132101655477,0.6035974530339472,150,False,186,0,False,True
57,0.6946523801512725,0.4705987653307241,0.9187059949718208,70,True,29,0,False,True
58,0.8925383437093163,0.7850766874186326,1.0,48,False,9,0,False,True
59,0.9876870989019826,0.9753741978039653,1.0,18,False,9,0,False,True
60,0.6372522793212707,0.5043076910851371,0.7701968675574045,104,False,47,0,False,True
61,1.0,1.0,1.0,405,False,0,1,False,False
62,0.6799523997716737,0.3599047995433474,1.0,234,True,1,0,False,False
63,0.6746703458733398,0.7077966061711543,0.6415440855755256,79,False,35,0,False,True
64,0.9151847614904849,0.8303695229809698,1.0,450,False,75,266,True,False
65,0.4749150908686357,0.6003508454165835,0.34947933632068795,73,False,38,0,False,True
66,0.6218393900744479,0.41071309943016143,0.8329656807187342,91,False,24,2,False,True
67,0.7825826867330159,0.8344824740065796,0.7306828994594522,44,False,5,1,False,True
68,0.827692294905697,0.6553845898113939,1.0,450,False,3,271,True,False
69,0.4664956088344677,0.5126375886293695,0.420353629039566,77,False,13,0,False,True
70,0.6144069057183411,0.5306870057952169,0.6981268056414653,82,False,17,0,False,True
71,0.5767363304670747,0.7326953003951898,0.4207773605389596,66,False,27,0,False,True
72,0.8358078193620581,0.6716156387241161,1.0,275,False,13,1,False,True
73,0.8255085182129358,0.6510170364258717,1.0,30,False,8,0,False,True
74,0.7296771824725073,0.5030605104448587,0.956293854500156,75,True,0,1,False,False
75,1.0,1.0,1.0,38,False,0,0,False,False
76,1.0,1.0,1.0,450,False,0,147,True,False
77,0.5992767311125086,0.5187645217036236,0.6797889405213935,90,False,9,0,False,True
