agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
0,0.6115810846887338,0.6576258541144491,0.5655363152630186,68,False,37,0,False,True
1,0.6372953276363436,0.634436955776209,0.640153699496478,183,False,2,0,False,True
2,0.7501474242829984,0.805699516000188,0.6945953325658089,27,False,15,0,False,True
3,0.4782181227206995,0.654608539844874,0.30182770559652505,60,False,8,0,False,True
4,0.7655786922962119,0.8854913233802714,0.6456660612121524,56,False,40,0,False,True
5,0.6107845385302928,0.527347568075146,0.6942215089854397,43,False,16,1,False,True
6,0.6848255666305041,0.8628024158201589,0.5068487174408491,62,False,10,0,False,True
7,0.9678504685858447,0.9771468158220145,0.958554121349675,51,False,53,0,False,True
8,0.5584078257842175,0.5497371162497796,0.5670785353186554,176,False,21,1,False,True
9,0.8209721708348696,0.7142104079449206,0.9277339337248187,55,False,68,0,False,True
10,0.7095729557470344,0.6742259649725127,0.744919946521556,94,False,86,0,False,True
11,0.7532800504024777,0.7678714201373256,0.7386886806676298,315,False,0,2,False,False
12,0.7823244510969696,0.7891652476999165,0.7754836544940228,44,False,11,0,False,True
13,0.8749705747819481,0.9086306424188894,0.8413105071450069,217,False,0,0,False,False
14,0.8386881828329649,0.9140609667825482,0.7633153988833816,95,False,15,0,False,True
15,0.5367375847662413,0.5399167806747931,0.5335583888576896,93,False,61,0,False,True
16,0.643577100914514,0.8585547130372368,0.4285994887917912,80,False,14,0,False,True
17,0.7096807123735334,0.8625526080900402,0.5568088166570265,104,False,9,0,False,True
18,0.7774606532431532,0.7925809941070155,0.7623403123792908,153,False,13,1,False,True
19,0.6303092300472759,0.7649944694896358,0.495623990604916,102,False,11,0,False,True
20,0.6091845151559614,0.5672842121233252,0.6510848181885975,130,False,27,0,False,True
21,0.3868021459904215,0.47082696166282517,0.3027773303180178,59,False,37,0,False,True
22,0.35835576002477076,0.3186835516492046,0.398027968400337,450,False,1,1,False,False
23,0.6246135832546899,0.6221663281889911,0.6270608383203886,91,False,54,0,False,True
24,0.6723109598867376,0.7295606789979718,0.6150612407755033,124,False,15,0,False,True
25,0.5734703104272902,0.6546826168137068,0.49225800404087383,65,False,20,9,False,True
26,0.7826149363873992,0.815763864039167,0.7494660087356314,150,False,5,0,False,True
27,0.9624075999821331,0.9935864020087605,0.9312287979555058,45,False,9,0,False,True
28,0.5795654174462808,0.5775326436911511,0.5815981912014105,92,False,22,0,False,True
29,0.7952348200947921,0.8443112701593346,0.7461583700302495,178,False,17,0,False,True
30,0.7758837725391403,0.77017222304618,0.7815953220321007,164,False,19,0,False,True
31,0.7233048979149024,0.7273790793968622,0.7192307164329427,148,False,0,0,False,False
32,0.6986100864944227,0.8031462482046231,0.5940739247842222,84,False,32,0,False,True
33,0.9908823155553065,1.0,0.981764631110613,450,False,151,495,True,False
34,0.5239784833027377,0.5125888199313346,0.5353681466741406,450,False,125,620,True,False
35,0.6094775437334254,0.5321819734369017,0.6867731140299493,153,False,10,0,False,True
36,1.0,1.0,1.0,225,False,0,0,False,False
37,0.6788870517021026,0.8445488768435013,0.5132252265607039,40,False,9,0,False,True
38,0.6761555520396687,0.6827775536021888,0.6695335504771485,73,False,12,1,False,True
39,0.9921592562562065,1.0,0.9843185125124129,25,False,19,1,False,True
40,0.6598384569676963,0.7767832026625954,0.5428937112727971,124,False,7,1,False,True
41,0.6265498666088618,0.856228614050602,0.3968711191671215,45,False,25,0,False,True
42,0.48840636316278346,0.45102247352307145,0.5257902528024955,386,False,1,0,False,False
43,0.6176483516004487,0.5346929264005497,0.7006037768003479,58,False,14,0,False,True
44,0.7530575153534145,0.7535771908651546,0.7525378398416743,43,False,12,0,False,True
45,0.6475001594337026,0.7376341421684703,0.5573661766989348,109,False,33,0,False,True
46,0.569763173665232,0.7071656609307206,0.4323606863997433,131,False,240,0,False,True
47,0.9926217414966009,1.0,0.9852434829932017,16,False,0,0,False,False
48,0.9523410217364611,0.9738697840948184,0.9308122593781037,32,False,11,0,False,True
49,0.5038954818550583,0.47277868063149325,0.5350122830786233,450,False,0,0,False,False
50,0.632983912041104,0.6402349412613684,0.6257328828208397,450,False,0,1,False,False
51,0.7884565943097337,0.8576550255807659,0.7192581630387014,26,False,13,0,False,True
52,0.9085872942014219,0.9249892637356092,0.8921853246672345,37,False,16,0,False,True
53,1.0,1.0,1.0,17,False,13,0,False,True
54,0.5293810178441414,0.4503830366840893,0.6083789990041936,105,False,40,0,False,True
55,0.5273593063121086,0.5136327403616197,0.5410858722625975,167,False,34,0,False,True
56,0.9828720955204926,1.0,0.9657441910409851,28,False,14,0,False,True
57,0.5851030206057488,0.5356509597750018,0.6345550814364959,68,False,8,0,False,True
58,0.5819402354345578,0.5763045434998734,0.587575927369242,170,False,51,0,False,True
59,0.5699323401606335,0.5446026015488634,0.5952620787724038,180,False,14,0,False,True
60,0.9712913081105439,0.9866117365907153,0.9559708796303724,20,False,11,0,False,True
61,0.8900273810031155,0.9066642638982781,0.8733904981079529,43,False,0,0,False,False
62,0.49042806868885286,0.5853708351253968,0.39548530225230893,97,False,69,0,False,True
63,0.35462702725603573,0.31267158088627967,0.3965824736257918,450,False,375,0,False,False
64,0.6602021129371238,0.6513436468034604,0.6690605790707874,141,False,0,1,False,False
65,0.6137992842766109,0.5942433106014084,0.6333552579518134,450,False,3,1,False,False
66,0.9124755873618493,0.9267689902163415,0.8981821845073571,66,False,13,0,False,True
67,0.6255834970997531,0.6459984418316829,0.6051685523678234,55,False,17,0,False,True
68,1.0,1.0,1.0,34,False,0,0,False,False
69,0.9811228371124161,0.9916871635330582,0.970558510691774,13,False,10,0,False,True
70,0.7850019802611531,0.8247792655453037,0.7452246949770025,193,False,2,0,False,True
71,0.7230063619444392,0.7330127600969468,0.7129999637919316,443,False,0,0,False,False
72,0.6905209294782306,0.7397463827017443,0.641295476254717,41,False,16,0,False,True
73,0.7016142132838215,0.8624958892081547,0.5407325373594882,85,False,15,0,False,True
