agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
0,0.3403482941707947,0.0,0.6806965883415894,450,False,729,0,False,False
1,0.7352123194757949,0.5801918938696013,0.8902327450819884,87,False,13,0,False,True
2,0.32048736667342803,0.0,0.6409747333468561,240,True,0,0,False,False
3,0.3196813503002028,0.0,0.6393627006004056,410,True,0,143,True,False
4,0.6766631225808124,0.846154017719613,0.5071722274420117,89,False,19,0,False,True
5,0.34736717569261555,0.0,0.6947343513852311,450,False,94,1,False,False
6,0.28374169408438543,0.06492159116100943,0.5025617970077615,17,True,0,0,False,False
7,0.6517743559167319,0.6665551129014078,0.636993598932056,85,False,41,13,False,True
8,0.5667664800435581,0.37217953827969497,0.7613534218074214,151,False,140,143,False,True
9,0.42200276964061223,0.2406024827525713,0.6034030565286532,69,True,0,0,False,False
10,0.49337186323216325,0.21060670730085027,0.7761370191634762,71,False,20,0,False,True
11,0.5117189484264025,0.3847459626225154,0.6386919342302896,71,False,33,0,False,True
12,0.21945974815664213,0.0,0.43891949631328425,450,False,260,1,False,False
13,0.7714769937878232,0.6902308719545769,0.8527231156210694,59,False,11,1,False,True
14,0.6759944072289624,0.8638914554415346,0.4880973590163903,65,False,9,1,False,True
15,0.30022712858044187,0.0,0.6004542571608837,360,False,13,1,False,False
16,0.2325751618255456,0.0,0.4651503236510912,450,False,157,0,False,False
17,0.3946074664345249,0.21405212342529356,0.5751628094437562,43,True,0,0,False,False
18,0.31750700689804867,0.09829851904474526,0.536715494751352,88,True,0,0,False,False
19,0.8218051125450205,0.8337076240803842,0.8099026010096569,50,False,11,0,False,True
20,0.30846924244885043,0.0,0.6169384848977009,450,False,20,685,True,False
21,0.5630908825704575,0.4388854967422945,0.6872962683986205,95,False,41,1,False,True
22,0.3174070849091546,0.0,0.6348141698183092,272,False,16,0,False,False
23,0.5820764601227416,0.20618102810070868,0.9579718921447746,450,False,2,2,False,False
24,0.2728470591590079,0.0,0.5456941183180158,450,False,206,1,False,False
25,0.674699636463397,0.5593709295111371,0.7900283434156571,104,False,3,0,False,True
26,0.609713002045903,0.4871636997637394,0.7322623043280666,62,False,16,0,False,True
27,0.2735419292955678,0.0,0.5470838585911356,450,False,32,0,False,False
28,0.4249011276819922,0.2293990699484369,0.6204031854155474,86,True,0,0,False,False
29,0.5543531887172961,0.37125757924009195,0.7374487981945004,97,True,35,0,False,True
30,0.32063202240901617,0.0,0.6412640448180323,185,True,0,1,False,False
31,0.2778546141258306,0.06692770654546767,0.4887815217061936,27,True,9,0,False,False
32,0.5435034486816059,0.4870067621306617,0.6000001352325501,92,False,14,0,False,True
33,0.3683095477390006,0.0,0.7366190954780012,442,True,1,0,False,False
34,0.42540833359457175,0.4411352132749754,0.40968145391416805,109,False,16,0,False,True
35,0.210747643568355,0.0,0.42149528713671,129,True,1,1,False,False
36,0.3567171680694057,0.0,0.7134343361388114,450,False,283,0,False,False
37,0.7511194795592752,0.6697645347186842,0.8324744243998661,93,False,16,0,False,True
38,0.5979918035499856,0.7742985249904998,0.4216850821094713,56,False,24,0,False,True
39,0.23969351244911488,0.0,0.47938702489822976,450,False,81,0,False,False
40,0.20471936521027576,0.0,0.4094387304205515,450,False,298,3,False,False
41,0.5083494173071188,0.40418455373910267,0.612514280875135,151,False,47,1,False,True
42,0.24859527774247067,0.0,0.49719055548494134,450,False,22,0,False,False
43,0.33020995315518753,0.1371332443946863,0.5232866619156887,50,True,1,0,False,False
44,0.9279149962559231,0.9906435796934809,0.8651864128183653,105,False,8,1,False,True
45,0.44725688814515074,0.2695889062175428,0.6249248700727588,71,True,25,0,False,True
46,0.6482157313076349,0.8377375339931336,0.4586939286221362,61,False,17,0,False,True
47,0.23769553064154283,0.0,0.47539106128308567,355,True,11,0,False,False
48,0.43739257603308146,0.268669869095947,0.606115282970216,136,False,8,0,False,True
49,0.5739491248629134,0.36644040379371573,0.7814578459321111,118,True,0,0,False,False
50,0.45335632436368617,0.34578894650136494,0.5609237022260074,161,False,42,0,False,True
51,0.33030137925820585,0.027308503345592202,0.6332942551708195,99,False,26,0,False,True
52,0.6768834949912265,0.4306801219078644,0.9230868680745885,45,False,7,0,False,True
53,0.3647213080653473,0.0,0.7294426161306946,326,False,0,0,False,False
54,0.7105859129846481,0.4832058222582068,0.9379660037110894,191,False,0,1,False,False
55,0.37642888993299883,0.017719605675401158,0.7351381741905965,278,False,1,2,False,False
56,0.416718999112918,0.21847940936516527,0.6149585888606707,87,True,1,0,False,False
57,0.24270972437420574,0.0,0.4854194487484115,450,False,94,0,False,False
58,0.22241603254896966,0.0,0.4448320650979393,249,True,9,0,False,False
