agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,37,0.3809012037173818,0.3837888157338941,0.9702970177887179,0.5348567177899246,0.21303859887902166,0.0,0.0,False,False,True,103,10,False,1.036,5,5,
1,2,14,0.20791399913904884,0.38559957570453995,0.8996956630779771,0.29574313999799273,0.1331473596336246,0.03678705266911808,0.0004584271299644557,False,False,True,91,8,False,0.6880000000000001,4,4,
2,1,11,0.5337066832277151,0.30334588905565485,0.980222890208306,0.6647929419406989,0.33727564702409313,0.02081541495059623,0.00034919966857309604,False,False,True,120,8,False,0.76,0,0,
3,1,27,0.3149444978683109,0.17255997820372854,1.0,0.496021161748432,0.15650600633558479,0.021995365579252142,0.00043610090730943584,False,False,True,92,13,False,0.58,0,0,
4,0,18,0.5672562162037876,0.6396244088003833,0.7062034777879537,0.06945357638829154,0.4239724294689874,0.0,0.0,False,False,True,108,13,False,0.45999999999999996,0,0,
5,1,16,0.38201910770221653,0.05616736400468596,0.7606006840796534,0.5438565444025698,0.31106657526459525,0.020920015025724856,0.0003563261924215266,False,False,True,73,13,False,0.628,1,1,
6,0,19,0.19744764866987663,0.449494419926591,0.9221199681902865,0.5842513634598975,0.12905856503595334,0.0,0.0,False,False,True,218,8,False,0.44800000000000006,0,0,
7,0,57,0.35542277749204976,0.4047837961877251,0.9399626412609039,0.6323452280542653,0.38810698585491826,0.0,0.0,False,False,True,113,10,False,0.868,3,3,
8,0,15,0.5167737591962104,0.576140411841962,0.4883690054153974,0.45101852837103834,0.25732214312175333,0.0,0.0,False,False,False,-1,0,False,0.0,7,7,
9,0,126,0.18939688423786408,0.38631011621544664,0.9209346014379041,0.8108385221869091,0.41416305904150846,0.0,0.0,False,False,True,91,9,False,1.1800000000000002,3,3,
10,0,77,0.4246133859379562,0.5035072549297563,0.2983999538854543,0.3298675012520456,0.4502423093988889,0.0,0.0,False,False,True,93,26,False,0.9279999999999999,3,3,
11,0,80,0.2928537200075579,0.22727254972197097,0.9860845505460687,0.10169730676180994,0.08486771517267142,0.0,0.0,False,False,True,121,13,False,0.676,0,0,
12,0,109,0.338290270788529,0.14896542223297357,1.0,0.4329856012241116,0.09995370875752568,0.0,0.0,False,False,True,288,8,False,0.472,0,0,
13,1,65,0.5257198373373846,0.5067515678312073,1.0,0.6257154077544981,0.0716659322207265,0.01711926922764732,0.0001588147279005786,False,False,True,115,11,False,0.772,2,2,
14,1,0,0.4024419089992445,0.39300754368098245,1.0,0.4493151840030974,0.1268847113738423,0.06054368823585155,0.025817827831345935,False,False,False,-1,0,False,0.0,9,9,
15,1,1,0.4790858688667827,0.3439295613825383,0.9937191272990269,0.5499342783527754,0.22600290866185377,0.04262697617418173,0.006276896951018997,False,False,False,-1,0,False,0.0,3,3,
16,2,27,0.16662626227231753,0.5198136659077855,0.884305720391475,0.4845170667301676,0.6729451157088301,0.03647821117664035,0.00041358160875027853,False,False,True,120,10,False,0.664,2,2,
17,0,37,0.13634495179813955,0.2308241650685632,0.9804210285974835,0.6350661386461757,0.02523703404959831,0.0,0.0,False,False,True,83,10,False,0.6880000000000001,0,0,
18,1,98,0.3346265670395786,0.6633021794802285,0.861061762394983,0.399426332077542,0.019925846479381355,0.016200898836643378,0.0001271679315907916,False,False,True,127,26,False,0.808,3,3,
