agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,41,0.3809012037173818,0.3837888157338941,0.7097429731287321,0.4030312024344462,0.21303859887902166,0.0,0.0,False,False,True,114,10,False,0.9039999999999999,3,3,
1,1,24,0.16791399913904884,0.3555995757045399,0.9442609318385606,0.6001212511565586,0.1331473596336246,0.01628231038858631,0.00012976319550080776,False,False,True,120,11,False,0.664,0,0,
2,1,7,0.5483994438373301,0.36635848251742775,0.9601255437519657,0.6486951137120093,0.288923333464077,0.02395183614497094,0.0006148139364982807,False,False,True,272,9,False,0.45999999999999996,1,1,
3,0,31,0.27494449786831093,0.14255997820372854,0.9340555880119799,0.4905961071779569,0.15650600633558479,0.0,0.0,False,False,True,92,8,False,0.6160000000000001,3,3,
4,0,9,0.29138287320150674,0.16762242518760026,0.8733723521719691,0.3130111613156359,0.19350799578001593,0.0,0.0,False,False,True,199,11,False,0.472,2,2,
5,0,14,0.36201910770221657,0.04116736400468596,0.8158627288722391,0.2730443329393617,0.31106657526459525,0.0,0.0,False,False,True,70,10,False,0.6160000000000001,1,1,
6,1,24,0.2947588227369465,0.42856762854612784,0.9673909409439488,0.285759904353795,0.2694945348793206,0.017378647717156852,0.00016873786421960516,False,False,True,78,9,False,0.736,1,1,
7,0,111,0.35542277749204976,0.4047837961877251,0.7483304128602503,0.6364007179816022,0.38810698585491826,0.0,0.0,False,False,True,134,8,False,0.8320000000000001,6,6,
8,0,0,0.08314806630813604,0.5859101608660139,1.0,0.49971235339958014,0.5559986432691575,0.0,0.0,False,False,False,-1,0,False,0.0,7,7,
9,0,66,0.18939688423786408,0.38631011621544664,1.0,0.23572689732095073,0.41416305904150846,0.0,0.0,False,False,True,76,11,False,1.168,4,4,
10,0,126,0.4246133859379562,0.5035072549297563,0.341304779866188,0.20270895938503503,0.4502423093988889,0.0,0.0,False,False,True,120,12,False,0.8559999999999999,7,7,
11,0,31,0.2928537200075579,0.22727254972197097,0.9648792850838793,0.3544786875090344,0.08486771517267142,0.0,0.0,False,False,True,75,9,False,0.736,0,0,
12,0,14,0.11816795624779995,0.399836881883855,0.6963200594642142,0.3246357507509525,0.24590794777410746,0.0,0.0,False,False,True,295,10,False,0.45999999999999996,1,1,
13,1,39,0.5257198373373846,0.5067515678312073,0.8802517465463562,0.6630340727497158,0.0716659322207265,0.01711926922764732,0.0001588147279005786,False,False,True,99,8,False,0.844,5,5,
14,0,14,0.3272552086315157,0.2771785081038597,0.48356459439180427,0.42841059250649777,0.17749458102310106,0.0,0.0,False,False,True,339,9,False,0.472,0,0,
15,0,8,0.2922220048085828,0.38543438803695607,1.0,0.5916511104295176,0.08848240339679347,0.0,0.0,False,False,False,-1,0,False,0.58,11,11,
16,7,21,0.3666262622723175,0.6698136659077857,0.6781350945201162,0.6420462440387119,0.6729451157088301,0.14544238749488092,0.002533735207846181,False,False,True,101,8,False,0.652,3,3,
17,0,66,0.13634495179813955,0.2308241650685632,0.9326613254910008,0.4557769883820527,0.02523703404959831,0.0,0.0,False,False,True,107,8,False,0.58,1,1,
18,1,111,0.3346265670395786,0.6633021794802285,0.5645191240919811,0.4268476431003089,0.019925846479381355,0.016200898836643378,0.0001271679315907916,False,False,True,133,14,False,0.82,3,3,
19,2,0,0.3761478987132623,0.24989386548336215,1.0,0.6188318033784919,0.4215608959365645,0.14185620029599205,0.35770207698569495,False,False,False,-1,3,False,0.0,5,5,
20,1,0,0.3716861762486554,0.6172868542749935,1.0,0.44035838581641334,0.501836435696928,0.056724271069303445,0.01985448764436766,False,False,False,-1,0,False,0.0,4,4,
21,0,18,0.2879553109996995,0.05878743417062309,0.6175686823340221,0.3703391645166389,0.03758979801559447,0.0,0.0,False,False,True,52,9,False,0.736,1,1,
22,1,0,0.18145838758289784,0.21738557957931484,1.0,0.5860628544992071,0.2743972348599668,0.10044717307058457,0.19864885008204067,False,False,False,-1,0,False,0.0,6,6,
23,0,0,0.11962073883103491,0.30176363281668245,0.5547908512496111,0.5983049084163546,0.039887157444891116,0.0,0.0,False,False,False,-1,0,False,0.0,6,6,
24,0,0,0.2888483698529611,0.15996216558029683,0.9916263518306339,0.6737414174683385,0.2669658625626436,0.0,0.0,False,False,False,-1,0,False,0.472,7,7,
25,0,0,0.4598695794133992,0.19362400474862634,0.9308950166674842,0.6614341306727932,0.2711887316570482,0.0,0.0,False,False,False,-1,0,False,0.0,1,1,
26,165,101,1.0,1.0,1.0,0.3248236262377559,0.4132710029308986,0.4067933272361725,0.08663991328289693,False,False,True,171,8,False,0.484,2,2,
27,0,17,0.5683744981924221,0.18899801251481588,0.9095500382007866,0.2751854639531344,0.1050338074501881,0.0,0.0,False,False,True,74,9,False,0.6040000000000001,0,0,
28,0,35,0.3472194611877477,0.24146010218610456,0.8625222816434038,0.43851055326557725,0.2809422529570184,0.0,0.0,False,False,True,72,15,False,0.796,4,4,
29,0,28,0.38984429907222296,0.14749300909251598,0.8507900334483445,0.5602457029127003,0.32515035513454577,0.0,0.0,False,False,True,103,9,False,0.556,0,0,
