agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
0,0.639999219741296,0.7183977016949918,0.5616007377876003,81,False,92,0,False,True
1,0.34823670652730365,0.2562851613911774,0.44018825166342984,237,True,0,0,False,False
2,0.5711414312157213,0.5505731165285133,0.5917097459029294,414,False,2,0,False,False
3,0.9048759735530569,0.9420462863028345,0.8677056608032795,402,True,0,0,False,False
4,0.5956031781459195,0.5153065238007049,0.6758998324911342,96,True,0,0,False,False
5,0.47149274757048804,0.4380659800993204,0.5049195150416557,450,False,1,599,True,False
6,0.8746062707604179,0.9412448441866752,0.8079676973341604,86,False,50,1,False,True
7,0.9247771746090776,1.0,0.8495543492181551,47,False,30,1,False,True
8,0.7775452230112465,0.7680313760647923,0.7870590699577006,218,True,0,1,False,False
9,0.5291833114486155,0.566502701892716,0.4918639210045149,231,False,64,0,False,True
10,0.7531079398176987,0.9252673231582808,0.5809485564771167,84,False,10,0,False,True
11,0.5065299272882551,0.6773661105846179,0.33569374399189233,89,False,49,0,False,True
12,0.7046607303379799,0.6233478256934872,0.7859736349824725,55,False,17,1,False,True
13,0.4799257278138551,0.5015716603267184,0.4582797953009919,161,False,165,0,False,True
14,0.7764879755893277,0.9550137715093874,0.597962179669268,52,False,16,0,False,True
15,0.42723878904990764,0.3981259018165066,0.4563516762833087,281,False,213,0,False,True
16,0.5511208386806041,0.5402525382377076,0.5619891391235007,108,False,28,0,False,True
17,0.4412344609569467,0.4318449086875041,0.4506240132263893,164,False,62,1,False,True
18,0.7500917071538973,0.7695032663700909,0.7306801479377035,68,False,21,0,False,True
19,0.6422988931842887,0.5461518459072993,0.7384459404612781,86,False,27,1,False,True
20,0.5718719018214435,0.5410307493069824,0.6027130543359047,381,True,0,0,False,False
21,0.4740672000722219,0.37708940051364487,0.5710449996307989,90,False,17,0,False,True
22,0.9187174058829264,0.9562670277670896,0.8811677839987632,198,False,9,0,False,True
23,0.7284967189098461,0.7824518823113357,0.6745415555083565,36,False,19,0,False,True
24,0.4654891254243949,0.4004932007186471,0.5304850501301428,259,True,1,0,False,False
25,0.5348894576714124,0.5941553433283719,0.4756235720144529,146,False,79,0,False,True
26,0.572766926220839,0.5273891008801002,0.6181447515615779,96,False,8,0,False,True
27,0.7934630458901177,0.8235661519973003,0.7633599397829351,186,False,8,1,False,True
28,0.6358004243769072,0.4902022256038885,0.7813986231499259,103,False,23,1,False,True
29,0.6783412413611369,0.5815828823829777,0.7750996003392963,53,False,15,0,False,True
30,0.607166188554009,0.7089037024094472,0.5054286746985708,67,False,32,0,False,True
31,0.8627603933335257,0.9033590737090574,0.8221617129579939,405,False,2,0,False,True
32,0.9782951958241565,1.0,0.9565903916483129,450,False,2,1,False,False
33,0.4481115155760345,0.5709100211293345,0.3253130100227345,98,False,15,0,False,True
34,0.7872959342928252,0.8322632099893406,0.7423286585963098,83,False,115,74,False,True
35,0.9444932750380766,0.9680764407395966,0.9209101093365566,37,False,12,0,False,True
36,0.5594012664017995,0.565495104833429,0.55330742797017,266,False,28,0,False,True
37,0.6397709776375287,0.6069641385882294,0.672577816686828,242,True,0,16,True,False
38,0.5031846154662395,0.32981110598501484,0.6765581249474641,121,False,10,1,False,True
39,0.5749171935255661,0.5874139484140131,0.5624204386371191,105,False,9,0,False,True
40,0.5467120179470257,0.5075988296598115,0.5858252062342401,189,False,150,0,False,True
41,0.725334567485447,0.7829399260955028,0.6677292088753911,101,False,29,0,False,True
42,0.6530707095264195,0.6605846404340027,0.6455567786188364,450,False,2,0,False,False
43,0.5238398227204097,0.474227447985609,0.5734521974552104,286,True,140,2,False,True
44,0.5268326495054536,0.48374968657962714,0.56991561243128,341,True,4,0,False,False
45,0.558353540278191,0.5528413465281099,0.563865734028272,337,False,121,0,False,True
46,0.8947065383303627,0.9103597261891497,0.8790533504715757,40,False,1,0,False,False
47,0.48738768436952185,0.39155838183465574,0.583216986904388,112,True,0,0,False,False
48,0.6217404077608446,0.619488777080528,0.6239920384411614,450,False,4,609,True,False
49,0.9577531388373182,0.9939409805800645,0.9215652970945717,91,False,14,0,False,True
50,0.6967678304252601,0.6547864689581742,0.7387491918923461,149,True,1,0,False,False
51,0.5599654302351751,0.6041723772170311,0.515758483253319,227,False,41,3,False,True
52,0.3165219843780751,0.13087756906378872,0.5021663996923615,34,True,0,0,False,False
53,0.6858227151791774,0.5595553527552474,0.8120900776031074,65,False,26,0,False,True
54,0.7193756184868192,0.7678203383821515,0.6709308985914868,64,False,5,0,False,True
55,0.9924332121361511,1.0,0.9848664242723022,450,False,2,2,False,False
56,0.5149945089412288,0.5869299842400458,0.4430590336424117,188,False,244,1,False,True
57,0.6021284757859059,0.548906381146231,0.6553505704255808,178,True,35,2,False,True
58,0.8449411718504898,0.784332382782038,0.9055499609189417,40,False,12,0,False,True
59,0.32981270349745234,0.12672310619219787,0.5329023008027068,19,True,7,0,False,False
60,0.5097698614984849,0.5131513427965896,0.5063883802003802,130,False,33,0,False,True
61,0.45697831003802125,0.33757931830256444,0.576377301773478,75,True,1,0,False,False
62,0.3949646234086881,0.28648300278859085,0.5034462440287854,129,True,50,0,False,True
63,0.5665430299085639,0.6716199349770112,0.46146612484011645,111,False,50,0,False,True
64,0.40494258446605247,0.2629440700297213,0.5469410989023836,59,True,0,0,False,False
65,0.5031177935943957,0.5394665270561455,0.4667690601326458,263,False,161,0,False,True
66,0.4941171684805796,0.4368931483399351,0.5513411886212242,127,False,33,0,False,True
67,0.5088316432806854,0.46758110395138097,0.55008218260999,415,True,0,1,False,False
